date,/m/01cpyy_0,/m/01cpyy_1,/m/01cpyy_2,/m/01cpyy_3,/m/01cpyy_4,/m/01cpyy_5,/m/01cpyy_6,/m/01cpyy_7,/m/01cpyy_8,/m/01cpyy_9,/m/01cpyy_10,/m/01cpyy_11,/m/01cpyy_12,/m/01cpyy_13,/m/01cpyy_14,/m/01cpyy_15,/m/01cpyy_16,/m/01cpyy_17,/m/01cpyy_18,/m/01cpyy_19,/m/01cpyy
2020-10-05,63.0,61.0,61.0,49.0,58.0,42.0,45.0,51.0,15.0,18.0,58.0,53.0,41.0,29.0,54.0,16.0,52.0,49.0,41.0,58.76288659793814,57.66236466903213
2020-10-06,55.0,53.0,52.0,31.0,32.0,24.0,22.0,29.0,22.0,42.0,37.0,54.0,14.0,31.0,45.0,5.0,30.0,36.0,43.0,28.8659793814433,43.233776530068496
2020-10-07,56.0,43.0,43.0,18.0,59.0,54.0,60.0,50.0,54.0,43.0,45.0,23.0,14.0,38.0,78.0,44.0,37.0,35.0,49.0,58.76288659793814,56.842905602994506
2020-10-08,43.0,89.0,81.0,63.0,68.0,63.0,89.0,61.0,88.0,64.0,47.0,56.0,38.0,48.0,32.0,40.0,100.0,75.0,88.0,69.0721649484536,82.07652616940253
2020-10-09,32.0,38.0,28.0,35.0,22.0,41.0,24.0,50.0,51.0,20.0,25.0,60.0,48.0,53.0,34.0,24.0,33.0,31.0,32.0,32.98969072164948,45.00656347071133
2020-10-10,80.0,40.0,70.0,56.0,37.0,68.0,51.0,50.0,93.0,21.0,33.0,43.0,16.0,43.0,69.0,49.0,51.0,40.0,49.0,100.0,66.75439622567943
2020-10-11,29.0,63.0,35.0,25.0,40.0,19.0,47.0,54.0,24.0,19.0,61.0,32.0,14.0,23.0,8.0,34.0,45.0,44.0,52.0,45.36082474226804,44.96692270700927
2020-10-12,43.0,18.0,45.0,32.0,14.0,31.0,23.0,23.0,16.0,6.0,23.0,39.0,53.0,16.0,33.0,40.0,46.0,29.0,36.0,46.391752577319586,38.60230566278058
2020-10-13,57.0,100.0,92.0,71.0,88.0,62.0,79.0,99.0,80.0,84.0,69.0,93.0,22.0,24.0,95.0,62.0,69.0,68.0,100.0,84.5360824742268,94.46069065907645
2020-10-14,58.0,36.0,71.0,55.0,60.0,48.0,70.0,44.0,47.0,51.0,38.0,71.0,71.0,92.0,78.0,33.0,61.0,29.0,57.0,29.896907216494846,69.33234556348371
2020-10-15,37.0,54.0,82.0,39.0,35.0,57.0,48.0,31.0,66.0,52.0,40.0,72.0,52.0,57.0,66.0,53.0,63.0,68.0,31.0,23.711340206185568,64.71907045658362
