,/m/01c751_0,/m/01c751_1,/m/01c751_2,/m/01c751_3,/m/01c751_4,/m/01c751_5,/m/01c751_6,/m/01c751_7,/m/01c751_8,/m/01c751_9,/m/01c751_10,/m/01c751_11,/m/01c751_12,/m/01c751_13,/m/01c751_14,/m/01c751_15,/m/01c751_16,/m/01c751_17,/m/01c751_18,/m/01c751_19,/m/01c751
2020-01-29,18.0,14.0,15.0,11.0,15.0,11.0,10.0,17.0,17.0,13.0,9.0,9.0,10.0,20.0,3.0,17.0,16.0,13.0,7.0,13.0,13.536201469045121
2020-01-30,2.0,10.0,11.0,3.0,12.0,6.0,10.0,19.0,5.0,8.0,13.0,15.0,15.0,13.0,10.0,5.0,7.0,7.0,3.0,11.0,9.706190975865688
2020-01-31,18.0,7.0,11.0,7.0,5.0,13.0,5.0,9.0,13.0,10.0,6.0,8.0,9.0,9.0,8.0,7.0,7.0,13.0,10.0,7.0,9.548793284365162
2020-02-01,10.0,14.0,14.0,8.0,6.0,5.0,12.0,10.0,6.0,15.0,19.0,11.0,12.0,14.0,6.0,10.0,6.0,6.0,10.0,15.0,10.965372507869885
2020-02-02,8.0,8.0,6.0,11.0,15.0,2.0,8.0,14.0,12.0,17.0,13.0,15.0,10.0,4.0,7.0,10.0,12.0,8.0,10.0,15.0,10.75550891920252
2020-02-03,6.0,3.0,8.0,6.0,6.0,6.0,6.0,6.0,8.0,7.0,2.0,5.0,5.0,5.0,1.0,5.0,6.0,5.0,5.0,6.0,5.6138509968520465
2020-02-04,8.0,6.0,5.0,5.0,3.0,3.0,5.0,5.0,5.0,4.0,5.0,6.0,3.0,5.0,3.0,5.0,5.0,5.0,4.0,2.0,4.826862539349422
2020-02-05,7.0,8.0,5.0,5.0,0.0,2.0,5.0,7.0,2.0,2.0,5.0,9.0,3.0,5.0,3.0,5.0,7.0,5.0,4.0,6.0,4.984260230849948
2020-02-06,4.0,3.0,2.0,3.0,3.0,3.0,0.0,4.0,2.0,2.0,8.0,2.0,2.0,3.0,1.0,4.0,7.0,4.0,4.0,0.0,3.200419727177335
2020-02-07,9.0,5.0,6.0,9.0,7.0,8.0,9.0,6.0,2.0,12.0,14.0,8.0,7.0,5.0,5.0,4.0,7.0,6.0,9.0,10.0,7.76495278069255
2020-02-08,12.0,14.0,9.0,2.0,6.0,8.0,6.0,11.0,6.0,2.0,4.0,7.0,6.0,14.0,3.0,7.0,8.0,7.0,5.0,2.0,7.292759706190976
2020-02-09,2.0,2.0,4.0,6.0,2.0,0.0,6.0,6.0,6.0,7.0,13.0,9.0,8.0,0.0,6.0,6.0,6.0,11.0,2.0,4.0,5.561385099685205
2020-02-10,5.0,5.0,5.0,2.0,3.0,0.0,5.0,5.0,4.0,4.0,4.0,2.0,0.0,5.0,5.0,2.0,2.0,9.0,3.0,3.0,3.8300104931794334
2020-02-11,7.0,3.0,7.0,3.0,3.0,5.0,0.0,2.0,2.0,0.0,4.0,2.0,2.0,5.0,1.0,2.0,2.0,5.0,3.0,2.0,3.1479538300104934
2020-02-12,8.0,6.0,7.0,2.0,2.0,6.0,0.0,3.0,0.0,4.0,3.0,0.0,2.0,8.0,1.0,3.0,2.0,3.0,1.0,3.0,3.3578174186778593
2020-02-13,5.0,2.0,0.0,2.0,3.0,4.0,3.0,3.0,3.0,0.0,4.0,4.0,3.0,3.0,0.0,5.0,3.0,5.0,3.0,3.0,3.04302203567681
2020-02-14,4.0,0.0,4.0,0.0,0.0,0.0,2.0,2.0,4.0,2.0,0.0,2.0,2.0,5.0,0.0,2.0,0.0,2.0,1.0,2.0,1.7838405036726128
2020-02-15,2.0,0.0,2.0,2.0,4.0,2.0,0.0,0.0,2.0,5.0,5.0,2.0,7.0,2.0,3.0,2.0,4.0,0.0,0.0,2.0,2.413431269674711
2020-02-16,4.0,6.0,4.0,0.0,4.0,8.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,6.0,2.0,2.0,2.0,0.0,4.0,2.0,2.5183630640083945
2020-02-17,7.0,3.0,6.0,3.0,5.0,3.0,2.0,0.0,4.0,6.0,0.0,2.0,5.0,5.0,1.0,7.0,3.0,4.0,3.0,2.0,3.7250786988457505
2020-02-18,3.0,3.0,2.0,5.0,3.0,3.0,5.0,7.0,2.0,8.0,7.0,4.0,7.0,3.0,4.0,4.0,7.0,9.0,4.0,3.0,4.879328436516265
2020-02-19,4.0,2.0,4.0,0.0,3.0,3.0,2.0,4.0,0.0,2.0,2.0,0.0,0.0,2.0,1.0,0.0,2.0,2.0,1.0,2.0,1.888772298006296
2020-02-20,0.0,2.0,0.0,3.0,2.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,4.0,2.0,0.0,1.0,0.0,1.1542497376705143
2020-02-21,4.0,2.0,2.0,4.0,2.0,3.0,2.0,8.0,4.0,6.0,6.0,8.0,7.0,2.0,1.0,6.0,4.0,8.0,3.0,3.0,4.459601259181532
2020-02-22,13.0,8.0,6.0,4.0,6.0,4.0,6.0,11.0,8.0,7.0,15.0,9.0,8.0,6.0,5.0,11.0,4.0,11.0,7.0,10.0,8.342077649527807
2020-02-23,20.0,17.0,12.0,4.0,6.0,11.0,14.0,8.0,12.0,2.0,13.0,13.0,12.0,14.0,7.0,12.0,8.0,15.0,12.0,13.0,11.80482686253935
2020-02-24,32.0,21.0,24.0,16.0,14.0,20.0,13.0,17.0,15.0,33.0,12.0,13.0,20.0,25.0,11.0,15.0,13.0,21.0,21.0,6.0,18.992654774396645
2020-02-25,18.0,19.0,29.0,22.0,31.0,25.0,25.0,31.0,31.0,17.0,24.0,31.0,25.0,29.0,17.0,24.0,18.0,23.0,27.0,26.0,25.813221406086043
2020-02-26,34.0,17.0,33.0,24.0,17.0,17.0,19.0,22.0,29.0,25.0,22.0,28.0,18.0,22.0,18.0,13.0,14.0,20.0,20.0,30.0,23.189926547743966
2020-02-27,46.0,32.0,27.0,27.0,30.0,26.0,30.0,22.0,25.0,31.0,34.0,38.0,31.0,29.0,21.0,32.0,27.0,31.0,33.0,15.0,30.79748163693599
2020-02-28,27.0,20.0,28.0,29.0,31.0,23.0,34.0,38.0,33.0,26.0,25.0,37.0,39.0,31.0,29.0,33.0,28.0,32.0,27.0,38.0,31.899265477439666
2020-02-29,40.0,33.0,22.0,20.0,40.0,15.0,32.0,33.0,46.0,46.0,46.0,50.0,34.0,21.0,27.0,42.0,37.0,45.0,19.0,23.0,35.20461699895068
2020-03-01,34.0,34.0,48.0,38.0,31.0,34.0,44.0,53.0,33.0,42.0,52.0,47.0,38.0,42.0,35.0,37.0,44.0,42.0,38.0,41.0,42.339979013641134
2020-03-02,30.0,31.0,38.0,40.0,33.0,38.0,32.0,36.0,31.0,37.0,32.0,35.0,23.0,33.0,22.0,37.0,32.0,38.0,33.0,37.0,35.047219307450156
2020-03-03,15.0,11.0,10.0,16.0,32.0,7.0,13.0,22.0,19.0,20.0,24.0,25.0,15.0,18.0,19.0,29.0,22.0,22.0,15.0,29.0,20.094438614900312
2020-03-04,21.0,21.0,18.0,17.0,22.0,13.0,16.0,24.0,22.0,25.0,17.0,28.0,14.0,16.0,11.0,22.0,17.0,14.0,20.0,18.0,19.727177334732424
2020-03-05,10.0,6.0,8.0,21.0,33.0,9.0,29.0,30.0,24.0,14.0,19.0,32.0,18.0,11.0,24.0,20.0,25.0,29.0,16.0,26.0,21.196222455403987
