date,/m/05sfr2_0,/m/05sfr2_1,/m/05sfr2_2,/m/05sfr2_3,/m/05sfr2_4,/m/05sfr2_5,/m/05sfr2_6,/m/05sfr2_7,/m/05sfr2_8,/m/05sfr2_9,/m/05sfr2_10,/m/05sfr2_11,/m/05sfr2_12,/m/05sfr2_13,/m/05sfr2_14,/m/05sfr2_15,/m/05sfr2_16,/m/05sfr2_17,/m/05sfr2_18,/m/05sfr2_19,/m/05sfr2
2020-10-20,41.0,46.0,53.0,35.0,45.744680851063826,60.0,13.0,81.81818181818181,39.0,42.0,0.0,15.0,48.888888888888886,35.0,32.83582089552239,10.0,44.0,62.71186440677966,48.611111111111114,54.0,46.72328255876796
2020-10-21,20.0,23.0,39.0,23.0,29.78723404255319,80.0,53.0,64.64646464646465,57.0,55.0,49.0,73.0,32.22222222222222,0.0,47.76119402985075,51.0,15.0,62.71186440677966,95.83333333333333,40.0,52.70256764562729
2020-10-22,21.0,36.0,14.0,12.0,46.808510638297875,21.0,27.0,0.0,20.0,29.0,50.0,30.0,33.333333333333336,36.0,50.74626865671642,21.0,15.0,86.44067796610169,25.0,27.0,34.789113470886086
2020-10-23,32.0,36.0,27.0,24.0,31.914893617021278,83.0,41.0,0.0,100.0,29.0,67.0,45.0,50.0,18.0,32.83582089552239,63.0,30.0,22.033898305084747,73.61111111111111,28.0,48.21505116568055
2020-10-24,100.0,100.0,100.0,100.0,81.91489361702128,87.0,100.0,52.525252525252526,83.0,60.0,70.0,78.0,70.0,94.0,88.05970149253731,100.0,95.0,89.83050847457628,79.16666666666667,100.0,99.99999999999999
2020-10-25,21.0,72.0,41.0,24.0,62.765957446808514,83.0,27.0,100.0,60.0,100.0,100.0,45.0,100.0,18.0,100.0,21.0,45.0,86.44067796610169,100.0,55.0,72.96550811452067
2020-10-26,41.0,23.0,39.0,11.0,44.680851063829785,20.0,39.0,48.484848484848484,19.0,14.0,48.0,0.0,64.44444444444444,70.0,64.17910447761194,40.0,29.0,62.71186440677966,72.22222222222223,40.0,45.688440575466004
2020-10-27,60.0,46.0,79.0,23.0,44.680851063829785,100.0,78.0,94.94949494949495,76.0,82.0,48.0,100.0,32.22222222222222,52.0,79.1044776119403,50.0,100.0,83.05084745762711,95.83333333333333,80.0,81.21745123886919
2020-10-28,29.0,44.0,63.0,33.0,100.0,39.0,25.0,46.464646464646464,74.0,39.0,61.0,69.0,46.666666666666664,100.0,31.34328358208955,29.0,69.0,100.0,69.44444444444444,38.0,63.98154156966291
2020-10-29,20.0,11.0,13.0,11.0,0.0,59.0,13.0,16.161616161616163,19.0,14.0,32.0,14.0,15.555555555555555,34.0,16.417910447761194,10.0,28.0,20.338983050847457,0.0,13.0,20.796915498208186
2020-10-30,29.0,22.0,51.0,67.0,43.61702127659574,77.0,26.0,31.31313131313131,37.0,40.0,63.0,72.0,78.88888888888889,51.0,62.6865671641791,20.0,28.0,61.016949152542374,69.44444444444444,64.0,57.50469854113027
2020-10-31,11.0,26.0,43.0,25.0,17.02127659574468,66.0,15.0,53.535353535353536,64.0,30.0,71.0,16.0,35.55555555555556,39.0,35.82089552238806,33.0,32.0,69.49152542372882,52.77777777777778,29.0,44.21195838585828
2020-11-01,0.0,24.0,14.0,60.0,31.914893617021278,42.0,55.0,34.343434343434346,40.0,29.0,0.0,15.0,33.333333333333336,18.0,83.58208955223881,21.0,30.0,22.033898305084747,25.0,42.0,35.88132585585988
2020-11-02,10.0,0.0,13.0,11.0,28.72340425531915,39.0,13.0,15.151515151515152,0.0,27.0,0.0,0.0,15.555555555555555,17.0,0.0,0.0,14.0,20.338983050847457,23.61111111111111,0.0,14.31188864456605
2020-11-03,10.0,56.0,25.0,56.0,43.61702127659574,20.0,26.0,47.474747474747474,37.0,27.0,32.0,0.0,15.555555555555555,17.0,16.417910447761194,20.0,28.0,61.016949152542374,0.0,13.0,31.88215985597338
2020-11-04,0.0,10.0,23.0,0.0,0.0,36.0,24.0,0.0,17.0,0.0,15.0,26.0,14.444444444444445,16.0,14.925373134328359,9.0,13.0,37.28813559322034,0.0,24.0,16.179255705216562
