date,/m/0g9pc_0,/m/0g9pc_1,/m/0g9pc_2,/m/0g9pc_3,/m/0g9pc_4,/m/0g9pc_5,/m/0g9pc_6,/m/0g9pc_7,/m/0g9pc_8,/m/0g9pc_9,/m/0g9pc_10,/m/0g9pc_11,/m/0g9pc_12,/m/0g9pc_13,/m/0g9pc_14,/m/0g9pc_15,/m/0g9pc_16,/m/0g9pc_17,/m/0g9pc_18,/m/0g9pc_19,/m/0g9pc
2020-01-29,18.0,25.0,21.0,28.0,18.0,36.0,24.0,25.0,22.0,24.0,24.0,26.0,20.0,18.0,12.0,28.0,27.0,20.0,12.0,24.0,23.19138019497178
2020-01-30,17.0,23.0,23.0,10.0,15.0,24.0,12.0,14.0,11.0,25.0,17.0,19.0,21.0,20.0,26.0,28.0,30.0,28.0,23.0,17.0,20.677270395074395
2020-01-31,17.0,21.0,17.0,19.0,18.0,31.0,18.0,14.0,20.0,22.0,5.0,10.0,16.0,15.0,9.0,21.0,15.0,16.0,16.0,23.0,17.59876859928168
2020-02-01,19.0,29.0,23.0,24.0,21.0,29.0,23.0,25.0,29.0,27.0,29.0,14.0,18.0,18.0,19.0,18.0,21.0,17.0,31.0,26.0,23.601847101077475
2020-02-02,12.0,10.0,13.0,7.0,13.0,7.0,14.0,20.0,15.0,12.0,15.0,14.0,19.0,11.0,13.0,11.0,14.0,12.0,15.0,13.0,13.340174448435095
2020-02-03,10.0,11.0,12.0,15.0,12.0,13.0,12.0,8.0,12.0,15.0,8.0,13.0,11.0,9.0,15.0,12.0,12.0,13.0,6.0,12.0,11.85223191380195
2020-02-04,11.0,5.0,14.0,5.0,0.0,9.0,9.0,7.0,9.0,11.0,5.0,5.0,8.0,13.0,9.0,15.0,11.0,7.0,7.0,2.0,8.311954848640328
2020-02-05,9.0,12.0,10.0,7.0,9.0,7.0,10.0,12.0,7.0,5.0,9.0,8.0,8.0,8.0,12.0,12.0,17.0,10.0,17.0,19.0,10.672139558748075
2020-02-06,18.0,9.0,7.0,17.0,17.0,14.0,9.0,7.0,6.0,11.0,4.0,10.0,5.0,14.0,9.0,8.0,6.0,7.0,9.0,14.0,10.312981015905594
2020-02-07,11.0,13.0,16.0,9.0,9.0,12.0,15.0,13.0,17.0,17.0,9.0,16.0,15.0,12.0,11.0,12.0,10.0,12.0,13.0,10.0,12.9297075423294
2020-02-08,15.0,18.0,12.0,5.0,16.0,25.0,11.0,19.0,22.0,14.0,14.0,12.0,15.0,13.0,25.0,22.0,16.0,10.0,14.0,18.0,16.213442791174963
2020-02-09,7.0,15.0,13.0,11.0,15.0,7.0,11.0,10.0,10.0,10.0,11.0,14.0,3.0,9.0,6.0,11.0,11.0,7.0,17.0,11.0,10.723447922011287
2020-02-10,9.0,8.0,3.0,10.0,12.0,5.0,8.0,13.0,14.0,9.0,5.0,8.0,9.0,11.0,10.0,10.0,9.0,17.0,10.0,11.0,9.799897383273475
2020-02-11,9.0,5.0,8.0,13.0,10.0,16.0,2.0,10.0,7.0,9.0,5.0,8.0,11.0,8.0,8.0,13.0,9.0,8.0,13.0,9.0,9.286813750641356
2020-02-12,5.0,10.0,8.0,11.0,7.0,7.0,12.0,12.0,10.0,10.0,5.0,6.0,6.0,10.0,8.0,10.0,11.0,5.0,14.0,15.0,9.338122113904566
