,/m/01cdt5_0,/m/01cdt5_1,/m/01cdt5_2,/m/01cdt5_3,/m/01cdt5_4,/m/01cdt5_5,/m/01cdt5_6,/m/01cdt5_7,/m/01cdt5_8,/m/01cdt5_9,/m/01cdt5_10,/m/01cdt5_11,/m/01cdt5_12,/m/01cdt5_13,/m/01cdt5_14,/m/01cdt5_15,/m/01cdt5_16,/m/01cdt5_17,/m/01cdt5_18,/m/01cdt5_19,/m/01cdt5
2020-11-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-29,48.0,21.0,55.0,45.0,71.0,47.0,54.0,43.0,26.0,27.0,0.0,0.0,0.0,24.0,23.28767123287671,44.0,22.0,22.340425531914892,25.37313432835821,37.0,42.086391719509926
2020-11-30,86.0,76.0,49.0,60.0,85.0,83.0,32.0,97.0,93.0,96.0,59.0,92.0,46.0,64.0,84.93150684931507,98.0,59.0,78.72340425531915,70.14925373134328,100.0,100.0
2020-12-01,22.0,19.0,0.0,0.0,0.0,0.0,16.0,20.0,24.0,73.0,40.0,0.0,31.0,22.0,21.91780821917808,60.0,20.0,20.21276595744681,46.26865671641791,34.0,31.110679691427766
2020-12-02,0.0,0.0,17.0,20.0,22.0,43.0,0.0,39.0,48.0,25.0,0.0,24.0,16.0,22.0,0.0,40.0,0.0,20.21276595744681,23.880597014925375,17.0,24.99286333911771
2020-12-03,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,50.0,20.0,48.0,16.0,22.0,21.91780821917808,0.0,20.0,20.21276595744681,23.880597014925375,17.0,21.673533173677296
2020-12-04,69.0,61.0,18.0,42.0,46.0,22.0,35.0,0.0,50.0,52.0,42.0,0.0,16.0,23.0,45.205479452054796,42.0,42.0,21.27659574468085,49.25373134328358,89.0,50.6848949892151
2020-12-05,25.0,45.0,38.0,46.0,50.0,73.0,19.0,45.0,55.0,0.0,0.0,54.0,18.0,50.0,0.0,23.0,0.0,0.0,53.73134328358209,19.0,40.67667346015716
2020-12-06,50.0,44.0,38.0,46.0,50.0,72.0,0.0,0.0,27.0,0.0,0.0,27.0,36.0,50.0,24.65753424657534,23.0,23.0,45.744680851063826,0.0,58.0,40.721137269953836
2020-12-07,44.0,39.0,0.0,21.0,22.0,43.0,34.0,40.0,48.0,50.0,41.0,48.0,32.0,0.0,21.91780821917808,62.0,0.0,40.42553191489362,47.76119402985075,34.0,44.28040097811848
2020-12-08,22.0,39.0,0.0,20.0,22.0,21.0,33.0,40.0,24.0,73.0,61.0,0.0,0.0,22.0,43.83561643835616,40.0,20.0,0.0,47.76119402985075,52.0,38.48059436734944
2020-12-09,0.0,0.0,17.0,0.0,22.0,43.0,17.0,0.0,0.0,25.0,0.0,24.0,0.0,23.0,21.91780821917808,21.0,0.0,20.21276595744681,23.880597014925375,0.0,17.100375065547272
