,/m/0g9pc_0,/m/0g9pc_1,/m/0g9pc_2,/m/0g9pc_3,/m/0g9pc_4,/m/0g9pc_5,/m/0g9pc_6,/m/0g9pc_7,/m/0g9pc_8,/m/0g9pc_9,/m/0g9pc_10,/m/0g9pc_11,/m/0g9pc_12,/m/0g9pc_13,/m/0g9pc_14,/m/0g9pc_15,/m/0g9pc_16,/m/0g9pc_17,/m/0g9pc_18,/m/0g9pc_19,/m/0g9pc
2020-10-05,0.0,0.0,0.0,26.0,10.0,12.0,13.0,0.0,12.0,23.0,9.0,0.0,9.0,10.0,0.0,23.0,30.612244897959183,25.0,0.0,0.0,13.445105022954728
2020-10-06,21.0,71.0,43.0,39.0,48.0,37.0,79.0,38.0,47.0,0.0,74.0,75.0,57.0,31.0,49.0,47.0,38.775510204081634,74.0,54.0,41.0,63.95498435828333
2020-10-07,0.0,14.0,9.0,13.0,0.0,24.0,13.0,9.0,24.0,0.0,0.0,25.0,0.0,0.0,24.0,23.0,45.91836734693877,12.0,11.0,10.0,17.04879403041671
2020-10-08,34.0,46.0,38.0,57.0,31.0,40.0,72.0,42.0,52.0,50.0,50.0,41.0,51.0,34.0,53.0,39.0,82.65306122448979,13.0,36.0,33.0,59.36810173210006
2020-10-09,12.0,0.0,10.0,15.0,11.0,42.0,15.0,22.0,14.0,13.0,10.0,28.0,11.0,24.0,14.0,27.0,35.714285714285715,0.0,13.0,23.0,22.543031649083844
2020-10-10,63.0,0.0,42.0,31.0,11.0,36.0,47.0,34.0,0.0,28.0,44.0,30.0,11.0,49.0,58.0,14.0,44.89795918367347,30.0,39.0,24.0,42.1974241952303
2020-10-11,48.0,79.0,39.0,72.0,32.0,41.0,29.0,42.0,40.0,39.0,41.0,96.0,53.0,46.0,68.0,26.0,51.02040816326531,56.0,49.0,45.0,65.82928183529476
2020-10-12,79.0,0.0,37.0,28.0,51.0,59.0,85.0,40.0,38.0,63.0,29.0,66.0,31.0,22.0,78.0,25.0,16.3265306122449,27.0,70.0,99.0,62.59801465310599
2020-10-13,34.0,30.0,9.0,27.0,20.0,39.0,14.0,20.0,13.0,0.0,19.0,13.0,20.0,44.0,52.0,25.0,57.142857142857146,26.0,0.0,43.0,33.52067279695562
2020-10-14,0.0,29.0,45.0,41.0,29.0,37.0,68.0,39.0,25.0,0.0,19.0,39.0,20.0,21.0,63.0,36.0,31.632653061224488,38.0,34.0,0.0,40.78628404274048
2020-10-15,47.0,46.0,10.0,14.0,21.0,40.0,44.0,21.0,26.0,13.0,30.0,27.0,21.0,34.0,27.0,0.0,50.0,41.0,12.0,11.0,35.501956907409166
2020-10-16,48.0,80.0,68.0,44.0,32.0,42.0,75.0,43.0,40.0,0.0,31.0,70.0,33.0,35.0,41.0,53.0,86.73469387755102,71.0,49.0,58.0,66.34119256239758
2020-10-17,27.0,18.0,32.0,66.0,48.0,23.0,34.0,35.0,76.0,30.0,45.0,16.0,24.0,26.0,30.0,30.0,19.387755102040817,47.0,41.0,13.0,45.14971357375984
2020-10-18,0.0,0.0,11.0,16.0,36.0,16.0,17.0,12.0,0.0,15.0,23.0,32.0,0.0,40.0,31.0,0.0,19.387755102040817,0.0,0.0,0.0,17.809888815156892
2020-10-19,12.0,61.0,57.0,85.0,52.0,40.0,0.0,31.0,26.0,38.0,20.0,40.0,52.0,22.0,67.0,77.0,50.0,13.0,35.0,44.0,54.546931921290344
2020-10-20,66.0,75.0,36.0,68.0,40.0,45.0,42.0,30.0,75.0,49.0,57.0,13.0,40.0,22.0,13.0,74.0,47.95918367346939,26.0,80.0,21.0,61.04738559878659
2020-10-21,34.0,15.0,0.0,28.0,41.0,60.0,57.0,41.0,76.0,38.0,29.0,40.0,20.0,56.0,67.0,38.0,74.48979591836735,53.0,24.0,33.0,54.71215178559336
2020-10-22,34.0,76.0,28.0,57.0,21.0,60.0,44.0,31.0,26.0,76.0,20.0,54.0,42.0,77.0,79.0,38.0,66.3265306122449,94.0,24.0,22.0,64.32334340000814
2020-10-23,58.0,46.0,10.0,14.0,53.0,55.0,73.0,42.0,39.0,77.0,30.0,0.0,21.0,45.0,41.0,66.0,50.0,69.0,36.0,45.0,57.7321542232635
2020-10-24,26.0,35.0,64.0,32.0,35.0,45.0,33.0,35.0,15.0,43.0,34.0,46.0,35.0,75.0,15.0,57.0,46.93877551020408,45.0,0.0,100.0,54.21107514795303
2020-10-25,12.0,16.0,20.0,59.0,11.0,57.0,31.0,11.0,42.0,27.0,11.0,15.0,33.0,47.0,42.0,27.0,88.77551020408163,44.0,25.0,23.0,42.587451415880075
2020-10-26,43.0,15.0,45.0,54.0,20.0,44.0,27.0,10.0,25.0,36.0,0.0,51.0,30.0,54.0,38.0,24.0,55.10204081632653,51.0,23.0,41.0,45.52890670494711
2020-10-27,22.0,0.0,0.0,14.0,20.0,26.0,28.0,20.0,0.0,36.0,48.0,13.0,0.0,43.0,25.0,50.0,40.816326530612244,39.0,23.0,21.0,31.110087891550766
2020-10-28,55.0,45.0,27.0,95.0,60.0,71.0,85.0,70.0,75.0,99.0,76.0,53.0,100.0,22.0,77.0,100.0,71.42857142857143,52.0,23.0,76.0,88.4183583645942
2020-10-29,100.0,89.0,82.0,14.0,60.0,65.0,70.0,30.0,100.0,63.0,67.0,79.0,61.0,86.0,77.0,99.0,40.816326530612244,52.0,69.0,43.0,89.37311249847646
