,/m/0g9pc_0,/m/0g9pc_1,/m/0g9pc_2,/m/0g9pc_3,/m/0g9pc_4,/m/0g9pc_5,/m/0g9pc_6,/m/0g9pc_7,/m/0g9pc_8,/m/0g9pc_9,/m/0g9pc_10,/m/0g9pc_11,/m/0g9pc_12,/m/0g9pc_13,/m/0g9pc_14,/m/0g9pc_15,/m/0g9pc_16,/m/0g9pc_17,/m/0g9pc_18,/m/0g9pc_19,/m/0g9pc
2020-01-29,22.0,18.0,21.0,19.0,14.0,15.0,22.0,18.0,18.0,17.0,18.0,19.0,26.0,23.0,21.0,14.0,17.0,21.0,17.0,17.0,18.906720160481445
2020-01-30,19.0,21.0,20.0,25.0,20.0,21.0,17.0,21.0,17.0,18.0,20.0,16.0,17.0,22.0,22.0,18.0,24.0,21.0,19.0,16.0,19.7592778335005
2020-01-31,20.0,17.0,22.0,15.0,14.0,13.0,19.0,18.0,14.0,20.0,19.0,17.0,18.0,16.0,17.0,18.0,17.0,22.0,19.0,16.0,17.60280842527583
2020-02-01,15.0,15.0,14.0,14.0,15.0,13.0,9.0,12.0,13.0,12.0,13.0,10.0,12.0,13.0,12.0,14.0,15.0,12.0,13.0,14.0,13.039117352056168
2020-02-02,15.0,16.0,14.0,16.0,13.0,14.0,14.0,14.0,14.0,19.0,17.0,12.0,18.0,17.0,18.0,10.0,13.0,14.0,16.0,15.0,14.994984954864593
2020-02-03,13.0,12.0,13.0,11.0,12.0,11.0,9.0,14.0,9.0,14.0,12.0,10.0,14.0,12.0,15.0,10.0,12.0,9.0,12.0,15.0,11.985957873620862
2020-02-04,16.0,13.0,16.0,14.0,11.0,12.0,10.0,13.0,11.0,13.0,13.0,14.0,15.0,15.0,12.0,13.0,11.0,15.0,14.0,11.0,13.139418254764292
2020-02-05,8.0,8.0,10.0,8.0,11.0,7.0,5.0,8.0,7.0,8.0,11.0,9.0,7.0,7.0,5.0,11.0,7.0,7.0,8.0,8.0,8.02407221664995
2020-02-06,11.0,13.0,9.0,12.0,10.0,9.0,6.0,13.0,10.0,10.0,12.0,8.0,8.0,9.0,11.0,6.0,8.0,10.0,10.0,11.0,9.829488465396189
2020-02-07,10.0,6.0,10.0,9.0,6.0,7.0,9.0,8.0,7.0,5.0,9.0,9.0,12.0,7.0,8.0,9.0,6.0,13.0,7.0,10.0,8.375125376128384
2020-02-08,20.0,17.0,22.0,18.0,16.0,19.0,20.0,14.0,15.0,18.0,24.0,23.0,22.0,17.0,19.0,20.0,18.0,22.0,16.0,14.0,18.756268806419257
2020-02-09,22.0,18.0,12.0,16.0,14.0,18.0,10.0,14.0,15.0,12.0,19.0,12.0,13.0,16.0,15.0,18.0,16.0,10.0,18.0,16.0,15.245737211634903
2020-02-10,12.0,11.0,16.0,10.0,13.0,12.0,11.0,9.0,15.0,13.0,11.0,10.0,13.0,14.0,12.0,10.0,13.0,11.0,10.0,14.0,12.036108324974924
2020-02-11,12.0,10.0,9.0,7.0,6.0,12.0,4.0,8.0,10.0,11.0,10.0,9.0,9.0,8.0,11.0,6.0,8.0,8.0,9.0,13.0,9.027081243731192
2020-02-12,11.0,13.0,11.0,11.0,8.0,10.0,12.0,15.0,10.0,11.0,12.0,13.0,13.0,14.0,11.0,11.0,7.0,8.0,9.0,12.0,11.133400200601805
2020-02-13,13.0,12.0,9.0,13.0,8.0,9.0,8.0,8.0,10.0,8.0,9.0,9.0,8.0,11.0,10.0,9.0,11.0,6.0,12.0,10.0,9.679037111334003
2020-02-14,9.0,7.0,10.0,7.0,6.0,6.0,6.0,9.0,4.0,7.0,7.0,7.0,7.0,6.0,5.0,6.0,5.0,8.0,5.0,6.0,6.67001003009027
2020-02-15,7.0,8.0,9.0,7.0,7.0,8.0,7.0,7.0,6.0,11.0,5.0,7.0,9.0,11.0,6.0,7.0,7.0,6.0,7.0,10.0,7.622868605817452
2020-02-16,6.0,7.0,8.0,8.0,5.0,5.0,6.0,6.0,5.0,5.0,5.0,7.0,7.0,7.0,9.0,6.0,6.0,10.0,7.0,8.0,6.67001003009027
2020-02-17,13.0,8.0,10.0,12.0,9.0,10.0,8.0,9.0,9.0,13.0,14.0,12.0,7.0,11.0,7.0,11.0,9.0,11.0,8.0,11.0,10.130391173520561
