,/m/01b_06_0,/m/01b_06_1,/m/01b_06_2,/m/01b_06_3,/m/01b_06_4,/m/01b_06_5,/m/01b_06_6,/m/01b_06_7,/m/01b_06_8,/m/01b_06_9,/m/01b_06_10,/m/01b_06_11,/m/01b_06_12,/m/01b_06_13,/m/01b_06_14,/m/01b_06_15,/m/01b_06_16,/m/01b_06_17,/m/01b_06_18,/m/01b_06_19,/m/01b_06
2020-11-14,39.0,57.0,68.0,68.0,87.20930232558139,65.0,57.0,59.0,71.0,85.0,52.0,74.22680412371135,41.37931034482759,53.93258426966292,89.41176470588235,65.55555555555556,51.724137931034484,72.28915662650603,43.47826086956522,67.44186046511628,80.89956178943916
2020-11-15,45.0,60.0,65.0,57.0,63.95348837209303,54.0,72.0,59.0,53.0,64.0,69.0,62.88659793814433,34.48275862068966,58.42696629213483,62.35294117647059,76.66666666666667,68.96551724137932,83.13253012048193,50.0,83.72093023255815,79.30024605644564
2020-11-16,55.0,38.0,61.0,58.0,80.23255813953489,53.0,60.0,64.0,54.0,49.0,57.0,60.824742268041234,72.41379310344827,42.69662921348315,24.705882352941178,32.22222222222222,54.02298850574713,48.19277108433735,66.30434782608695,66.27906976744185,70.00229841786293
2020-11-17,50.0,70.0,79.0,60.0,54.651162790697676,49.0,39.0,72.0,62.0,83.0,64.0,43.29896907216495,78.16091954022988,71.91011235955057,65.88235294117646,73.33333333333333,64.36781609195403,92.7710843373494,77.17391304347827,65.11627906976744,83.90013379231122
2020-11-18,31.0,62.0,47.0,34.0,43.02325581395349,46.0,42.0,36.0,42.0,71.0,37.0,44.329896907216494,63.2183908045977,58.42696629213483,55.294117647058826,52.22222222222222,81.60919540229885,66.26506024096386,71.73913043478261,87.20930232558139,68.37125681233276
2020-11-19,44.0,49.0,51.0,78.0,73.25581395348837,42.0,60.0,50.0,62.0,78.0,44.0,51.54639175257732,25.28735632183908,46.06741573033708,50.588235294117645,32.22222222222222,33.333333333333336,48.19277108433735,42.391304347826086,46.51162790697674,64.29062778671332
2020-11-20,39.0,42.0,56.0,23.0,55.81395348837209,54.0,44.0,48.0,57.0,51.0,48.0,56.70103092783505,52.87356321839081,32.58426966292135,48.23529411764706,46.666666666666664,47.12643678160919,44.57831325301205,53.26086956521739,55.81395348837209,60.98851831898745
2020-11-21,51.0,26.0,66.0,58.0,48.83720930232558,70.0,81.0,53.0,58.0,56.0,64.0,53.608247422680414,34.48275862068966,30.337078651685392,44.705882352941174,47.77777777777778,25.28735632183908,42.16867469879518,33.69565217391305,67.44186046511628,64.54245761302927
2020-11-22,32.0,48.0,48.0,62.0,65.11627906976744,44.0,66.0,60.0,51.0,57.0,56.0,34.02061855670103,58.62068965517241,38.20224719101124,38.8235294117647,31.11111111111111,50.57471264367816,39.75903614457831,52.17391304347826,45.348837209302324,62.39869375201156
2020-11-23,74.0,53.0,70.0,72.0,63.95348837209303,72.0,47.0,73.0,92.0,76.0,100.0,96.90721649484536,78.16091954022988,65.1685393258427,50.588235294117645,43.333333333333336,62.06896551724138,60.24096385542169,65.21739130434783,67.44186046511628,88.202462541268
2020-11-24,34.0,51.0,60.0,29.0,45.348837209302324,45.0,27.0,25.0,44.0,45.0,53.0,39.175257731958766,65.51724137931035,83.14606741573034,38.8235294117647,66.66666666666667,88.50574712643679,68.67469879518072,58.69565217391305,48.83720930232558,64.86464001120574
2020-11-25,52.0,75.0,81.0,53.0,52.325581395348834,55.0,51.0,73.0,54.0,75.0,49.0,63.91752577319588,82.75862068965517,38.20224719101124,60.0,70.0,62.06896551724138,72.28915662650603,51.08695652173913,52.325581395348834,78.048523345021
2020-11-26,54.0,63.0,59.0,72.0,75.5813953488372,71.0,71.0,65.0,62.0,67.0,55.0,80.41237113402062,52.87356321839081,47.19101123595506,50.588235294117645,33.333333333333336,44.827586206896555,48.19277108433735,54.34782608695652,74.4186046511628,76.63124396742431
2020-11-27,40.0,45.0,41.0,59.0,34.883720930232556,60.0,55.0,57.0,55.0,70.0,60.0,53.608247422680414,33.333333333333336,24.719101123595507,31.764705882352942,22.22222222222222,33.333333333333336,39.75903614457831,34.78260869565217,46.51162790697674,57.240042871224354
2020-11-28,41.0,41.0,43.0,33.0,54.651162790697676,36.0,38.0,50.0,24.0,54.0,23.0,39.175257731958766,40.229885057471265,39.325842696629216,42.35294117647059,28.88888888888889,36.7816091954023,46.98795180722892,31.52173913043478,65.11627906976744,51.567438990168334
2020-11-29,58.0,50.0,55.0,58.0,76.74418604651163,62.0,58.0,59.0,61.0,73.0,80.0,82.47422680412372,34.48275862068966,66.29213483146067,32.94117647058823,50.0,55.172413793103445,57.83132530120482,72.82608695652173,47.674418604651166,75.9721274188059
2020-11-30,37.0,34.0,50.0,44.0,65.11627906976744,59.0,49.0,43.0,48.0,70.0,40.0,64.94845360824742,25.28735632183908,21.348314606741575,31.764705882352942,41.111111111111114,43.67816091954023,50.602409638554214,38.04347826086956,53.48837209302326,58.03590571636286
2020-12-01,43.0,31.0,61.0,37.0,45.348837209302324,38.0,59.0,50.0,48.0,54.0,60.0,60.824742268041234,48.275862068965516,57.30337078651685,47.05882352941177,22.22222222222222,29.885057471264368,59.036144578313255,50.0,58.13953488372093,61.20806984896401
2020-12-02,37.0,54.0,63.0,51.0,65.11627906976744,42.0,55.0,61.0,51.0,46.0,67.0,54.63917525773196,57.47126436781609,38.20224719101124,67.05882352941177,57.77777777777778,42.52873563218391,68.67469879518072,61.95652173913044,53.48837209302326,69.81204822700714
2020-12-03,40.0,49.0,54.0,51.0,61.627906976744185,56.0,63.0,64.0,48.0,49.0,63.0,36.08247422680412,33.333333333333336,42.69662921348315,40.0,25.555555555555557,40.229885057471265,33.734939759036145,34.78260869565217,50.0,59.67315207930812
2020-12-04,30.0,23.0,43.0,47.0,37.2093023255814,41.0,41.0,31.0,36.0,56.0,55.0,27.835051546391753,24.137931034482758,37.07865168539326,34.11764705882353,43.333333333333336,41.37931034482759,49.397590361445786,33.69565217391305,47.674418604651166,49.70568022751159
2020-12-05,30.0,47.0,54.0,25.0,41.86046511627907,28.0,35.0,42.0,54.0,65.0,29.0,42.2680412371134,39.08045977011494,31.46067415730337,35.294117647058826,41.111111111111114,33.333333333333336,32.53012048192771,34.78260869565217,50.0,50.46269915476654
2020-12-06,34.0,71.0,59.0,34.0,46.51162790697674,39.0,25.0,39.0,45.0,38.0,13.0,36.08247422680412,55.172413793103445,50.561797752808985,58.8235294117647,55.55555555555556,81.60919540229885,48.19277108433735,56.52173913043478,77.90697674418605,61.51717432141102
2020-12-07,27.0,43.0,38.0,32.0,52.325581395348834,27.0,34.0,38.0,33.0,40.0,40.0,46.391752577319586,45.97701149425287,51.68539325842696,51.76470588235294,44.44444444444444,39.08045977011494,71.08433734939759,47.82608695652174,48.83720930232558,54.33623586444633
2020-12-08,55.0,44.0,47.0,51.0,30.232558139534884,31.0,51.0,52.0,54.0,53.0,50.0,53.608247422680414,58.62068965517241,60.674157303370784,42.35294117647059,38.888888888888886,59.770114942528735,61.44578313253012,45.65217391304348,45.348837209302324,62.83543105992399
2020-12-09,46.0,62.0,57.0,70.0,72.09302325581395,46.0,59.0,57.0,54.0,58.0,60.0,42.2680412371134,54.02298850574713,59.550561797752806,49.411764705882355,56.666666666666664,50.57471264367816,43.373493975903614,52.17391304347826,45.348837209302324,69.84843169248344
2020-12-10,40.0,45.0,51.0,58.0,72.09302325581395,49.0,45.0,64.0,58.0,94.0,60.0,83.50515463917526,28.735632183908045,60.674157303370784,60.0,38.888888888888886,47.12643678160919,66.26506024096386,42.391304347826086,50.0,71.07347140563597
2020-12-11,63.0,59.0,52.0,41.0,79.06976744186046,57.0,65.0,58.0,53.0,47.0,48.0,47.422680412371136,51.724137931034484,65.1685393258427,61.1764705882353,65.55555555555556,43.67816091954023,59.036144578313255,39.130434782608695,38.372093023255815,69.77503912830507
2020-12-12,47.0,39.0,46.0,37.0,51.16279069767442,43.0,65.0,26.0,60.0,80.0,48.0,55.670103092783506,26.436781609195403,40.449438202247194,40.0,36.666666666666664,17.24137931034483,56.626506024096386,29.347826086956523,44.18604651162791,56.72117224070538
2020-12-13,55.0,37.0,54.0,58.0,56.97674418604651,44.0,40.0,41.0,47.0,52.0,39.0,49.48453608247423,62.06896551724138,49.438202247191015,41.1764705882353,47.77777777777778,45.97701149425287,50.602409638554214,58.69565217391305,61.627906976744185,63.2331029093145
2020-12-14,66.0,55.0,71.0,100.0,46.51162790697674,56.0,84.0,100.0,100.0,75.0,74.0,69.0721649484536,48.275862068965516,56.17977528089887,71.76470588235294,32.22222222222222,33.333333333333336,62.65060240963855,42.391304347826086,53.48837209302326,82.7656962230393
2020-12-15,54.0,72.0,75.0,68.0,31.3953488372093,36.0,73.0,66.0,43.0,60.0,49.0,55.670103092783506,56.32183908045977,69.66292134831461,78.82352941176471,53.333333333333336,68.96551724137932,65.06024096385542,80.43478260869566,91.86046511627907,79.6154897745658
2020-12-16,52.0,65.0,74.0,39.0,44.18604651162791,44.0,73.0,63.0,36.0,69.0,49.0,63.91752577319588,77.01149425287356,67.41573033707866,56.470588235294116,61.111111111111114,79.3103448275862,57.83132530120482,68.47826086956522,63.95348837209303,76.81754435951392
2020-12-17,61.0,41.0,69.0,56.0,83.72093023255815,100.0,73.0,55.0,72.0,81.0,70.0,74.22680412371135,50.57471264367816,53.93258426966292,62.35294117647059,48.888888888888886,54.02298850574713,46.98795180722892,56.52173913043478,74.4186046511628,81.92062154775236
2020-12-18,42.0,46.0,67.0,67.0,66.27906976744185,64.0,44.0,56.0,54.0,65.0,57.0,81.44329896907216,82.75862068965517,64.04494382022472,54.11764705882353,41.111111111111114,57.47126436781609,54.21686746987952,55.43478260869565,69.76744186046511,75.85765729950626
2020-12-19,52.0,54.0,68.0,58.0,69.76744186046511,47.0,31.0,64.0,35.0,74.0,75.0,56.70103092783505,68.96551724137932,71.91011235955057,72.94117647058823,57.77777777777778,72.41379310344827,66.26506024096386,79.34782608695652,77.90697674418605,79.90067157778293
2020-12-20,55.0,77.0,66.0,30.0,54.651162790697676,70.0,58.0,63.0,72.0,68.0,47.0,58.76288659793814,63.2183908045977,83.14606741573034,54.11764705882353,51.111111111111114,50.57471264367816,68.67469879518072,53.26086956521739,58.13953488372093,76.68806702825336
2020-12-21,49.0,52.0,60.0,66.0,40.69767441860465,30.0,37.0,38.0,55.0,44.0,58.0,38.144329896907216,62.06896551724138,52.80898876404494,54.11764705882353,62.22222222222222,39.08045977011494,55.42168674698795,44.56521739130435,61.627906976744185,63.80296608366381
2020-12-22,41.0,50.0,91.0,53.0,33.72093023255814,39.0,43.0,60.0,49.0,68.0,40.0,59.79381443298969,81.60919540229885,71.91011235955057,68.23529411764706,53.333333333333336,74.71264367816092,56.626506024096386,43.47826086956522,63.95348837209303,72.8408585547533
2020-12-23,34.0,73.0,63.0,49.0,86.04651162790698,27.0,54.0,56.0,31.0,60.0,41.0,68.04123711340206,88.50574712643679,86.51685393258427,72.94117647058823,72.22222222222223,44.827586206896555,60.24096385542169,54.34782608695652,30.232558139534884,73.51408755151843
2020-12-24,51.0,22.0,53.0,38.0,30.232558139534884,73.0,63.0,51.0,67.0,63.0,60.0,46.391752577319586,22.988505747126435,26.96629213483146,50.588235294117645,28.88888888888889,17.24137931034483,42.16867469879518,35.869565217391305,65.11627906976744,57.91232034061481
2020-12-25,49.0,73.0,78.0,58.0,36.04651162790697,74.0,56.0,71.0,50.0,66.0,31.0,34.02061855670103,63.2183908045977,37.07865168539326,51.76470588235294,81.11111111111111,71.26436781609195,92.7710843373494,97.82608695652173,76.74418604651163,79.63576071690458
2020-12-26,57.0,42.0,73.0,69.0,66.27906976744185,83.0,77.0,40.0,58.0,66.0,50.0,70.10309278350516,54.02298850574713,48.31460674157304,65.88235294117646,67.77777777777777,36.7816091954023,81.92771084337349,39.130434782608695,33.72093023255814,75.23833139064388
2020-12-27,48.0,66.0,77.0,87.0,74.4186046511628,79.0,74.0,73.0,62.0,97.0,60.0,57.7319587628866,44.827586206896555,62.92134831460674,83.52941176470588,65.55555555555556,59.770114942528735,69.87951807228916,51.08695652173913,81.3953488372093,87.69417870862807
2020-12-28,46.0,44.0,62.0,69.0,76.74418604651163,49.0,66.0,79.0,58.0,87.0,49.0,93.81443298969072,42.52873563218391,64.04494382022472,42.35294117647059,51.111111111111114,49.42528735632184,61.44578313253012,47.82608695652174,32.55813953488372,74.72210750736683
