,/m/02gy9__0,/m/02gy9__1,/m/02gy9__2,/m/02gy9__3,/m/02gy9__4,/m/02gy9__5,/m/02gy9__6,/m/02gy9__7,/m/02gy9__8,/m/02gy9__9,/m/02gy9__10,/m/02gy9__11,/m/02gy9__12,/m/02gy9__13,/m/02gy9__14,/m/02gy9__15,/m/02gy9__16,/m/02gy9__17,/m/02gy9__18,/m/02gy9__19,/m/02gy9_
2020-01-29,37.0,14.0,15.0,27.0,25.0,23.0,7.0,30.0,28.0,21.0,14.0,31.0,32.0,8.0,24.0,21.0,46.0,24.0,0.0,26.0,28.241895261845386
2020-01-30,48.0,7.0,39.0,17.0,12.0,16.0,28.0,38.0,43.0,28.0,14.0,23.0,49.0,33.0,15.0,21.0,38.0,25.0,36.0,45.0,35.84788029925187
2020-01-31,0.0,7.0,16.0,0.0,13.0,8.0,37.0,23.0,29.0,15.0,36.0,32.0,17.0,0.0,5.0,14.0,29.0,17.0,9.0,9.0,19.70074812967581
2020-02-01,96.0,23.0,9.0,18.0,21.0,53.0,55.0,50.0,39.0,39.0,24.0,60.0,46.0,46.0,11.0,24.0,62.0,27.0,30.0,50.0,48.81546134663341
2020-02-02,21.0,15.0,58.0,29.0,47.0,25.0,46.0,24.0,61.0,38.0,31.0,49.0,36.0,35.0,21.0,23.0,30.0,26.0,39.0,48.0,43.765586034912715
2020-02-03,34.0,25.0,28.0,15.0,11.0,35.0,13.0,20.0,13.0,32.0,13.0,28.0,15.0,22.0,4.0,13.0,25.0,15.0,8.0,48.0,25.997506234413965
2020-02-04,56.0,7.0,23.0,32.0,30.0,31.0,28.0,44.0,21.0,34.0,35.0,45.0,24.0,16.0,5.0,14.0,37.0,24.0,44.0,26.0,35.910224438902745
2020-02-05,19.0,35.0,39.0,44.0,13.0,40.0,36.0,45.0,14.0,43.0,36.0,47.0,33.0,42.0,15.0,29.0,47.0,33.0,18.0,36.0,41.396508728179555
2020-02-06,49.0,35.0,16.0,11.0,26.0,41.0,15.0,31.0,30.0,15.0,7.0,32.0,60.0,51.0,25.0,7.0,48.0,42.0,19.0,65.0,38.96508728179551
2020-02-07,10.0,0.0,24.0,6.0,7.0,17.0,8.0,0.0,15.0,22.0,0.0,0.0,34.0,43.0,10.0,15.0,30.0,9.0,38.0,19.0,19.139650872817956
2020-02-08,22.0,16.0,43.0,6.0,21.0,27.0,25.0,17.0,0.0,8.0,32.0,18.0,46.0,19.0,5.0,24.0,21.0,28.0,41.0,30.0,27.992518703241895
2020-02-09,19.0,42.0,31.0,27.0,31.0,24.0,22.0,8.0,36.0,28.0,29.0,23.0,8.0,8.0,5.0,7.0,28.0,17.0,9.0,18.0,26.184538653366584
2020-02-10,36.0,33.0,22.0,16.0,35.0,45.0,34.0,49.0,33.0,33.0,34.0,51.0,54.0,31.0,19.0,20.0,62.0,23.0,26.0,25.0,42.456359102244384
2020-02-11,18.0,20.0,15.0,21.0,0.0,31.0,14.0,7.0,21.0,14.0,14.0,15.0,32.0,16.0,14.0,7.0,18.0,16.0,26.0,26.0,21.50872817955112
2020-02-12,46.0,48.0,30.0,11.0,42.0,38.0,14.0,59.0,27.0,41.0,7.0,30.0,48.0,8.0,19.0,21.0,18.0,24.0,44.0,26.0,37.46882793017456
2020-02-13,18.0,7.0,15.0,21.0,0.0,23.0,21.0,22.0,14.0,28.0,35.0,8.0,48.0,24.0,10.0,41.0,63.0,47.0,35.0,26.0,31.546134663341643
