date,/m/0g9pc_0,/m/0g9pc_1,/m/0g9pc_2,/m/0g9pc_3,/m/0g9pc_4,/m/0g9pc_5,/m/0g9pc_6,/m/0g9pc_7,/m/0g9pc_8,/m/0g9pc_9,/m/0g9pc_10,/m/0g9pc_11,/m/0g9pc_12,/m/0g9pc_13,/m/0g9pc_14,/m/0g9pc_15,/m/0g9pc_16,/m/0g9pc_17,/m/0g9pc_18,/m/0g9pc_19,/m/0g9pc
2020-01-29,26.0,13.0,10.0,16.0,11.0,25.0,14.0,23.0,17.0,0.0,15.0,4.0,11.0,18.0,15.0,7.0,17.0,22.0,30.0,20.0,17.891737891737893
2020-01-30,27.0,24.0,21.0,29.0,25.0,33.0,45.0,7.0,24.0,33.0,23.0,15.0,34.0,26.0,31.0,20.0,32.0,30.0,24.0,28.0,30.256410256410255
2020-01-31,24.0,24.0,44.0,13.0,26.0,23.0,19.0,48.0,29.0,44.0,31.0,27.0,16.0,23.0,20.0,21.0,8.0,40.0,40.0,47.0,32.30769230769231
2020-02-01,14.0,7.0,7.0,9.0,7.0,16.0,11.0,18.0,7.0,11.0,23.0,22.0,11.0,11.0,27.0,10.0,22.0,23.0,23.0,25.0,17.321937321937323
2020-02-02,16.0,12.0,10.0,24.0,7.0,17.0,21.0,17.0,13.0,7.0,22.0,14.0,14.0,4.0,15.0,13.0,17.0,14.0,15.0,12.0,16.182336182336183
2020-02-03,3.0,6.0,16.0,8.0,10.0,10.0,0.0,12.0,3.0,10.0,7.0,3.0,13.0,7.0,10.0,6.0,6.0,3.0,3.0,11.0,8.376068376068377
2020-02-04,3.0,7.0,7.0,16.0,14.0,19.0,7.0,0.0,3.0,7.0,4.0,11.0,11.0,7.0,11.0,13.0,15.0,11.0,11.0,12.0,10.769230769230768
2020-02-05,17.0,17.0,11.0,13.0,14.0,19.0,18.0,14.0,14.0,7.0,8.0,19.0,4.0,15.0,11.0,7.0,14.0,11.0,4.0,12.0,14.188034188034187
2020-02-06,7.0,7.0,4.0,13.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0,4.0,0.0,4.0,4.0,4.0,0.0,4.0,8.0,0.0,4.273504273504273
2020-02-07,4.0,0.0,15.0,9.0,4.0,12.0,0.0,11.0,0.0,0.0,0.0,4.0,8.0,0.0,8.0,4.0,4.0,4.0,9.0,9.0,5.982905982905983
2020-02-08,18.0,29.0,12.0,9.0,23.0,33.0,20.0,23.0,19.0,35.0,12.0,28.0,16.0,32.0,25.0,11.0,23.0,29.0,9.0,27.0,24.672364672364672
2020-02-09,16.0,16.0,21.0,34.0,25.0,14.0,18.0,17.0,20.0,22.0,27.0,22.0,4.0,15.0,15.0,13.0,11.0,15.0,19.0,16.0,20.512820512820515
2020-02-10,0.0,10.0,0.0,8.0,0.0,4.0,3.0,7.0,10.0,7.0,0.0,4.0,3.0,4.0,0.0,0.0,0.0,0.0,4.0,8.0,4.102564102564102
2020-02-11,16.0,13.0,7.0,21.0,10.0,11.0,14.0,7.0,13.0,7.0,11.0,18.0,11.0,18.0,15.0,10.0,14.0,15.0,15.0,20.0,15.156695156695157
2020-02-12,3.0,3.0,11.0,8.0,7.0,11.0,15.0,3.0,3.0,14.0,15.0,4.0,7.0,7.0,11.0,0.0,4.0,11.0,4.0,8.0,8.49002849002849
2020-02-13,10.0,22.0,7.0,25.0,14.0,11.0,15.0,17.0,17.0,21.0,19.0,7.0,32.0,7.0,15.0,14.0,21.0,15.0,15.0,16.0,18.233618233618234
2020-02-14,3.0,7.0,7.0,4.0,7.0,7.0,7.0,4.0,7.0,7.0,12.0,4.0,11.0,0.0,15.0,7.0,4.0,0.0,4.0,8.0,7.122507122507122
2020-02-15,4.0,4.0,4.0,9.0,0.0,8.0,8.0,4.0,11.0,4.0,0.0,4.0,4.0,8.0,12.0,4.0,7.0,12.0,4.0,0.0,6.3247863247863245
2020-02-16,3.0,13.0,7.0,8.0,7.0,11.0,11.0,7.0,13.0,11.0,4.0,7.0,7.0,11.0,15.0,3.0,4.0,15.0,12.0,8.0,10.085470085470085
2020-02-17,3.0,15.0,10.0,12.0,13.0,11.0,7.0,10.0,13.0,10.0,4.0,7.0,14.0,7.0,11.0,3.0,3.0,4.0,7.0,8.0,9.8005698005698
2020-02-18,3.0,13.0,3.0,4.0,7.0,14.0,18.0,10.0,13.0,7.0,22.0,7.0,14.0,24.0,15.0,0.0,17.0,7.0,11.0,15.0,12.763532763532764
2020-02-19,0.0,0.0,7.0,4.0,3.0,0.0,0.0,0.0,3.0,0.0,4.0,3.0,3.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,1.8803418803418803
2020-02-20,0.0,7.0,0.0,0.0,4.0,8.0,11.0,11.0,3.0,7.0,4.0,7.0,0.0,4.0,12.0,3.0,4.0,8.0,4.0,0.0,5.527065527065527
2020-02-21,7.0,4.0,4.0,13.0,11.0,16.0,0.0,11.0,11.0,7.0,0.0,4.0,8.0,11.0,0.0,7.0,8.0,20.0,12.0,12.0,9.45868945868946
2020-02-22,11.0,7.0,8.0,9.0,4.0,0.0,8.0,11.0,11.0,8.0,12.0,4.0,12.0,8.0,0.0,0.0,12.0,4.0,16.0,9.0,8.774928774928775
2020-02-23,7.0,3.0,7.0,9.0,7.0,11.0,8.0,21.0,7.0,11.0,4.0,8.0,12.0,11.0,12.0,14.0,11.0,19.0,8.0,13.0,11.566951566951566
2020-02-24,17.0,16.0,7.0,8.0,17.0,22.0,18.0,17.0,19.0,21.0,15.0,18.0,26.0,22.0,16.0,3.0,21.0,15.0,11.0,27.0,19.145299145299145
2020-02-25,19.0,31.0,30.0,35.0,40.0,24.0,27.0,20.0,35.0,17.0,32.0,23.0,27.0,17.0,32.0,25.0,22.0,39.0,25.0,34.0,31.566951566951566
2020-02-26,27.0,39.0,42.0,49.0,32.0,47.0,37.0,42.0,34.0,54.0,34.0,36.0,33.0,43.0,38.0,40.0,42.0,42.0,38.0,37.0,44.78632478632478
2020-02-27,25.0,25.0,27.0,31.0,24.0,35.0,25.0,33.0,19.0,30.0,29.0,35.0,39.0,45.0,39.0,33.0,33.0,43.0,28.0,30.0,35.78347578347579
2020-02-28,34.0,47.0,58.0,38.0,32.0,53.0,48.0,39.0,51.0,54.0,39.0,60.0,48.0,45.0,65.0,31.0,62.0,61.0,51.0,61.0,55.66951566951567
2020-02-29,46.0,33.0,29.0,42.0,35.0,41.0,32.0,39.0,47.0,54.0,42.0,47.0,56.0,37.0,34.0,44.0,55.0,44.0,54.0,24.0,47.578347578347575
2020-03-01,24.0,27.0,18.0,21.0,26.0,27.0,30.0,21.0,24.0,32.0,23.0,50.0,30.0,27.0,35.0,27.0,28.0,27.0,39.0,25.0,31.965811965811966
2020-03-02,35.0,19.0,37.0,31.0,26.0,55.0,28.0,42.0,26.0,41.0,21.0,31.0,24.0,37.0,54.0,29.0,36.0,21.0,40.0,42.0,38.46153846153846
2020-03-03,39.0,36.0,38.0,46.0,35.0,47.0,25.0,45.0,46.0,46.0,42.0,36.0,47.0,51.0,49.0,39.0,41.0,37.0,45.0,72.0,49.116809116809115
2020-03-04,57.0,26.0,22.0,22.0,32.0,35.0,38.0,28.0,31.0,43.0,27.0,37.0,46.0,34.0,32.0,28.0,37.0,51.0,36.0,55.0,40.85470085470085
2020-03-05,48.0,44.0,37.0,55.0,39.0,42.0,42.0,57.0,42.0,51.0,33.0,38.0,35.0,43.0,62.0,32.0,44.0,28.0,44.0,66.0,50.256410256410255
2020-03-06,51.0,32.0,41.0,37.0,48.0,37.0,60.0,43.0,39.0,51.0,44.0,53.0,32.0,61.0,70.0,30.0,38.0,61.0,22.0,48.0,51.168091168091166
2020-03-07,31.0,25.0,44.0,47.0,44.0,55.0,46.0,44.0,18.0,41.0,52.0,49.0,46.0,45.0,60.0,32.0,62.0,36.0,48.0,43.0,49.458689458689456
2020-03-08,37.0,52.0,52.0,80.0,42.0,53.0,49.0,56.0,48.0,57.0,46.0,68.0,81.0,59.0,64.0,54.0,46.0,45.0,58.0,71.0,63.7037037037037
2020-03-09,40.0,37.0,49.0,57.0,39.0,64.0,40.0,46.0,43.0,37.0,61.0,48.0,58.0,48.0,56.0,57.0,26.0,52.0,51.0,18.0,52.82051282051282
2020-03-10,32.0,38.0,48.0,66.0,67.0,54.0,49.0,43.0,52.0,55.0,62.0,48.0,55.0,39.0,40.0,49.0,44.0,68.0,46.0,66.0,58.17663817663818
2020-03-11,45.0,56.0,47.0,56.0,47.0,56.0,54.0,42.0,61.0,51.0,47.0,53.0,73.0,45.0,72.0,36.0,34.0,47.0,67.0,53.0,59.37321937321937
2020-03-12,76.0,55.0,93.0,81.0,79.0,90.0,60.0,78.0,43.0,81.0,96.0,56.0,86.0,100.0,64.0,86.0,71.0,57.0,70.0,82.0,85.6980056980057
2020-03-13,78.0,100.0,67.0,97.0,100.0,91.0,81.0,84.0,70.0,71.0,63.0,84.0,100.0,97.0,100.0,67.0,80.0,100.0,78.0,100.0,97.32193732193733
2020-03-14,90.0,70.0,100.0,81.0,81.0,84.0,86.0,61.0,73.0,84.0,96.0,99.0,53.0,89.0,76.0,100.0,83.0,78.0,60.0,79.0,92.47863247863249
2020-03-15,75.0,66.0,78.0,100.0,83.0,72.0,66.0,55.0,71.0,57.0,96.0,56.0,62.0,85.0,61.0,71.0,78.0,77.0,50.0,76.0,81.76638176638177
2020-03-16,67.0,79.0,72.0,85.0,80.0,100.0,99.0,100.0,100.0,51.0,100.0,82.0,90.0,90.0,99.0,79.0,90.0,94.0,100.0,98.0,100.0
2020-03-17,100.0,70.0,81.0,98.0,86.0,83.0,100.0,96.0,64.0,100.0,88.0,100.0,81.0,88.0,63.0,48.0,100.0,84.0,66.0,97.0,96.46723646723646
2020-03-18,63.0,70.0,77.0,99.0,78.0,80.0,85.0,93.0,77.0,94.0,87.0,68.0,87.0,82.0,94.0,59.0,69.0,84.0,65.0,94.0,91.45299145299145
2020-03-19,42.0,41.0,65.0,76.0,68.0,36.0,78.0,68.0,55.0,51.0,69.0,82.0,46.0,76.0,37.0,86.0,68.0,66.0,71.0,80.0,71.85185185185185
2020-03-20,31.0,54.0,58.0,67.0,52.0,47.0,56.0,51.0,52.0,45.0,43.0,49.0,34.0,74.0,40.0,40.0,45.0,61.0,58.0,52.0,57.49287749287749
2020-03-21,59.0,48.0,76.0,69.0,69.0,81.0,61.0,49.0,58.0,53.0,45.0,56.0,78.0,58.0,62.0,72.0,36.0,50.0,63.0,61.0,68.6039886039886
2020-03-22,57.0,77.0,72.0,71.0,73.0,90.0,67.0,72.0,52.0,71.0,90.0,75.0,71.0,53.0,85.0,49.0,72.0,81.0,76.0,79.0,81.65242165242167
2020-03-23,46.0,37.0,42.0,61.0,48.0,51.0,45.0,38.0,35.0,58.0,45.0,51.0,47.0,57.0,42.0,20.0,49.0,58.0,41.0,62.0,53.162393162393165
2020-03-24,45.0,46.0,43.0,71.0,53.0,49.0,57.0,53.0,41.0,57.0,49.0,50.0,53.0,51.0,42.0,39.0,36.0,52.0,43.0,62.0,56.52421652421653
2020-03-25,61.0,24.0,49.0,51.0,56.0,30.0,50.0,36.0,50.0,57.0,58.0,43.0,56.0,47.0,51.0,44.0,42.0,36.0,44.0,62.0,53.96011396011396
2020-03-26,43.0,41.0,35.0,55.0,37.0,64.0,42.0,31.0,33.0,41.0,50.0,45.0,42.0,66.0,48.0,47.0,40.0,64.0,41.0,46.0,51.90883190883191
2020-03-27,57.0,34.0,28.0,46.0,54.0,53.0,44.0,42.0,35.0,31.0,49.0,29.0,47.0,36.0,33.0,38.0,45.0,36.0,37.0,52.0,47.065527065527064
2020-03-28,30.0,39.0,33.0,35.0,38.0,44.0,27.0,48.0,31.0,36.0,52.0,40.0,46.0,37.0,59.0,50.0,26.0,48.0,49.0,48.0,46.495726495726494
2020-03-29,15.0,23.0,34.0,43.0,33.0,35.0,32.0,30.0,26.0,28.0,26.0,31.0,25.0,13.0,46.0,29.0,24.0,40.0,27.0,42.0,34.3019943019943
2020-03-30,23.0,29.0,19.0,38.0,27.0,37.0,34.0,36.0,37.0,33.0,50.0,25.0,31.0,28.0,26.0,31.0,27.0,35.0,38.0,35.0,36.41025641025641
2020-03-31,29.0,24.0,31.0,49.0,24.0,26.0,29.0,27.0,18.0,31.0,30.0,23.0,20.0,26.0,30.0,29.0,24.0,15.0,24.0,38.0,31.16809116809117
2020-04-01,16.0,22.0,21.0,31.0,20.0,21.0,33.0,17.0,11.0,14.0,21.0,18.0,24.0,21.0,31.0,22.0,17.0,15.0,28.0,19.0,24.045584045584047
2020-04-02,23.0,16.0,20.0,24.0,26.0,21.0,21.0,29.0,34.0,27.0,28.0,39.0,15.0,24.0,28.0,34.0,17.0,19.0,40.0,37.0,29.743589743589745
2020-04-03,25.0,19.0,26.0,24.0,33.0,31.0,31.0,32.0,20.0,15.0,28.0,24.0,37.0,22.0,16.0,26.0,21.0,28.0,29.0,40.0,30.02849002849003
2020-04-04,22.0,24.0,24.0,28.0,39.0,32.0,21.0,43.0,26.0,27.0,43.0,35.0,32.0,31.0,36.0,33.0,43.0,21.0,18.0,27.0,34.472934472934476
2020-04-05,16.0,10.0,23.0,32.0,17.0,18.0,29.0,7.0,13.0,31.0,29.0,17.0,17.0,21.0,22.0,6.0,27.0,22.0,29.0,31.0,23.76068376068376
2020-04-06,29.0,26.0,17.0,16.0,31.0,26.0,12.0,19.0,13.0,25.0,30.0,26.0,17.0,23.0,21.0,24.0,11.0,21.0,18.0,28.0,24.672364672364672
2020-04-07,19.0,19.0,11.0,26.0,14.0,32.0,33.0,25.0,14.0,35.0,34.0,26.0,27.0,36.0,24.0,19.0,28.0,27.0,22.0,32.0,28.66096866096866
2020-04-08,19.0,19.0,12.0,21.0,20.0,18.0,12.0,20.0,22.0,27.0,35.0,15.0,22.0,25.0,15.0,14.0,17.0,18.0,6.0,17.0,21.31054131054131
2020-04-09,22.0,14.0,9.0,27.0,14.0,9.0,21.0,14.0,14.0,23.0,19.0,15.0,25.0,9.0,16.0,17.0,20.0,22.0,13.0,17.0,19.373219373219374
2020-04-10,14.0,27.0,27.0,11.0,15.0,15.0,21.0,20.0,11.0,24.0,19.0,18.0,19.0,24.0,16.0,31.0,21.0,19.0,19.0,23.0,22.45014245014245
2020-04-11,6.0,13.0,17.0,19.0,20.0,21.0,17.0,29.0,16.0,26.0,21.0,24.0,14.0,21.0,14.0,19.0,23.0,18.0,18.0,11.0,20.911680911680914
2020-04-12,15.0,3.0,10.0,8.0,7.0,17.0,17.0,13.0,13.0,13.0,11.0,13.0,17.0,17.0,14.0,25.0,10.0,21.0,21.0,11.0,15.726495726495726
2020-04-13,9.0,9.0,6.0,22.0,6.0,10.0,7.0,12.0,12.0,3.0,3.0,6.0,7.0,6.0,17.0,9.0,6.0,10.0,7.0,7.0,9.914529914529913
2020-04-14,13.0,10.0,25.0,13.0,14.0,12.0,26.0,22.0,8.0,17.0,12.0,17.0,17.0,23.0,27.0,5.0,11.0,21.0,18.0,19.0,18.803418803418804
2020-04-15,22.0,8.0,15.0,10.0,15.0,9.0,6.0,20.0,8.0,18.0,16.0,15.0,15.0,12.0,23.0,14.0,20.0,12.0,13.0,7.0,15.84045584045584
2020-04-16,8.0,11.0,9.0,20.0,18.0,6.0,12.0,17.0,17.0,9.0,19.0,21.0,15.0,24.0,22.0,8.0,20.0,16.0,3.0,23.0,16.98005698005698
2020-04-17,11.0,11.0,21.0,21.0,9.0,12.0,12.0,20.0,16.0,17.0,9.0,24.0,18.0,22.0,16.0,25.0,32.0,12.0,16.0,17.0,19.43019943019943
2020-04-18,15.0,12.0,23.0,38.0,27.0,17.0,13.0,13.0,18.0,13.0,7.0,14.0,17.0,24.0,24.0,16.0,22.0,31.0,14.0,22.0,21.65242165242165
2020-04-19,12.0,24.0,19.0,30.0,6.0,30.0,10.0,22.0,22.0,19.0,42.0,19.0,33.0,33.0,21.0,28.0,19.0,31.0,24.0,33.0,27.17948717948718
