date,/m/02gy9__0,/m/02gy9__1,/m/02gy9__2,/m/02gy9__3,/m/02gy9__4,/m/02gy9__5,/m/02gy9__6,/m/02gy9__7,/m/02gy9__8,/m/02gy9__9,/m/02gy9_,batch_id
2020-02-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2020-02-28,0.0,0.0,39.0,0.0,0.0,32.0,39.0,0.0,33.0,32.0,23.117569352708056,0
2020-02-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2020-03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2020-03-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2020-03-03,0.0,41.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.171730515191545,0
2020-03-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2020-03-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2020-03-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2020-03-07,0.0,0.0,0.0,0.0,0.0,37.0,0.0,0.0,0.0,37.0,9.775429326287979,0
2020-03-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,0.0,34.0,11.360634081902246,0
2020-03-09,0.0,0.0,35.0,29.0,0.0,0.0,35.0,0.0,0.0,0.0,13.077939233817702,0
2020-03-10,41.0,40.0,35.0,29.0,35.0,0.0,0.0,0.0,29.0,0.0,27.60898282694848,0
2020-03-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2020-03-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2020-03-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2020-03-14,0.0,0.0,0.0,35.0,42.0,0.0,42.0,53.0,0.0,35.0,27.344782034346103,0
2020-03-15,46.0,0.0,39.0,0.0,40.0,33.0,0.0,0.0,0.0,33.0,25.23117569352708,0
2020-03-16,0.0,39.0,0.0,0.0,35.0,28.0,34.0,42.0,28.0,28.0,30.911492734478202,0
2020-03-17,0.0,0.0,0.0,28.0,0.0,28.0,0.0,42.0,0.0,0.0,12.945838837516513,0
2020-03-18,40.0,0.0,0.0,28.0,69.0,28.0,34.0,84.0,28.0,28.0,44.78203434610304,0
2020-03-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2020-03-20,41.0,39.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,28.0,17.96565389696169,0
2020-03-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2020-03-22,47.0,0.0,0.0,0.0,40.0,0.0,40.0,0.0,0.0,0.0,16.77675033025099,0
2020-03-23,36.0,0.0,31.0,0.0,0.0,26.0,0.0,0.0,0.0,25.0,15.58784676354029,0
2020-03-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2020-03-25,38.0,0.0,0.0,0.0,0.0,0.0,33.0,0.0,27.0,0.0,12.945838837516513,0
2020-03-26,0.0,38.0,33.0,28.0,0.0,0.0,0.0,0.0,0.0,28.0,16.77675033025099,0
2020-03-27,0.0,37.0,65.0,0.0,33.0,27.0,0.0,40.0,27.0,27.0,33.817701453104355,0
2020-03-28,94.0,0.0,40.0,100.0,41.0,100.0,82.0,100.0,100.0,100.0,100.0,0
2020-03-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2020-03-30,0.0,75.0,97.0,27.0,33.0,27.0,0.0,82.0,27.0,27.0,52.17965653896962,0
2020-03-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2020-04-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,27.0,0.0,8.982826948480845,0
2020-04-02,39.0,38.0,65.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,22.32496697490092,0
2020-04-03,41.0,78.0,0.0,28.0,0.0,0.0,0.0,43.0,28.0,29.0,32.628797886393656,0
2020-04-04,0.0,47.0,0.0,0.0,42.0,34.0,42.0,0.0,0.0,0.0,21.79656538969617,0
2020-04-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2020-04-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2020-04-07,45.0,0.0,38.0,0.0,0.0,32.0,0.0,0.0,32.0,0.0,19.418758256274767,0
2020-04-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2020-04-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2020-04-10,0.0,0.0,0.0,34.0,0.0,0.0,0.0,52.0,0.0,0.0,11.360634081902246,0
2020-04-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2020-04-12,46.0,0.0,0.0,0.0,40.0,33.0,40.0,50.0,0.0,0.0,27.60898282694848,0
2020-04-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2020-04-14,0.0,0.0,0.0,0.0,0.0,0.0,33.0,41.0,0.0,27.0,13.34214002642008,0
2020-04-15,78.0,76.0,33.0,27.0,100.0,27.0,99.0,0.0,0.0,0.0,58.124174372523115,0
2020-04-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2020-04-17,0.0,39.0,34.0,0.0,35.0,29.0,0.0,43.0,29.0,0.0,27.60898282694848,0
2020-04-18,51.0,100.0,0.0,36.0,44.0,36.0,0.0,0.0,36.0,36.0,44.78203434610304,0
2020-04-19,0.0,50.0,43.0,0.0,0.0,0.0,0.0,0.0,36.0,36.0,21.79656538969617,0
2020-04-20,41.0,40.0,0.0,0.0,0.0,0.0,35.0,0.0,29.0,0.0,19.15455746367239,0
2020-04-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2020-04-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2020-04-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2020-04-24,0.0,40.0,35.0,0.0,0.0,0.0,35.0,0.0,29.0,29.0,22.192866578599734,0
2020-04-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2020-04-26,48.0,0.0,40.0,34.0,42.0,0.0,0.0,0.0,0.0,0.0,21.664464993394976,0
2020-04-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2020-04-28,0.0,0.0,34.0,0.0,0.0,28.0,0.0,0.0,28.0,0.0,11.889035667107,0
2020-04-29,0.0,39.0,0.0,0.0,70.0,56.0,68.0,0.0,57.0,0.0,38.30911492734478,0
2020-04-30,39.0,76.0,100.0,56.0,34.0,82.0,100.0,0.0,27.0,28.0,71.59841479524438,0
2020-05-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2020-05-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2020-05-03,0.0,0.0,40.0,34.0,0.0,34.0,0.0,51.0,0.0,0.0,21.003963011889034,0
2020-05-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2020-05-05,0.0,37.0,0.0,0.0,33.0,0.0,0.0,41.0,0.0,0.0,14.663143989431967,0
2020-05-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2020-05-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2020-05-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2020-05-09,100.0,48.0,42.0,35.0,0.0,0.0,42.0,53.0,35.0,0.0,46.89564068692206,0
2020-05-10,0.0,45.0,0.0,0.0,39.0,0.0,39.0,0.0,0.0,0.0,16.248348745046236,0
2020-05-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2020-05-12,0.0,0.0,0.0,0.0,0.0,0.0,34.0,42.0,0.0,0.0,10.039630118890356,0
2020-05-13,0.0,0.0,0.0,0.0,35.0,29.0,0.0,0.0,0.0,0.0,8.454425363276089,0
