date,/m/0m7pl_0,/m/0m7pl_1,/m/0m7pl_2,/m/0m7pl_3,/m/0m7pl_4,/m/0m7pl_5,/m/0m7pl_6,/m/0m7pl_7,/m/0m7pl_8,/m/0m7pl_9,/m/0m7pl_10,/m/0m7pl_11,/m/0m7pl_12,/m/0m7pl_13,/m/0m7pl_14,/m/0m7pl_15,/m/0m7pl_16,/m/0m7pl_17,/m/0m7pl_18,/m/0m7pl_19,/m/0m7pl
2020-10-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.086474501108647
2020-10-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-10-24,96.0,0.0,0.0,0.0,0.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,56.0,58.0,0.0,58.0,0.0,100.0,56.0,0.0,52.4390243902439
2020-10-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.0,0.0,0.0,17.073170731707318
2020-10-26,87.0,52.0,0.0,0.0,47.0,0.0,0.0,52.0,0.0,0.0,0.0,43.0,0.0,0.0,35.0,0.0,0.0,0.0,49.0,43.0,45.232815964523276
2020-10-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,49.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,22.283813747228383
2020-10-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.4323725055432375
2020-10-29,0.0,99.0,0.0,0.0,46.0,83.0,98.0,0.0,100.0,0.0,0.0,0.0,48.0,49.0,71.0,51.0,0.0,0.0,0.0,0.0,71.50776053215077
2020-10-30,0.0,0.0,44.0,0.0,43.0,39.0,0.0,47.0,32.0,0.0,0.0,40.0,44.0,0.0,0.0,47.0,0.0,79.0,0.0,0.0,46.008869179600886
2020-10-31,0.0,0.0,0.0,48.0,0.0,0.0,50.0,0.0,35.0,0.0,96.0,0.0,0.0,0.0,0.0,51.0,50.0,0.0,49.0,43.0,46.78492239467849
2020-11-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.0,0.0,0.0,0.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,15.853658536585366
2020-11-02,0.0,0.0,0.0,0.0,0.0,42.0,48.0,0.0,0.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.0,0.0,0.0,24.16851441241685
2020-11-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.0,0.0,0.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.858093126385809
2020-11-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
