,/m/01c751_0,/m/01c751_1,/m/01c751_2,/m/01c751_3,/m/01c751_4,/m/01c751_5,/m/01c751_6,/m/01c751_7,/m/01c751_8,/m/01c751_9,/m/01c751_10,/m/01c751_11,/m/01c751_12,/m/01c751_13,/m/01c751_14,/m/01c751_15,/m/01c751_16,/m/01c751_17,/m/01c751_18,/m/01c751_19,/m/01c751
2020-11-06,30.0,23.0,36.0,27.0,26.0,23.0,44.0,0.0,30.0,0.0,23.0,21.0,0.0,57.0,0.0,58.0,0.0,30.0,0.0,18.0,32.01722900215362
2020-11-07,0.0,44.0,35.0,0.0,13.0,0.0,64.0,31.0,29.0,22.0,0.0,0.0,43.0,28.0,30.0,28.0,62.0,58.0,0.0,0.0,34.96051687006461
2020-11-08,15.0,23.0,0.0,55.0,13.0,45.0,0.0,31.0,15.0,45.0,22.0,0.0,0.0,29.0,30.0,0.0,43.0,90.0,23.0,18.0,35.678391959798994
2020-11-09,15.0,46.0,18.0,28.0,20.0,0.0,67.0,32.0,31.0,0.0,0.0,21.0,23.0,58.0,0.0,59.0,43.0,59.0,46.0,18.0,41.92390524048815
2020-11-10,46.0,0.0,37.0,84.0,53.0,70.0,68.0,64.0,46.0,23.0,68.0,21.0,45.0,88.0,0.0,29.0,0.0,31.0,92.0,55.0,66.04450825556353
2020-11-11,0.0,22.0,17.0,79.0,25.0,0.0,42.0,61.0,0.0,21.0,22.0,20.0,21.0,0.0,60.0,82.0,21.0,29.0,65.0,0.0,42.13926776740847
2020-11-12,0.0,46.0,19.0,0.0,13.0,0.0,0.0,0.0,15.0,46.0,0.0,22.0,23.0,29.0,0.0,30.0,0.0,0.0,47.0,0.0,20.818377602297197
2020-11-13,15.0,23.0,0.0,55.0,13.0,46.0,22.0,0.0,0.0,44.0,45.0,0.0,0.0,57.0,61.0,29.0,0.0,30.0,45.0,37.0,37.47307968413496
2020-11-14,0.0,23.0,0.0,0.0,13.0,0.0,0.0,0.0,15.0,23.0,0.0,42.0,45.0,0.0,0.0,0.0,0.0,30.0,23.0,37.0,18.01866475233309
2020-11-15,0.0,44.0,0.0,27.0,13.0,23.0,0.0,31.0,15.0,22.0,0.0,21.0,22.0,28.0,0.0,0.0,0.0,0.0,0.0,18.0,18.951902368987795
2020-11-16,0.0,0.0,0.0,28.0,13.0,23.0,23.0,33.0,15.0,0.0,0.0,0.0,23.0,0.0,31.0,0.0,0.0,0.0,0.0,0.0,13.567839195979897
2020-11-17,0.0,47.0,0.0,85.0,41.0,47.0,23.0,100.0,16.0,46.0,47.0,65.0,0.0,30.0,95.0,60.0,45.0,62.0,0.0,0.0,58.07609475951185
2020-11-18,15.0,0.0,0.0,56.0,13.0,0.0,22.0,0.0,0.0,22.0,0.0,22.0,0.0,58.0,0.0,58.0,22.0,30.0,45.0,0.0,26.058865757358213
2020-11-19,0.0,0.0,0.0,28.0,13.0,0.0,0.0,33.0,0.0,0.0,0.0,21.0,23.0,29.0,31.0,0.0,0.0,0.0,0.0,0.0,12.778176597272074
2020-11-20,16.0,23.0,37.0,0.0,0.0,24.0,23.0,33.0,16.0,23.0,0.0,0.0,46.0,0.0,32.0,60.0,0.0,0.0,0.0,19.0,25.269203158650395
2020-11-21,0.0,0.0,0.0,0.0,13.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,0.0,0.0,22.0,0.0,23.0,19.0,9.260588657573582
2020-11-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
