date,/m/0hn9s_0,/m/0hn9s_1,/m/0hn9s_2,/m/0hn9s_3,/m/0hn9s_4,/m/0hn9s_5,/m/0hn9s_6,/m/0hn9s_7,/m/0hn9s_8,/m/0hn9s_9,/m/0hn9s,batch_id
2020-05-11,4.0,6.0,5.0,6.0,3.0,10.0,6.0,4.0,4.0,2.0,5.020080321285141,0
2020-05-12,7.0,4.0,7.0,11.0,14.0,6.0,4.0,8.0,11.0,8.0,8.032128514056225,0
2020-05-13,7.0,0.0,7.0,2.0,8.0,4.0,11.0,13.0,11.0,4.0,6.7269076305220885,0
2020-05-14,2.0,2.0,2.0,0.0,3.0,0.0,2.0,2.0,4.0,4.0,2.108433734939759,0
2020-05-15,7.0,8.0,12.0,7.0,9.0,6.0,2.0,2.0,7.0,6.0,6.626506024096386,0
2020-05-16,3.0,7.0,0.0,7.0,3.0,2.0,5.0,7.0,3.0,4.0,4.116465863453815,0
2020-05-17,5.0,2.0,3.0,7.0,3.0,10.0,10.0,7.0,5.0,9.0,6.124497991967872,0
2020-05-18,7.0,4.0,5.0,0.0,6.0,2.0,2.0,4.0,0.0,2.0,3.21285140562249,0
2020-05-19,4.0,4.0,2.0,4.0,3.0,4.0,11.0,13.0,9.0,4.0,5.8232931726907635,0
2020-05-20,2.0,4.0,2.0,2.0,3.0,0.0,4.0,0.0,2.0,0.0,1.9076305220883536,0
2020-05-21,3.0,0.0,3.0,0.0,3.0,2.0,0.0,3.0,0.0,2.0,1.606425702811245,0
2020-05-22,9.0,4.0,2.0,2.0,6.0,8.0,4.0,7.0,7.0,6.0,5.522088353413655,0
2020-05-23,2.0,2.0,3.0,5.0,6.0,5.0,9.0,9.0,5.0,6.0,5.220883534136546,0
2020-05-24,9.0,2.0,7.0,7.0,14.0,2.0,2.0,0.0,5.0,4.0,5.220883534136546,0
2020-05-25,6.0,11.0,2.0,8.0,11.0,12.0,4.0,8.0,9.0,17.0,8.835341365461849,0
2020-05-26,2.0,2.0,2.0,2.0,6.0,4.0,9.0,2.0,4.0,4.0,3.714859437751004,0
2020-05-27,0.0,8.0,7.0,0.0,3.0,8.0,6.0,2.0,2.0,2.0,3.815261044176707,0
2020-05-28,2.0,8.0,5.0,9.0,8.0,8.0,4.0,13.0,2.0,6.0,6.526104417670683,0
2020-05-29,24.0,18.0,20.0,16.0,24.0,11.0,9.0,25.0,23.0,12.0,18.27309236947791,0
2020-05-30,3.0,7.0,6.0,10.0,17.0,5.0,3.0,5.0,3.0,5.0,6.42570281124498,0
2020-05-31,5.0,4.0,8.0,7.0,10.0,5.0,2.0,5.0,8.0,0.0,5.421686746987952,0
2020-06-01,3.0,13.0,5.0,12.0,12.0,5.0,7.0,2.0,15.0,13.0,8.734939759036143,0
2020-06-02,4.0,6.0,5.0,6.0,0.0,2.0,6.0,4.0,9.0,6.0,4.819277108433735,0
