date,/m/02gy9__0,/m/02gy9__1,/m/02gy9__2,/m/02gy9__3,/m/02gy9__4,/m/02gy9__5,/m/02gy9__6,/m/02gy9__7,/m/02gy9__8,/m/02gy9__9,/m/02gy9_,batch_id
2020-01-01,47.0,83.0,67.0,62.0,58.0,40.0,60.0,65.0,63.0,74.0,71.31336405529954,0
2020-01-02,42.0,47.0,49.0,41.0,42.0,41.0,36.0,64.0,30.0,37.0,49.423963133640555,0
2020-01-03,47.0,49.0,36.0,28.0,48.0,29.0,63.0,49.0,33.0,47.0,49.423963133640555,0
2020-01-04,59.0,42.0,60.0,52.0,38.0,45.0,43.0,52.0,38.0,60.0,56.33640552995392,0
2020-01-05,52.0,56.0,40.0,50.0,38.0,47.0,59.0,54.0,53.0,54.0,57.94930875576037,0
2020-01-06,61.0,57.0,72.0,74.0,50.0,48.0,51.0,44.0,62.0,63.0,67.05069124423963,0
2020-01-07,83.0,68.0,70.0,38.0,55.0,58.0,77.0,67.0,72.0,63.0,74.99999999999999,0
2020-01-08,58.0,46.0,45.0,42.0,46.0,49.0,20.0,46.0,45.0,63.0,52.995391705069125,0
2020-01-09,58.0,44.0,63.0,50.0,67.0,40.0,40.0,56.0,52.0,45.0,59.331797235023046,0
2020-01-10,59.0,59.0,52.0,53.0,61.0,32.0,49.0,52.0,66.0,58.0,62.32718894009217,0
2020-01-11,48.0,33.0,57.0,28.0,39.0,26.0,23.0,32.0,49.0,40.0,43.20276497695853,0
2020-01-12,63.0,48.0,50.0,63.0,53.0,39.0,71.0,63.0,39.0,53.0,62.44239631336406,0
2020-01-13,52.0,46.0,46.0,49.0,42.0,38.0,48.0,48.0,54.0,54.0,54.953917050691246,0
2020-01-14,69.0,55.0,59.0,50.0,54.0,60.0,57.0,71.0,56.0,63.0,68.4331797235023,0
2020-01-15,39.0,35.0,61.0,47.0,50.0,49.0,41.0,75.0,53.0,43.0,56.79723502304147,0
2020-01-16,53.0,38.0,42.0,30.0,42.0,32.0,46.0,45.0,49.0,54.0,49.654377880184335,0
2020-01-17,30.0,36.0,47.0,39.0,40.0,39.0,25.0,40.0,61.0,24.0,43.894009216589865,0
2020-01-18,62.0,45.0,61.0,54.0,54.0,36.0,43.0,37.0,36.0,55.0,55.645161290322584,0
2020-01-19,68.0,49.0,49.0,50.0,46.0,47.0,41.0,49.0,56.0,58.0,59.10138248847927,0
2020-01-20,57.0,48.0,45.0,60.0,47.0,48.0,52.0,61.0,40.0,55.0,59.10138248847927,0
2020-01-21,53.0,53.0,65.0,43.0,60.0,49.0,56.0,54.0,51.0,52.0,61.75115207373272,0
2020-01-22,47.0,62.0,36.0,52.0,37.0,34.0,52.0,54.0,62.0,54.0,56.45161290322581,0
2020-01-23,51.0,40.0,62.0,43.0,42.0,28.0,50.0,45.0,48.0,55.0,53.45622119815668,0
2020-01-24,60.0,59.0,42.0,30.0,52.0,42.0,33.0,55.0,67.0,61.0,57.71889400921659,0
2020-01-25,59.0,49.0,49.0,50.0,48.0,58.0,53.0,50.0,81.0,55.0,63.594470046082954,0
2020-01-26,67.0,54.0,85.0,84.0,74.0,59.0,62.0,52.0,74.0,63.0,77.64976958525347,0
2020-01-27,74.0,53.0,81.0,63.0,71.0,49.0,72.0,56.0,62.0,65.0,74.42396313364054,0
2020-01-28,73.0,55.0,58.0,52.0,62.0,57.0,48.0,54.0,76.0,54.0,67.85714285714286,0
2020-01-29,70.0,37.0,52.0,56.0,50.0,35.0,55.0,59.0,31.0,48.0,56.79723502304147,0
2020-01-30,51.0,53.0,56.0,43.0,55.0,45.0,52.0,45.0,70.0,52.0,60.13824884792627,0
2020-01-31,49.0,39.0,53.0,46.0,58.0,42.0,42.0,58.0,60.0,46.0,56.79723502304147,0
2020-02-01,26.0,52.0,46.0,23.0,54.0,43.0,50.0,52.0,69.0,39.0,52.30414746543779,0
2020-02-02,79.0,82.0,68.0,63.0,53.0,66.0,79.0,77.0,61.0,78.0,81.33640552995391,0
2020-02-03,52.0,58.0,52.0,57.0,43.0,55.0,57.0,52.0,48.0,55.0,60.944700460829495,0
2020-02-04,52.0,30.0,52.0,46.0,49.0,49.0,53.0,52.0,46.0,45.0,54.60829493087558,0
2020-02-05,67.0,54.0,56.0,39.0,51.0,56.0,66.0,54.0,68.0,45.0,64.0552995391705,0
2020-02-06,73.0,49.0,67.0,60.0,54.0,56.0,49.0,59.0,44.0,62.0,66.01382488479263,0
2020-02-07,58.0,40.0,48.0,64.0,44.0,42.0,40.0,44.0,41.0,62.0,55.645161290322584,0
2020-02-08,42.0,48.0,42.0,49.0,29.0,31.0,31.0,46.0,57.0,43.0,48.15668202764977,0
2020-02-09,39.0,41.0,42.0,48.0,20.0,35.0,38.0,39.0,49.0,43.0,45.39170506912443,0
2020-02-10,89.0,71.0,78.0,85.0,85.0,100.0,92.0,93.0,85.0,87.0,99.65437788018434,0
2020-02-11,45.0,50.0,50.0,57.0,52.0,52.0,39.0,55.0,64.0,34.0,57.373271889400925,0
2020-02-12,72.0,45.0,71.0,73.0,65.0,52.0,64.0,68.0,38.0,75.0,71.7741935483871,0
2020-02-13,68.0,37.0,51.0,42.0,48.0,31.0,47.0,37.0,57.0,37.0,52.41935483870968,0
2020-02-14,63.0,53.0,50.0,54.0,41.0,59.0,49.0,41.0,52.0,34.0,57.142857142857146,0
2020-02-15,59.0,44.0,64.0,45.0,54.0,34.0,55.0,43.0,42.0,41.0,55.414746543778804,0
2020-02-16,48.0,35.0,54.0,43.0,34.0,36.0,50.0,49.0,44.0,42.0,50.11520737327189,0
2020-02-17,57.0,47.0,57.0,49.0,71.0,52.0,46.0,59.0,64.0,44.0,62.903225806451616,0
2020-02-18,62.0,59.0,63.0,67.0,50.0,42.0,58.0,46.0,61.0,53.0,64.63133640552995,0
2020-02-19,61.0,51.0,53.0,49.0,57.0,38.0,54.0,60.0,55.0,53.0,61.175115207373274,0
2020-02-20,38.0,30.0,67.0,37.0,49.0,41.0,30.0,40.0,47.0,33.0,47.465437788018434,0
2020-02-21,61.0,61.0,43.0,43.0,36.0,43.0,36.0,47.0,43.0,34.0,51.49769585253456,0
2020-02-22,34.0,26.0,51.0,45.0,37.0,32.0,42.0,43.0,28.0,41.0,43.663594470046085,0
2020-02-23,61.0,56.0,38.0,50.0,39.0,40.0,66.0,44.0,43.0,66.0,57.94930875576037,0
2020-02-24,36.0,52.0,61.0,38.0,42.0,49.0,49.0,48.0,61.0,50.0,55.99078341013825,0
2020-02-25,54.0,49.0,26.0,48.0,40.0,59.0,55.0,52.0,54.0,39.0,54.83870967741936,0
2020-02-26,58.0,44.0,62.0,57.0,50.0,42.0,62.0,58.0,52.0,78.0,64.86175115207374,0
2020-02-27,54.0,41.0,49.0,48.0,49.0,49.0,59.0,61.0,39.0,45.0,56.91244239631337,0
2020-02-28,40.0,31.0,49.0,48.0,54.0,36.0,34.0,35.0,46.0,40.0,47.58064516129033,0
2020-02-29,55.0,38.0,56.0,32.0,33.0,39.0,56.0,43.0,52.0,36.0,50.69124423963134,0
2020-03-01,68.0,69.0,60.0,86.0,59.0,69.0,61.0,56.0,67.0,56.0,74.99999999999999,0
2020-03-02,61.0,59.0,49.0,54.0,70.0,42.0,60.0,54.0,62.0,61.0,65.89861751152074,0
2020-03-03,66.0,53.0,67.0,60.0,48.0,40.0,50.0,63.0,71.0,45.0,64.86175115207374,0
2020-03-04,41.0,44.0,59.0,54.0,55.0,55.0,59.0,56.0,56.0,54.0,61.40552995391705,0
2020-03-05,57.0,43.0,33.0,50.0,40.0,25.0,44.0,41.0,40.0,43.0,47.92626728110599,0
2020-03-06,29.0,31.0,29.0,44.0,59.0,44.0,51.0,46.0,36.0,46.0,47.8110599078341,0
2020-03-07,43.0,57.0,47.0,36.0,45.0,48.0,51.0,35.0,62.0,40.0,53.45622119815668,0
2020-03-08,73.0,60.0,75.0,72.0,72.0,55.0,56.0,80.0,75.0,53.0,77.30414746543778,0
2020-03-09,62.0,45.0,54.0,55.0,50.0,40.0,58.0,36.0,56.0,66.0,60.13824884792627,0
2020-03-10,36.0,34.0,41.0,40.0,41.0,36.0,32.0,33.0,47.0,42.0,44.00921658986176,0
2020-03-11,68.0,72.0,76.0,58.0,70.0,66.0,50.0,56.0,42.0,60.0,71.19815668202766,0
2020-03-12,73.0,55.0,65.0,48.0,49.0,36.0,70.0,54.0,51.0,54.0,63.94009216589862,0
2020-03-13,59.0,55.0,51.0,53.0,45.0,43.0,55.0,49.0,55.0,45.0,58.755760368663594,0
2020-03-14,94.0,60.0,68.0,75.0,74.0,75.0,76.0,75.0,65.0,71.0,84.44700460829493,0
2020-03-15,88.0,56.0,60.0,69.0,75.0,62.0,78.0,72.0,60.0,69.0,79.37788018433181,0
2020-03-16,91.0,64.0,62.0,76.0,69.0,61.0,69.0,78.0,53.0,68.0,79.60829493087557,0
2020-03-17,62.0,63.0,64.0,47.0,42.0,37.0,45.0,55.0,56.0,43.0,59.21658986175115,0
2020-03-18,100.0,80.0,78.0,78.0,78.0,63.0,69.0,62.0,66.0,72.0,85.94470046082948,0
2020-03-19,88.0,73.0,76.0,84.0,70.0,55.0,69.0,50.0,73.0,80.0,82.7188940092166,0
2020-03-20,78.0,80.0,69.0,75.0,58.0,64.0,56.0,85.0,94.0,75.0,84.56221198156683,0
2020-03-21,100.0,89.0,79.0,72.0,78.0,82.0,87.0,81.0,100.0,95.0,99.42396313364056,0
2020-03-22,95.0,68.0,100.0,83.0,100.0,70.0,100.0,82.0,79.0,77.0,98.38709677419355,0
2020-03-23,93.0,57.0,92.0,96.0,91.0,62.0,66.0,77.0,70.0,100.0,92.62672811059909,0
2020-03-24,88.0,60.0,64.0,64.0,63.0,63.0,67.0,74.0,85.0,74.0,80.87557603686636,0
2020-03-25,72.0,68.0,70.0,74.0,81.0,85.0,59.0,85.0,68.0,86.0,86.17511520737328,0
2020-03-26,87.0,77.0,60.0,72.0,74.0,54.0,86.0,63.0,76.0,62.0,81.91244239631335,0
2020-03-27,82.0,62.0,94.0,81.0,71.0,69.0,68.0,80.0,50.0,74.0,84.21658986175115,0
2020-03-28,96.0,65.0,75.0,72.0,66.0,58.0,67.0,79.0,81.0,94.0,86.75115207373273,0
2020-03-29,91.0,74.0,72.0,82.0,72.0,63.0,81.0,85.0,80.0,89.0,90.89861751152075,0
2020-03-30,84.0,81.0,80.0,84.0,65.0,71.0,79.0,78.0,82.0,66.0,88.70967741935485,0
2020-03-31,91.0,71.0,57.0,63.0,74.0,63.0,57.0,69.0,65.0,79.0,79.37788018433181,0
2020-04-01,76.0,63.0,80.0,70.0,64.0,59.0,63.0,50.0,72.0,68.0,76.61290322580645,0
2020-04-02,67.0,47.0,70.0,68.0,79.0,76.0,69.0,59.0,77.0,82.0,79.95391705069126,0
2020-04-03,94.0,100.0,66.0,78.0,80.0,90.0,76.0,70.0,96.0,90.0,96.7741935483871,0
2020-04-04,94.0,69.0,62.0,67.0,71.0,78.0,95.0,90.0,72.0,78.0,89.40092165898616,0
2020-04-05,67.0,52.0,72.0,79.0,66.0,51.0,57.0,62.0,72.0,55.0,72.92626728110599,0
2020-04-06,83.0,64.0,44.0,52.0,49.0,54.0,44.0,64.0,53.0,63.0,65.66820276497695,0
2020-04-07,83.0,63.0,54.0,50.0,54.0,52.0,62.0,77.0,43.0,38.0,66.3594470046083,0
2020-04-08,80.0,51.0,70.0,63.0,68.0,53.0,54.0,70.0,65.0,75.0,74.76958525345623,0
2020-04-09,87.0,55.0,84.0,67.0,58.0,67.0,60.0,53.0,57.0,55.0,74.07834101382488,0
2020-04-10,61.0,44.0,64.0,57.0,58.0,51.0,52.0,54.0,61.0,52.0,63.82488479262673,0
2020-04-11,58.0,68.0,89.0,75.0,64.0,75.0,47.0,74.0,74.0,75.0,80.5299539170507,0
2020-04-12,62.0,59.0,68.0,65.0,51.0,59.0,45.0,63.0,70.0,61.0,69.47004608294931,0
2020-04-13,62.0,41.0,55.0,53.0,43.0,52.0,49.0,57.0,52.0,44.0,58.525345622119815,0
2020-04-14,58.0,52.0,51.0,68.0,75.0,49.0,49.0,56.0,50.0,49.0,64.17050691244239,0
2020-04-15,93.0,54.0,68.0,60.0,56.0,57.0,31.0,67.0,58.0,72.0,70.96774193548387,0
2020-04-16,54.0,51.0,58.0,48.0,53.0,35.0,44.0,59.0,67.0,58.0,60.714285714285715,0
2020-04-17,60.0,53.0,72.0,58.0,69.0,60.0,59.0,69.0,68.0,54.0,71.6589861751152,0
2020-04-18,62.0,56.0,62.0,52.0,59.0,61.0,72.0,57.0,63.0,45.0,67.85714285714286,0
2020-04-19,69.0,77.0,67.0,53.0,51.0,66.0,66.0,63.0,75.0,63.0,74.88479262672811,0
2020-04-20,78.0,63.0,56.0,70.0,63.0,70.0,57.0,56.0,93.0,54.0,76.036866359447,0
2020-04-21,72.0,79.0,74.0,49.0,74.0,75.0,78.0,58.0,75.0,73.0,81.45161290322581,0
2020-04-22,65.0,64.0,75.0,78.0,62.0,58.0,52.0,60.0,61.0,87.0,76.26728110599079,0
2020-04-23,89.0,66.0,93.0,100.0,81.0,72.0,87.0,95.0,86.0,99.0,100.0,0
2020-04-24,63.0,69.0,65.0,45.0,63.0,48.0,61.0,47.0,62.0,49.0,65.89861751152074,0
2020-04-25,55.0,38.0,50.0,59.0,47.0,53.0,59.0,68.0,60.0,69.0,64.28571428571429,0
2020-04-26,88.0,83.0,59.0,66.0,58.0,62.0,61.0,76.0,98.0,71.0,83.17972350230416,0
2020-04-27,77.0,62.0,52.0,48.0,72.0,67.0,72.0,73.0,78.0,93.0,79.95391705069126,0
2020-04-28,82.0,43.0,64.0,77.0,71.0,76.0,84.0,78.0,72.0,84.0,84.21658986175115,0
