,/m/0hn9s_0,/m/0hn9s_1,/m/0hn9s_2,/m/0hn9s_3,/m/0hn9s_4,/m/0hn9s_5,/m/0hn9s_6,/m/0hn9s_7,/m/0hn9s_8,/m/0hn9s_9,/m/0hn9s_10,/m/0hn9s_11,/m/0hn9s_12,/m/0hn9s_13,/m/0hn9s_14,/m/0hn9s_15,/m/0hn9s_16,/m/0hn9s_17,/m/0hn9s_18,/m/0hn9s_19,/m/0hn9s
2020-11-18,0.0,24.0,0.0,23.0,28.0,22.0,0.0,25.0,0.0,0.0,31.16883116883117,0.0,0.0,0.0,22.0,0.0,25.0,30.0,28.0,0.0,20.163749203301386
2020-11-19,0.0,48.0,24.0,24.0,85.0,43.0,85.96491228070175,24.0,28.40909090909091,29.0,96.1038961038961,22.0,84.0,0.0,45.0,0.0,48.0,59.0,57.0,55.223880597014926,66.98904551197167
2020-11-20,49.0,50.0,25.0,24.0,58.0,22.0,87.71929824561404,50.0,29.545454545454547,0.0,66.23376623376623,45.0,58.0,32.0,23.0,23.0,50.0,31.0,0.0,28.35820895522388,58.72223393958256
2020-11-21,25.0,51.0,25.0,25.0,29.0,0.0,43.85964912280702,26.0,0.0,30.0,33.76623376623377,23.0,0.0,33.0,24.0,24.0,0.0,0.0,30.0,29.850746268656717,35.339762857447994
2020-11-22,100.0,25.0,25.0,73.0,29.0,23.0,91.2280701754386,25.0,29.545454545454547,60.0,0.0,23.0,29.0,66.0,47.0,24.0,26.0,0.0,30.0,58.208955223880594,61.23135017430093
2020-11-23,49.0,75.0,49.0,0.0,58.0,0.0,87.71929824561404,50.0,59.09090909090909,58.0,32.467532467532465,45.0,0.0,0.0,23.0,23.0,100.0,92.0,59.0,28.35820895522388,69.40509558298363
2020-11-24,23.0,0.0,0.0,0.0,28.0,21.0,42.10526315789474,0.0,28.40909090909091,28.0,31.16883116883117,22.0,55.0,0.0,0.0,22.0,0.0,29.0,0.0,0.0,25.749231747086053
2020-11-25,0.0,23.0,46.0,0.0,0.0,21.0,0.0,23.0,27.272727272727273,0.0,31.16883116883117,21.0,0.0,30.0,22.0,22.0,0.0,29.0,0.0,0.0,23.074859430851816
2020-11-26,0.0,24.0,0.0,48.0,29.0,22.0,0.0,50.0,29.545454545454547,29.0,63.63636363636363,22.0,28.0,64.0,46.0,23.0,0.0,30.0,58.0,55.223880597014926,48.533622772939054
2020-11-27,23.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,28.40909090909091,28.0,0.0,0.0,0.0,31.0,22.0,0.0,0.0,29.0,0.0,0.0,14.793410144149561
2020-11-28,0.0,0.0,0.0,0.0,0.0,21.0,0.0,24.0,28.40909090909091,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,28.35820895522388,9.666592139474108
2020-11-29,25.0,25.0,0.0,49.0,0.0,0.0,87.71929824561404,0.0,0.0,0.0,0.0,22.0,29.0,0.0,23.0,0.0,51.0,30.0,59.0,28.35820895522388,33.512222233820054
2020-11-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
