,/m/0g9pc_0,/m/0g9pc_1,/m/0g9pc_2,/m/0g9pc_3,/m/0g9pc_4,/m/0g9pc_5,/m/0g9pc_6,/m/0g9pc_7,/m/0g9pc_8,/m/0g9pc_9,/m/0g9pc_10,/m/0g9pc_11,/m/0g9pc_12,/m/0g9pc_13,/m/0g9pc_14,/m/0g9pc_15,/m/0g9pc_16,/m/0g9pc_17,/m/0g9pc_18,/m/0g9pc_19,/m/0g9pc
2020-10-05,21.0,21.0,5.0,26.0,30.0,10.0,28.0,35.0,15.0,26.0,24.0,26.0,12.0,34.0,28.0,30.0,15.0,23.0,12.0,14.0,23.796498905908095
2020-10-06,20.0,11.0,0.0,17.0,26.0,24.0,28.0,36.0,15.0,10.0,18.0,31.0,37.0,21.0,34.0,37.0,51.0,40.0,29.0,35.0,28.44638949671772
2020-10-07,34.0,21.0,20.0,68.0,37.0,28.0,17.0,28.0,35.0,23.0,18.0,15.0,24.0,27.0,22.0,18.0,22.0,22.0,40.0,27.0,29.86870897155361
2020-10-08,28.0,5.0,5.0,26.0,38.0,15.0,17.0,15.0,20.0,34.0,25.0,16.0,13.0,0.0,23.0,19.0,38.0,0.0,17.0,7.0,19.748358862144418
2020-10-09,17.0,26.0,13.0,11.0,18.0,24.0,0.0,44.0,19.0,16.0,22.0,19.0,22.0,26.0,14.0,37.0,18.0,35.0,42.0,34.0,25.0
2020-10-10,44.0,75.0,13.0,88.0,43.0,44.0,44.0,46.0,32.0,34.0,46.0,39.0,0.0,45.0,58.0,39.0,38.0,36.0,43.0,53.0,47.04595185995623
2020-10-11,16.0,6.0,6.0,41.0,26.0,6.0,27.0,25.0,24.0,12.0,14.0,24.0,15.0,25.0,20.0,29.0,17.0,14.0,14.0,24.0,21.061269146608314
2020-10-12,40.0,19.0,6.0,20.0,39.0,17.0,13.0,17.0,6.0,23.0,21.0,12.0,28.0,8.0,13.0,22.0,9.0,7.0,13.0,24.0,19.52954048140044
2020-10-13,16.0,12.0,12.0,10.0,29.0,11.0,26.0,33.0,18.0,23.0,7.0,24.0,28.0,24.0,32.0,21.0,25.0,7.0,7.0,24.0,21.280087527352297
2020-10-14,45.0,23.0,22.0,47.0,44.0,47.0,31.0,39.0,27.0,22.0,33.0,39.0,27.0,45.0,36.0,33.0,32.0,44.0,43.0,22.0,38.347921225382926
2020-10-15,23.0,6.0,17.0,19.0,24.0,21.0,0.0,16.0,0.0,22.0,0.0,23.0,20.0,0.0,19.0,20.0,24.0,19.0,6.0,15.0,16.083150984682714
2020-10-16,32.0,6.0,12.0,20.0,26.0,6.0,13.0,8.0,0.0,19.0,7.0,17.0,7.0,24.0,33.0,21.0,26.0,26.0,13.0,8.0,17.72428884026258
2020-10-17,33.0,45.0,24.0,52.0,45.0,17.0,14.0,43.0,43.0,36.0,22.0,25.0,59.0,33.0,20.0,37.0,62.0,55.0,21.0,58.0,40.70021881838075
2020-10-18,32.0,6.0,12.0,50.0,26.0,11.0,27.0,59.0,35.0,27.0,36.0,30.0,28.0,40.0,20.0,0.0,35.0,0.0,27.0,8.0,27.844638949671772
2020-10-19,15.0,18.0,28.0,76.0,8.0,26.0,13.0,39.0,39.0,37.0,27.0,23.0,20.0,23.0,6.0,14.0,16.0,19.0,25.0,15.0,26.641137855579867
2020-10-20,45.0,35.0,39.0,47.0,28.0,31.0,30.0,62.0,49.0,14.0,27.0,28.0,53.0,61.0,37.0,53.0,49.0,25.0,38.0,22.0,42.286652078774615
2020-10-21,59.0,41.0,44.0,56.0,20.0,26.0,31.0,38.0,22.0,25.0,33.0,22.0,60.0,45.0,30.0,40.0,64.0,25.0,12.0,52.0,40.754923413566736
2020-10-22,53.0,41.0,11.0,38.0,53.0,16.0,31.0,39.0,28.0,47.0,33.0,39.0,54.0,60.0,31.0,47.0,49.0,38.0,38.0,38.0,42.88840262582057
2020-10-23,23.0,35.0,51.0,57.0,53.0,47.0,37.0,31.0,33.0,26.0,34.0,51.0,34.0,39.0,50.0,34.0,65.0,32.0,44.0,53.0,45.35010940919037
2020-10-24,38.0,48.0,34.0,38.0,33.0,54.0,44.0,32.0,45.0,48.0,47.0,46.0,41.0,15.0,19.0,54.0,58.0,57.0,25.0,38.0,44.52954048140044
2020-10-25,52.0,29.0,33.0,47.0,52.0,31.0,31.0,61.0,22.0,50.0,40.0,50.0,33.0,30.0,24.0,53.0,64.0,31.0,12.0,38.0,42.83369803063457
2020-10-26,43.0,11.0,21.0,80.0,46.0,20.0,29.0,51.0,21.0,41.0,25.0,16.0,6.0,29.0,23.0,25.0,23.0,24.0,23.0,43.0,32.82275711159737
2020-10-27,55.0,12.0,28.0,58.0,41.0,21.0,32.0,73.0,6.0,22.0,27.0,29.0,27.0,31.0,63.0,21.0,58.0,26.0,13.0,46.0,37.691466083150985
2020-10-28,23.0,48.0,35.0,19.0,45.0,27.0,6.0,40.0,23.0,45.0,28.0,23.0,34.0,23.0,25.0,14.0,50.0,19.0,19.0,23.0,31.126914660831506
2020-10-29,43.0,34.0,38.0,18.0,39.0,61.0,36.0,30.0,48.0,46.0,45.0,49.0,58.0,22.0,30.0,45.0,47.0,36.0,43.0,44.0,44.42013129102845
2020-10-30,38.0,39.0,33.0,63.0,44.0,22.0,26.0,46.0,28.0,52.0,34.0,19.0,11.0,45.0,10.0,40.0,41.0,26.0,32.0,31.0,37.199124726477024
2020-10-31,26.0,21.0,34.0,25.0,29.0,33.0,11.0,56.0,24.0,26.0,53.0,20.0,12.0,27.0,22.0,24.0,43.0,22.0,33.0,47.0,32.16630196936543
2020-11-01,20.0,47.0,35.0,50.0,51.0,24.0,39.0,56.0,25.0,42.0,24.0,10.0,30.0,41.0,39.0,42.0,36.0,28.0,28.0,54.0,39.44201312910284
2020-11-02,13.0,10.0,5.0,17.0,14.0,18.0,5.0,20.0,14.0,13.0,6.0,25.0,17.0,13.0,11.0,6.0,7.0,16.0,16.0,13.0,14.168490153172865
2020-11-03,13.0,26.0,25.0,33.0,43.0,14.0,16.0,7.0,10.0,54.0,17.0,20.0,29.0,33.0,32.0,12.0,14.0,6.0,22.0,13.0,24.015317286652078
2020-11-04,48.0,14.0,27.0,22.0,42.0,17.0,20.0,31.0,26.0,38.0,27.0,36.0,27.0,42.0,29.0,43.0,51.0,10.0,10.0,30.0,32.27571115973742
2020-11-05,25.0,15.0,18.0,63.0,44.0,17.0,15.0,19.0,32.0,36.0,11.0,42.0,11.0,25.0,20.0,33.0,33.0,26.0,36.0,25.0,29.86870897155361
2020-11-06,26.0,30.0,29.0,49.0,11.0,14.0,16.0,20.0,19.0,22.0,23.0,15.0,23.0,66.0,32.0,29.0,42.0,33.0,27.0,20.0,29.86870897155361
2020-11-07,26.0,40.0,29.0,33.0,42.0,27.0,16.0,34.0,24.0,28.0,52.0,24.0,29.0,0.0,32.0,35.0,56.0,27.0,32.0,46.0,34.57330415754923
2020-11-08,20.0,21.0,10.0,8.0,21.0,9.0,16.0,21.0,10.0,29.0,18.0,5.0,35.0,20.0,16.0,24.0,21.0,6.0,28.0,33.0,20.295404814004375
2020-11-09,13.0,20.0,19.0,41.0,35.0,23.0,11.0,20.0,10.0,13.0,28.0,15.0,29.0,26.0,21.0,17.0,28.0,11.0,21.0,45.0,24.398249452954047
2020-11-10,13.0,25.0,10.0,33.0,25.0,22.0,16.0,20.0,29.0,22.0,41.0,25.0,29.0,7.0,16.0,23.0,28.0,22.0,16.0,20.0,24.179431072210065
2020-11-11,25.0,29.0,5.0,47.0,24.0,13.0,21.0,20.0,14.0,28.0,34.0,19.0,28.0,32.0,36.0,34.0,27.0,31.0,21.0,37.0,28.7199124726477
2020-11-12,53.0,26.0,34.0,25.0,28.0,23.0,22.0,28.0,19.0,38.0,35.0,34.0,12.0,20.0,27.0,17.0,56.0,33.0,22.0,40.0,32.38512035010941
2020-11-13,46.0,51.0,29.0,57.0,35.0,32.0,43.0,34.0,33.0,35.0,29.0,34.0,47.0,26.0,32.0,35.0,49.0,38.0,32.0,40.0,41.411378555798684
2020-11-14,40.0,31.0,30.0,41.0,32.0,32.0,38.0,35.0,10.0,23.0,35.0,40.0,12.0,27.0,27.0,42.0,29.0,39.0,33.0,27.0,34.08096280087527
2020-11-15,33.0,5.0,15.0,50.0,29.0,14.0,16.0,28.0,19.0,19.0,18.0,15.0,29.0,13.0,16.0,30.0,29.0,17.0,33.0,20.0,24.50765864332604
2020-11-16,19.0,30.0,14.0,33.0,35.0,28.0,32.0,13.0,14.0,25.0,34.0,14.0,23.0,13.0,32.0,23.0,42.0,16.0,21.0,45.0,27.680525164113785
2020-11-17,13.0,15.0,5.0,32.0,32.0,9.0,21.0,0.0,5.0,44.0,12.0,5.0,17.0,6.0,5.0,17.0,21.0,11.0,0.0,13.0,15.481400437636761
2020-11-18,33.0,30.0,29.0,41.0,14.0,18.0,27.0,7.0,14.0,25.0,6.0,0.0,17.0,33.0,37.0,17.0,42.0,11.0,16.0,52.0,25.656455142231945
2020-11-19,53.0,41.0,15.0,74.0,29.0,23.0,38.0,41.0,19.0,32.0,47.0,20.0,41.0,40.0,16.0,35.0,36.0,27.0,27.0,59.0,39.004376367614874
2020-11-20,20.0,21.0,25.0,34.0,26.0,14.0,17.0,14.0,10.0,16.0,6.0,10.0,6.0,41.0,28.0,24.0,22.0,11.0,6.0,7.0,19.58424507658643
2020-11-21,27.0,57.0,20.0,50.0,21.0,23.0,22.0,21.0,34.0,51.0,48.0,15.0,42.0,47.0,33.0,30.0,29.0,28.0,33.0,20.0,35.61269146608314
2020-11-22,13.0,25.0,34.0,41.0,21.0,28.0,22.0,41.0,5.0,16.0,23.0,30.0,24.0,20.0,16.0,30.0,21.0,17.0,17.0,20.0,25.382932166301966
2020-11-23,34.0,41.0,15.0,17.0,29.0,14.0,16.0,35.0,15.0,32.0,24.0,20.0,36.0,40.0,27.0,24.0,36.0,22.0,33.0,34.0,29.759299781181618
2020-11-24,60.0,31.0,29.0,59.0,54.0,32.0,33.0,41.0,24.0,48.0,18.0,20.0,42.0,54.0,44.0,41.0,29.0,56.0,50.0,47.0,44.42013129102845
2020-11-25,6.0,5.0,15.0,25.0,14.0,23.0,43.0,27.0,29.0,16.0,23.0,14.0,23.0,33.0,21.0,29.0,28.0,16.0,21.0,19.0,23.522975929978116
2020-11-26,42.0,22.0,26.0,26.0,64.0,24.0,29.0,22.0,30.0,41.0,43.0,10.0,50.0,21.0,11.0,38.0,44.0,29.0,35.0,41.0,35.44857768052516
2020-11-27,28.0,27.0,32.0,9.0,38.0,0.0,29.0,15.0,26.0,24.0,31.0,37.0,19.0,14.0,11.0,13.0,23.0,29.0,24.0,49.0,26.148796498905906
2020-11-28,21.0,5.0,16.0,17.0,23.0,5.0,6.0,0.0,0.0,21.0,0.0,0.0,19.0,7.0,6.0,12.0,8.0,6.0,12.0,7.0,10.448577680525165
2020-11-29,21.0,16.0,10.0,26.0,23.0,24.0,6.0,36.0,5.0,13.0,6.0,16.0,31.0,7.0,29.0,12.0,22.0,17.0,17.0,0.0,18.435448577680525
2020-11-30,41.0,11.0,5.0,51.0,30.0,29.0,23.0,43.0,5.0,27.0,48.0,31.0,24.0,48.0,17.0,30.0,44.0,23.0,17.0,27.0,31.400437636761485
2020-12-01,7.0,10.0,5.0,16.0,18.0,5.0,22.0,7.0,10.0,19.0,23.0,15.0,18.0,26.0,11.0,17.0,0.0,22.0,22.0,20.0,16.028446389496718
2020-12-02,13.0,10.0,10.0,17.0,18.0,5.0,16.0,7.0,10.0,16.0,12.0,10.0,6.0,13.0,5.0,23.0,0.0,5.0,22.0,7.0,12.308533916849015
2020-12-03,34.0,10.0,10.0,50.0,14.0,19.0,11.0,14.0,10.0,19.0,18.0,10.0,24.0,0.0,17.0,6.0,29.0,22.0,17.0,27.0,19.748358862144418
2020-12-04,20.0,5.0,10.0,8.0,21.0,14.0,22.0,20.0,14.0,19.0,18.0,15.0,29.0,13.0,5.0,23.0,7.0,5.0,22.0,7.0,16.2472647702407
2020-12-05,21.0,26.0,15.0,26.0,15.0,24.0,17.0,21.0,0.0,23.0,31.0,5.0,18.0,21.0,11.0,30.0,22.0,6.0,23.0,34.0,21.280087527352297
2020-12-06,7.0,11.0,5.0,9.0,15.0,5.0,6.0,14.0,15.0,13.0,18.0,10.0,0.0,14.0,17.0,12.0,7.0,6.0,6.0,7.0,10.776805251641138
2020-12-07,21.0,16.0,26.0,18.0,45.0,20.0,17.0,44.0,20.0,44.0,25.0,10.0,37.0,21.0,17.0,19.0,30.0,29.0,47.0,42.0,29.9781181619256
2020-12-08,22.0,29.0,17.0,38.0,28.0,26.0,31.0,47.0,39.0,22.0,20.0,28.0,33.0,30.0,55.0,47.0,32.0,12.0,31.0,37.0,34.135667396061265
2020-12-09,22.0,29.0,11.0,28.0,36.0,16.0,18.0,38.0,16.0,25.0,13.0,6.0,20.0,30.0,12.0,27.0,8.0,12.0,18.0,30.0,22.70240700218818
2020-12-10,0.0,36.0,17.0,67.0,42.0,16.0,25.0,24.0,17.0,41.0,34.0,23.0,14.0,31.0,31.0,34.0,16.0,25.0,13.0,23.0,28.938730853391682
2020-12-11,28.0,22.0,21.0,27.0,26.0,24.0,17.0,15.0,15.0,17.0,25.0,10.0,6.0,35.0,40.0,38.0,53.0,30.0,24.0,35.0,27.789934354485776
2020-12-12,43.0,27.0,26.0,70.0,30.0,25.0,18.0,36.0,21.0,41.0,31.0,31.0,38.0,36.0,64.0,31.0,45.0,24.0,18.0,50.0,38.56673960612691
2020-12-13,42.0,43.0,21.0,44.0,23.0,30.0,35.0,44.0,20.0,24.0,37.0,31.0,50.0,71.0,29.0,68.0,23.0,23.0,29.0,35.0,39.496717724288835
