,/m/0b76bty_0,/m/0b76bty_1,/m/0b76bty_2,/m/0b76bty_3,/m/0b76bty_4,/m/0b76bty_5,/m/0b76bty_6,/m/0b76bty_7,/m/0b76bty_8,/m/0b76bty_9,/m/0b76bty_10,/m/0b76bty_11,/m/0b76bty_12,/m/0b76bty_13,/m/0b76bty_14,/m/0b76bty_15,/m/0b76bty_16,/m/0b76bty_17,/m/0b76bty_18,/m/0b76bty_19,/m/0b76bty
2020-12-03,50.0,0.0,0.0,53.0,28.0,0.0,80.0,0.0,34.0,0.0,73.0,0.0,0.0,100.0,0.0,0.0,0.0,32.8125,38.0,72.61904761904762,51.95004406256884
2020-12-04,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.495042961004626
2020-12-05,0.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,34.0,0.0,0.0,38.541666666666664,0.0,0.0,34.0,50.70422535211268,0.0,0.0,0.0,17.141060728770064
2020-12-06,100.0,35.0,100.0,0.0,55.0,52.0,0.0,0.0,100.0,100.0,71.0,0.0,0.0,99.0,33.0,100.0,100.0,100.0,0.0,35.714285714285715,100.0
2020-12-07,0.0,0.0,0.0,0.0,27.0,51.0,0.0,0.0,0.0,33.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,35.714285714285715,20.237937871777923
2020-12-08,89.0,95.0,46.0,0.0,100.0,46.0,35.0,100.0,0.0,0.0,32.0,0.0,100.0,90.0,59.0,30.0,45.070422535211264,89.0625,100.0,0.0,97.72545218435529
2020-12-09,0.0,32.0,46.0,47.0,25.0,0.0,0.0,0.0,0.0,0.0,33.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,33.333333333333336,22.793566864948225
2020-12-10,0.0,32.0,46.0,0.0,0.0,47.0,0.0,50.0,30.0,30.0,0.0,30.0,34.375,0.0,30.0,0.0,0.0,29.6875,0.0,32.142857142857146,36.19877726371447
2020-12-11,0.0,66.0,48.0,49.0,0.0,49.0,73.0,51.0,0.0,62.0,100.0,0.0,69.79166666666667,92.0,62.0,0.0,46.478873239436616,0.0,34.0,100.0,83.4883513462356
2020-12-12,0.0,0.0,0.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.587574355584929
2020-12-13,0.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,33.0,0.0,0.0,0.0,0.0,33.0,0.0,0.0,32.8125,0.0,0.0,11.734137475214803
2020-12-14,0.0,0.0,0.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,34.375,0.0,31.0,31.0,0.0,0.0,0.0,0.0,16.042630535360207
2020-12-15,46.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,31.0,33.0,30.0,0.0,0.0,0.0,0.0,47.88732394366197,31.25,34.0,33.333333333333336,32.429538677316145
2020-12-16,0.0,0.0,0.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.534038334434897
2020-12-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-12-18,50.0,0.0,0.0,53.0,0.0,52.0,40.0,0.0,33.0,34.0,0.0,0.0,37.5,100.0,34.0,34.0,50.70422535211268,0.0,38.0,0.0,51.46635264328867
2020-12-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.2921348314606735
2020-12-20,0.0,37.0,0.0,54.0,28.0,53.0,0.0,56.0,67.0,69.0,0.0,0.0,37.5,0.0,100.0,0.0,50.70422535211268,32.8125,38.0,0.0,57.64860644368523
2020-12-21,50.0,0.0,0.0,53.0,0.0,53.0,0.0,0.0,0.0,34.0,0.0,0.0,0.0,50.0,33.0,0.0,0.0,32.8125,38.0,0.0,31.813450099140777
2020-12-22,51.0,0.0,51.0,0.0,28.0,0.0,0.0,0.0,0.0,34.0,37.0,0.0,38.541666666666664,0.0,0.0,34.0,0.0,0.0,38.0,0.0,28.827384886538876
2020-12-23,0.0,37.0,52.0,80.0,28.0,53.0,81.0,0.0,68.0,0.0,0.0,100.0,0.0,50.0,33.0,34.0,50.70422535211268,67.1875,0.0,73.80952380952381,74.73772298917984
