date,/m/01c751_0,/m/01c751_1,/m/01c751_2,/m/01c751_3,/m/01c751_4,/m/01c751_5,/m/01c751_6,/m/01c751_7,/m/01c751_8,/m/01c751_9,/m/01c751_10,/m/01c751_11,/m/01c751_12,/m/01c751_13,/m/01c751_14,/m/01c751_15,/m/01c751_16,/m/01c751_17,/m/01c751_18,/m/01c751_19,/m/01c751
2020-10-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-10-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-10-07,37.0,0.0,20.0,0.0,0.0,0.0,33.333333333333336,0.0,0.0,0.0,0.0,32.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.215881513071812
2020-10-08,0.0,27.0,0.0,33.0,0.0,0.0,36.111111111111114,29.0,0.0,38.0,36.0,0.0,27.0,0.0,49.0,0.0,35.0,58.0,68.0,0.0,30.23931745008058
2020-10-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-10-10,46.0,0.0,24.0,39.0,30.0,27.0,0.0,0.0,28.0,0.0,42.0,0.0,32.0,43.01075268817204,0.0,0.0,0.0,0.0,0.0,0.0,21.56503845307904
2020-10-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-10-12,81.0,28.0,64.0,69.0,27.0,24.0,0.0,29.0,48.0,39.0,37.0,0.0,56.0,0.0,100.0,0.0,35.0,30.0,70.0,0.0,51.10252041946102
2020-10-13,40.0,0.0,0.0,34.0,27.0,24.0,75.0,0.0,25.0,40.0,76.0,36.0,28.0,37.634408602150536,51.0,59.0,0.0,31.0,35.0,0.0,42.89522048544449
2020-10-14,0.0,0.0,42.0,0.0,26.0,0.0,36.111111111111114,0.0,24.0,39.0,0.0,0.0,27.0,0.0,0.0,29.0,36.0,0.0,35.0,29.0,22.404059909511933
2020-10-15,43.0,0.0,23.0,36.0,28.0,0.0,38.888888888888886,0.0,0.0,41.0,0.0,37.0,0.0,40.86021505376344,0.0,0.0,38.0,32.0,0.0,0.0,24.80580853361367
2020-10-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-10-17,0.0,31.0,24.0,0.0,30.0,27.0,0.0,0.0,27.0,0.0,42.0,0.0,31.0,43.01075268817204,56.0,33.0,0.0,0.0,0.0,33.0,26.141383565269585
2020-10-18,0.0,31.0,0.0,0.0,29.0,0.0,40.27777777777778,32.0,27.0,0.0,0.0,39.0,30.0,43.01075268817204,0.0,0.0,0.0,0.0,0.0,33.0,21.098929228689265
2020-10-19,0.0,27.0,0.0,34.0,0.0,24.0,0.0,0.0,0.0,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,10.539461470499424
2020-10-20,39.0,26.0,0.0,33.0,51.0,0.0,36.111111111111114,0.0,0.0,38.0,35.0,34.0,27.0,37.634408602150536,0.0,29.0,69.0,0.0,34.0,28.0,35.83039141494159
2020-10-21,0.0,26.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,47.0,0.0,0.0,29.0,33.0,0.0,12.550279777371026
2020-10-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-10-23,41.0,28.0,22.0,34.0,0.0,49.0,37.5,30.0,24.0,40.0,37.0,36.0,0.0,38.70967741935484,50.0,0.0,0.0,30.0,35.0,29.0,38.91347218442567
2020-10-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,24.0,40.0,0.0,36.0,28.0,0.0,100.0,29.0,0.0,0.0,35.0,0.0,22.327017062505362
2020-10-25,40.0,54.0,0.0,100.0,52.0,24.0,36.111111111111114,0.0,23.0,39.0,73.0,35.0,54.0,37.634408602150536,0.0,58.0,35.0,58.0,70.0,29.0,56.701298669022684
2020-10-26,38.0,26.0,40.0,0.0,100.0,91.0,68.05555555555556,55.0,23.0,37.0,35.0,100.0,52.0,35.483870967741936,94.0,27.0,100.0,85.0,0.0,83.0,75.54709741073903
2020-10-27,74.0,100.0,39.0,62.0,95.0,66.0,66.66666666666667,27.0,65.0,36.0,67.0,32.0,50.0,68.81720430107526,90.0,79.0,32.0,82.0,63.0,27.0,84.69593549276979
2020-10-28,38.0,26.0,100.0,32.0,24.0,44.0,69.44444444444444,54.0,22.0,73.0,69.0,66.0,26.0,70.96774193548387,92.0,0.0,33.0,84.0,0.0,28.0,65.96955316391363
2020-10-29,0.0,0.0,20.0,0.0,25.0,45.0,0.0,0.0,22.0,0.0,35.0,33.0,52.0,35.483870967741936,47.0,28.0,33.0,0.0,33.0,27.0,30.19582552031881
2020-10-30,100.0,23.0,0.0,29.0,22.0,0.0,0.0,0.0,60.0,33.0,91.0,59.0,46.0,94.6236559139785,83.0,48.0,30.0,25.0,58.0,48.0,58.911682802172606
2020-10-31,0.0,24.0,18.0,29.0,23.0,20.0,0.0,25.0,0.0,0.0,63.0,30.0,24.0,32.25806451612903,43.0,50.0,31.0,0.0,0.0,25.0,30.318845550216405
2020-11-01,72.0,0.0,0.0,30.0,0.0,21.0,33.333333333333336,52.0,43.0,0.0,33.0,32.0,25.0,34.40860215053763,44.0,26.0,32.0,0.0,0.0,0.0,33.12593895969789
2020-11-02,36.0,49.0,0.0,61.0,0.0,0.0,0.0,0.0,21.0,35.0,33.0,32.0,0.0,34.40860215053763,45.0,26.0,64.0,27.0,0.0,52.0,35.73769147322078
