date,/m/01cdt5_0,/m/01cdt5_1,/m/01cdt5_2,/m/01cdt5_3,/m/01cdt5_4,/m/01cdt5_5,/m/01cdt5_6,/m/01cdt5_7,/m/01cdt5_8,/m/01cdt5_9,/m/01cdt5,batch_id
2020-02-23,18.0,0.0,11.0,10.0,0.0,0.0,34.0,31.0,0.0,0.0,14.266117969821673,0
2020-02-24,16.0,17.0,19.0,17.0,29.0,9.0,40.0,37.0,17.0,22.0,30.589849108367623,0
2020-02-25,16.0,25.0,38.0,8.0,29.0,25.0,20.0,18.0,8.0,42.0,31.412894375857338,0
2020-02-26,32.0,16.0,57.0,42.0,68.0,17.0,59.0,27.0,25.0,54.0,54.458161865569274,0
2020-02-27,0.0,25.0,0.0,17.0,29.0,17.0,10.0,28.0,17.0,11.0,21.124828532235938,0
2020-02-28,17.0,26.0,30.0,26.0,31.0,27.0,31.0,19.0,35.0,89.0,45.40466392318244,0
2020-02-29,18.0,37.0,11.0,19.0,43.0,19.0,22.0,50.0,37.0,0.0,35.11659807956104,0
2020-03-01,17.0,9.0,21.0,9.0,42.0,18.0,21.0,10.0,9.0,35.0,26.200274348422496,0
2020-03-02,16.0,16.0,19.0,8.0,10.0,17.0,10.0,0.0,16.0,11.0,16.872427983539094,0
2020-03-03,8.0,24.0,19.0,25.0,10.0,17.0,0.0,18.0,16.0,21.0,21.67352537722908,0
2020-03-04,16.0,32.0,28.0,33.0,19.0,8.0,49.0,9.0,16.0,21.0,31.687242798353907,0
2020-03-05,16.0,17.0,47.0,17.0,19.0,0.0,20.0,0.0,33.0,11.0,24.691358024691358,0
2020-03-06,8.0,9.0,10.0,9.0,0.0,0.0,10.0,19.0,17.0,11.0,12.757201646090536,0
2020-03-07,18.0,19.0,0.0,0.0,11.0,10.0,11.0,10.0,9.0,37.0,17.146776406035663,0
2020-03-08,9.0,9.0,0.0,9.0,0.0,0.0,22.0,10.0,18.0,12.0,12.208504801097392,0
2020-03-09,15.0,24.0,36.0,16.0,19.0,41.0,38.0,35.0,16.0,72.0,42.798353909465014,0
2020-03-10,39.0,24.0,55.0,33.0,37.0,8.0,38.0,9.0,24.0,41.0,42.249657064471876,0
2020-03-11,30.0,8.0,36.0,24.0,27.0,8.0,19.0,43.0,31.0,51.0,37.99725651577503,0
2020-03-12,82.0,77.0,79.0,54.0,99.0,64.0,55.0,59.0,100.0,60.0,100.0,0
2020-03-13,16.0,25.0,56.0,25.0,48.0,42.0,49.0,45.0,49.0,43.0,54.595336076817546,0
2020-03-14,55.0,56.0,85.0,48.0,65.0,48.0,100.0,51.0,46.0,73.0,86.0082304526749,0
2020-03-15,17.0,35.0,50.0,18.0,10.0,18.0,21.0,29.0,27.0,45.0,37.03703703703703,0
2020-03-16,8.0,16.0,45.0,72.0,18.0,8.0,38.0,52.0,55.0,31.0,47.050754458161855,0
2020-03-17,60.0,23.0,89.0,55.0,100.0,64.0,66.0,51.0,47.0,81.0,87.24279835390946,0
2020-03-18,46.0,40.0,36.0,40.0,56.0,16.0,38.0,53.0,32.0,62.0,57.475994513031544,0
2020-03-19,40.0,57.0,47.0,75.0,77.0,59.0,87.0,72.0,82.0,32.0,86.14540466392317,0
2020-03-20,23.0,31.0,27.0,32.0,28.0,32.0,38.0,35.0,32.0,31.0,42.38683127572016,0
2020-03-21,36.0,28.0,31.0,56.0,76.0,57.0,22.0,51.0,65.0,48.0,64.47187928669409,0
2020-03-22,43.0,36.0,51.0,100.0,84.0,65.0,65.0,40.0,45.0,35.0,77.36625514403292,0
2020-03-23,36.0,44.0,50.0,30.0,52.0,45.0,61.0,48.0,30.0,86.0,66.11796982167353,0
2020-03-24,53.0,23.0,27.0,0.0,73.0,40.0,56.0,60.0,54.0,40.0,58.43621399176954,0
2020-03-25,15.0,31.0,36.0,71.0,54.0,32.0,28.0,60.0,63.0,61.0,61.86556927297668,0
