,/m/01b_06_0,/m/01b_06_1,/m/01b_06_2,/m/01b_06_3,/m/01b_06_4,/m/01b_06_5,/m/01b_06_6,/m/01b_06_7,/m/01b_06_8,/m/01b_06_9,/m/01b_06_10,/m/01b_06_11,/m/01b_06_12,/m/01b_06_13,/m/01b_06_14,/m/01b_06_15,/m/01b_06_16,/m/01b_06_17,/m/01b_06_18,/m/01b_06_19,/m/01b_06
2020-10-05,53.0,52.0,50.0,74.0,72.0,71.0,60.0,58.0,55.0,80.0,43.0,62.0,72.0,71.0,65.0,36.0,89.0,59.0,39.0,59.0,67.14364336818933
2020-10-06,51.0,56.0,43.0,58.0,60.0,30.0,40.0,52.0,22.0,28.0,25.0,58.0,47.0,46.0,33.0,37.0,40.0,30.0,45.0,51.0,46.890478811227304
2020-10-07,61.0,62.0,43.0,53.0,52.0,30.0,46.0,23.0,47.0,45.0,49.0,57.0,60.0,29.0,77.0,46.0,63.0,66.0,39.0,48.0,54.81563015960375
2020-10-08,64.0,60.0,47.0,53.0,61.0,30.0,37.0,57.0,71.0,57.0,63.0,37.0,70.0,47.0,56.0,61.0,69.0,55.0,49.0,71.0,61.36488717666484
2020-10-09,42.0,24.0,43.0,33.0,79.0,41.0,43.0,34.0,25.0,48.0,39.0,28.0,38.0,28.0,49.0,61.0,41.0,34.0,45.0,72.0,46.61529994496423
2020-10-10,27.0,43.0,33.0,35.0,35.0,37.0,25.0,29.0,40.0,22.0,31.0,54.0,35.0,44.0,40.0,33.0,31.0,36.0,24.0,46.0,38.52504127682994
2020-10-11,59.0,72.0,46.0,49.0,55.0,35.0,70.0,31.0,38.0,60.0,57.0,43.0,29.0,58.0,42.0,50.0,59.0,51.0,49.0,38.0,54.54045129334067
2020-10-12,56.0,92.0,56.0,54.0,59.0,70.0,44.0,46.0,56.0,46.0,49.0,67.0,76.0,55.0,47.0,58.0,67.0,60.0,50.0,64.0,64.50192625206384
2020-10-13,36.0,38.0,37.0,35.0,40.0,40.0,26.0,44.0,73.0,42.0,52.0,49.0,57.0,39.0,36.0,40.0,72.0,61.0,32.0,57.0,49.86241056686847
2020-10-14,78.0,83.0,77.0,81.0,48.0,63.0,62.0,78.0,80.0,83.0,63.0,67.0,71.0,62.0,70.0,72.0,58.0,55.0,85.0,72.0,77.4903687396808
2020-10-15,57.0,78.0,53.0,71.0,68.0,57.0,76.0,55.0,86.0,58.0,48.0,61.0,53.0,81.0,48.0,67.0,56.0,82.0,50.0,49.0,69.0148596587782
2020-10-16,80.0,52.0,74.0,65.0,74.0,66.0,100.0,65.0,92.0,83.0,78.0,89.0,66.0,66.0,71.0,79.0,99.0,71.0,74.0,64.0,82.99394606494222
2020-10-17,41.0,57.0,50.0,31.0,61.0,38.0,29.0,38.0,37.0,43.0,43.0,38.0,64.0,59.0,45.0,50.0,64.0,50.0,41.0,69.0,52.173913043478265
2020-10-18,84.0,53.0,60.0,95.0,81.0,57.0,89.0,66.0,69.0,88.0,31.0,65.0,61.0,96.0,87.0,63.0,74.0,79.0,91.0,80.0,80.84755090809027
2020-10-19,55.0,57.0,61.0,42.0,53.0,47.0,40.0,32.0,56.0,34.0,47.0,52.0,35.0,39.0,46.0,22.0,55.0,44.0,42.0,40.0,49.47716015410017
2020-10-20,58.0,48.0,50.0,68.0,70.0,49.0,54.0,31.0,63.0,52.0,36.0,40.0,42.0,54.0,71.0,47.0,50.0,63.0,63.0,48.0,58.172812328013215
2020-10-21,88.0,62.0,75.0,75.0,63.0,73.0,67.0,58.0,62.0,73.0,55.0,57.0,84.0,57.0,64.0,82.0,72.0,89.0,37.0,58.0,74.35332966428179
2020-10-22,100.0,89.0,43.0,94.0,65.0,71.0,53.0,41.0,75.0,68.0,68.0,65.0,50.0,54.0,63.0,74.0,57.0,66.0,61.0,58.0,72.37204182718767
2020-10-23,64.0,81.0,74.0,80.0,98.0,74.0,70.0,98.0,85.0,93.0,80.0,63.0,72.0,100.0,65.0,66.0,84.0,89.0,95.0,73.0,88.27738029719318
2020-10-24,98.0,90.0,85.0,100.0,93.0,83.0,86.0,80.0,100.0,85.0,100.0,79.0,96.0,83.0,100.0,81.0,98.0,80.0,100.0,100.0,100.0
2020-10-25,74.0,100.0,81.0,99.0,87.0,100.0,93.0,100.0,92.0,73.0,79.0,100.0,100.0,60.0,66.0,76.0,100.0,67.0,90.0,97.0,95.43203082003303
2020-10-26,77.0,58.0,55.0,47.0,84.0,56.0,48.0,54.0,68.0,54.0,81.0,55.0,60.0,62.0,56.0,66.0,67.0,71.0,74.0,77.0,69.89543203082003
2020-10-27,71.0,83.0,100.0,77.0,64.0,70.0,72.0,71.0,88.0,64.0,61.0,86.0,71.0,57.0,67.0,57.0,77.0,72.0,59.0,64.0,78.75619152449093
2020-10-28,96.0,56.0,62.0,61.0,97.0,70.0,82.0,82.0,89.0,100.0,88.0,63.0,58.0,70.0,57.0,100.0,75.0,100.0,71.0,96.0,86.57127132636215
2020-10-29,33.0,36.0,46.0,40.0,54.0,45.0,65.0,59.0,46.0,44.0,45.0,55.0,49.0,53.0,40.0,37.0,41.0,38.0,22.0,29.0,48.266373142542655
2020-10-30,52.0,71.0,66.0,72.0,75.0,50.0,62.0,64.0,72.0,58.0,64.0,60.0,44.0,81.0,66.0,64.0,63.0,72.0,43.0,45.0,68.46450192625207
2020-10-31,67.0,80.0,55.0,78.0,65.0,53.0,65.0,50.0,81.0,60.0,83.0,67.0,39.0,58.0,75.0,54.0,63.0,83.0,53.0,68.0,71.38139790864061
2020-11-01,53.0,50.0,52.0,79.0,40.0,65.0,78.0,40.0,71.0,46.0,54.0,34.0,59.0,35.0,39.0,63.0,60.0,37.0,46.0,48.0,57.732526141992295
2020-11-02,62.0,63.0,61.0,67.0,73.0,46.0,64.0,59.0,74.0,48.0,46.0,65.0,72.0,79.0,38.0,50.0,68.0,39.0,69.0,67.0,66.59328563566318
2020-11-03,73.0,66.0,60.0,45.0,80.0,45.0,64.0,45.0,77.0,77.0,52.0,47.0,57.0,80.0,55.0,53.0,86.0,81.0,54.0,74.0,69.95046780407264
2020-11-04,56.0,67.0,68.0,51.0,85.0,47.0,59.0,54.0,60.0,54.0,42.0,49.0,63.0,76.0,38.0,55.0,66.0,43.0,47.0,57.0,62.57567418822235
2020-11-05,52.0,70.0,54.0,50.0,53.0,43.0,78.0,76.0,75.0,88.0,47.0,45.0,80.0,47.0,72.0,64.0,77.0,82.0,55.0,79.0,70.83104017611447
2020-11-06,52.0,47.0,45.0,47.0,100.0,44.0,42.0,37.0,30.0,54.0,38.0,73.0,45.0,52.0,64.0,48.0,63.0,53.0,57.0,38.0,56.63181067694001
2020-11-07,69.0,68.0,61.0,67.0,76.0,37.0,54.0,62.0,51.0,49.0,72.0,62.0,29.0,64.0,61.0,46.0,65.0,48.0,53.0,67.0,63.89653274628509
2020-11-08,77.0,64.0,63.0,56.0,56.0,55.0,64.0,66.0,62.0,44.0,62.0,50.0,54.0,42.0,48.0,68.0,61.0,54.0,48.0,59.0,63.45624656026418
2020-11-09,49.0,55.0,62.0,48.0,54.0,54.0,35.0,34.0,56.0,47.0,52.0,46.0,45.0,56.0,51.0,63.0,52.0,69.0,50.0,42.0,56.13648871766649
2020-11-10,32.0,37.0,36.0,27.0,39.0,52.0,51.0,32.0,40.0,68.0,46.0,56.0,63.0,50.0,56.0,54.0,27.0,79.0,38.0,56.0,51.67859108420473
2020-11-11,65.0,52.0,60.0,56.0,46.0,39.0,56.0,42.0,66.0,52.0,49.0,36.0,46.0,45.0,41.0,53.0,53.0,39.0,65.0,51.0,55.696202531645575
2020-11-12,39.0,26.0,61.0,53.0,47.0,46.0,54.0,35.0,55.0,67.0,49.0,44.0,39.0,48.0,39.0,50.0,23.0,58.0,45.0,52.0,51.18326912493121
2020-11-13,43.0,34.0,40.0,34.0,52.0,26.0,40.0,28.0,31.0,59.0,26.0,36.0,19.0,34.0,25.0,28.0,39.0,39.0,41.0,52.0,39.95597138139791
2020-11-14,35.0,26.0,36.0,56.0,61.0,29.0,29.0,49.0,39.0,34.0,30.0,36.0,35.0,46.0,28.0,32.0,50.0,43.0,38.0,55.0,43.313153549807375
2020-11-15,36.0,53.0,22.0,39.0,53.0,27.0,22.0,35.0,32.0,19.0,23.0,26.0,16.0,55.0,18.0,18.0,23.0,32.0,43.0,28.0,34.1221794166208
2020-11-16,51.0,33.0,40.0,45.0,64.0,39.0,33.0,45.0,75.0,30.0,40.0,47.0,51.0,57.0,39.0,43.0,46.0,47.0,45.0,56.0,50.96312603192075
2020-11-17,59.0,49.0,62.0,46.0,48.0,67.0,55.0,43.0,60.0,58.0,61.0,59.0,66.0,39.0,53.0,50.0,51.0,56.0,63.0,64.0,61.03467253714915
2020-11-18,39.0,64.0,36.0,38.0,52.0,52.0,29.0,60.0,51.0,45.0,53.0,33.0,58.0,58.0,38.0,39.0,43.0,59.0,55.0,48.0,52.28398458998349
2020-11-19,39.0,38.0,40.0,46.0,39.0,26.0,44.0,40.0,44.0,49.0,26.0,48.0,39.0,54.0,35.0,39.0,35.0,36.0,46.0,55.0,45.01926252063842
2020-11-20,43.0,48.0,32.0,46.0,38.0,29.0,25.0,39.0,32.0,15.0,20.0,40.0,47.0,42.0,35.0,36.0,27.0,43.0,28.0,44.0,39.02036323610348
2020-11-21,53.0,51.0,15.0,40.0,31.0,45.0,26.0,33.0,37.0,24.0,31.0,34.0,40.0,48.0,36.0,45.0,28.0,37.0,32.0,49.0,40.45129334067144
2020-11-22,40.0,35.0,27.0,39.0,54.0,31.0,22.0,18.0,29.0,32.0,35.0,27.0,20.0,44.0,40.0,26.0,36.0,29.0,25.0,33.0,35.33296642817832
2020-11-23,77.0,51.0,29.0,33.0,64.0,29.0,46.0,56.0,74.0,66.0,56.0,65.0,65.0,57.0,77.0,49.0,69.0,58.0,79.0,46.0,63.070996147495876
2020-11-24,51.0,52.0,43.0,35.0,44.0,45.0,23.0,46.0,74.0,42.0,43.0,41.0,47.0,50.0,36.0,27.0,50.0,41.0,32.0,48.0,47.881122729774354
2020-11-25,45.0,36.0,29.0,54.0,34.0,38.0,23.0,37.0,46.0,30.0,38.0,35.0,31.0,34.0,34.0,35.0,38.0,24.0,43.0,39.0,39.79086406164007
2020-11-26,43.0,31.0,34.0,24.0,52.0,18.0,36.0,29.0,36.0,31.0,33.0,20.0,29.0,36.0,32.0,29.0,21.0,22.0,16.0,33.0,33.29664281783159
2020-11-27,14.0,30.0,36.0,21.0,35.0,24.0,26.0,22.0,29.0,27.0,33.0,20.0,24.0,41.0,25.0,33.0,38.0,25.0,31.0,28.0,30.93010456796918
2020-11-28,25.0,37.0,26.0,38.0,31.0,21.0,23.0,29.0,36.0,13.0,36.0,26.0,18.0,17.0,19.0,32.0,10.0,28.0,16.0,32.0,28.233351678591085
2020-11-29,45.0,29.0,35.0,26.0,50.0,25.0,28.0,41.0,34.0,22.0,35.0,24.0,30.0,42.0,20.0,35.0,30.0,19.0,27.0,38.0,34.947716015410016
2020-11-30,36.0,45.0,47.0,46.0,44.0,39.0,33.0,32.0,43.0,41.0,33.0,43.0,32.0,39.0,36.0,19.0,18.0,47.0,42.0,44.0,41.77215189873419
2020-12-01,29.0,28.0,26.0,28.0,37.0,38.0,23.0,19.0,38.0,36.0,28.0,23.0,20.0,33.0,29.0,34.0,33.0,29.0,22.0,25.0,31.81067694001101
2020-12-02,37.0,35.0,26.0,28.0,31.0,30.0,38.0,33.0,41.0,16.0,38.0,34.0,37.0,28.0,44.0,26.0,36.0,49.0,18.0,41.0,36.653824986241055
2020-12-03,25.0,32.0,31.0,24.0,33.0,36.0,27.0,38.0,46.0,37.0,47.0,23.0,46.0,33.0,34.0,46.0,37.0,17.0,34.0,47.0,38.139790864061645
2020-12-04,28.0,15.0,26.0,23.0,31.0,27.0,11.0,32.0,36.0,15.0,14.0,15.0,20.0,31.0,21.0,25.0,20.0,40.0,21.0,36.0,26.802421574023118
