,/m/05sfr2_0,/m/05sfr2_1,/m/05sfr2_2,/m/05sfr2_3,/m/05sfr2_4,/m/05sfr2_5,/m/05sfr2_6,/m/05sfr2_7,/m/05sfr2_8,/m/05sfr2_9,/m/05sfr2_10,/m/05sfr2_11,/m/05sfr2_12,/m/05sfr2_13,/m/05sfr2_14,/m/05sfr2_15,/m/05sfr2_16,/m/05sfr2_17,/m/05sfr2_18,/m/05sfr2_19,/m/05sfr2
2020-10-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-10-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-10-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-10-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-10-09,100.0,0.0,0.0,51.0,62.0,0.0,60.0,0.0,55.0,59.0,60.0,0.0,100.0,50.0,0.0,60.0,100.0,54.0,53.0,0.0,84.7679834397102
2020-10-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-10-11,0.0,57.0,59.0,0.0,0.0,52.0,56.0,0.0,52.0,57.0,0.0,0.0,97.0,0.0,0.0,0.0,96.0,0.0,0.0,0.0,51.60643436260135
2020-10-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-10-13,0.0,59.0,0.0,0.0,0.0,0.0,58.0,49.0,0.0,57.0,59.0,100.0,0.0,48.0,0.0,0.0,0.0,0.0,52.0,0.0,47.289546317060555
2020-10-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-10-15,0.0,0.0,0.0,0.0,57.0,0.0,0.0,48.0,0.0,0.0,0.0,97.0,96.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,33.94643781266172
2020-10-16,0.0,59.0,61.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.142857142857146,60.0,0.0,0.0,0.0,0.0,29.15301017767811
2020-10-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-10-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-10-19,50.0,0.0,0.0,100.0,60.0,54.0,58.0,98.0,53.0,58.0,0.0,0.0,0.0,49.0,57.142857142857146,0.0,0.0,54.0,53.0,59.0,78.79722270139727
2020-10-20,0.0,0.0,0.0,50.0,0.0,0.0,0.0,50.0,52.0,0.0,0.0,0.0,0.0,49.0,0.0,0.0,98.0,0.0,0.0,0.0,29.335216491288598
2020-10-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-10-22,0.0,0.0,59.0,48.0,0.0,52.0,0.0,48.0,0.0,0.0,0.0,0.0,95.0,0.0,0.0,0.0,95.0,52.0,0.0,57.0,49.64421252371917
2020-10-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-10-24,50.0,0.0,63.0,52.0,0.0,0.0,0.0,100.0,0.0,59.0,59.0,0.0,0.0,100.0,59.34065934065934,61.0,0.0,55.0,0.0,60.0,70.47718647576333
2020-10-25,0.0,0.0,0.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,56.0,97.0,0.0,0.0,0.0,0.0,0.0,52.0,0.0,0.0,24.723995169915476
2020-10-26,0.0,55.0,56.0,46.0,56.0,50.0,0.0,0.0,0.0,0.0,0.0,95.0,0.0,46.0,53.84615384615385,56.0,92.0,0.0,0.0,0.0,59.44022770398482
2020-10-27,47.0,55.0,57.0,0.0,57.0,0.0,55.0,46.0,0.0,55.0,0.0,96.0,93.0,0.0,0.0,57.0,0.0,51.0,100.0,0.0,75.44742970501986
2020-10-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-10-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-10-30,40.0,0.0,100.0,0.0,50.0,44.0,48.0,0.0,0.0,0.0,49.0,0.0,80.0,0.0,47.252747252747255,0.0,82.0,45.0,44.0,0.0,61.73667414179748
2020-10-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-02,0.0,52.0,53.0,0.0,0.0,46.0,0.0,0.0,0.0,0.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,24.822106261859584
2020-11-03,42.0,100.0,0.0,0.0,0.0,0.0,50.0,0.0,46.0,49.0,51.0,86.0,0.0,42.0,0.0,51.0,0.0,0.0,0.0,100.0,60.53454372951527
