,/m/0b76bty_0,/m/0b76bty_1,/m/0b76bty_2,/m/0b76bty_3,/m/0b76bty_4,/m/0b76bty_5,/m/0b76bty_6,/m/0b76bty_7,/m/0b76bty_8,/m/0b76bty_9,/m/0b76bty_10,/m/0b76bty_11,/m/0b76bty_12,/m/0b76bty_13,/m/0b76bty_14,/m/0b76bty_15,/m/0b76bty_16,/m/0b76bty_17,/m/0b76bty_18,/m/0b76bty_19,/m/0b76bty
2020-02-29,27.0,30.0,16.0,24.0,23.0,30.0,36.0,37.0,24.0,28.0,38.0,29.0,21.0,51.0,31.0,33.0,25.0,16.0,39.0,17.0,30.53637812002124
2020-03-01,27.0,21.0,27.0,12.0,15.0,11.0,35.0,28.0,24.0,27.0,69.0,37.0,33.0,30.0,40.0,25.0,24.0,32.0,10.0,20.0,29.049389272437597
2020-03-02,37.0,25.0,33.0,26.0,23.0,28.0,26.0,24.0,37.0,28.0,37.0,28.0,32.0,43.0,30.0,28.0,49.0,27.0,54.0,14.0,33.40414232607541
2020-03-03,33.0,26.0,20.0,34.0,20.0,19.0,23.0,32.0,42.0,32.0,23.0,34.0,11.0,31.0,26.0,44.0,28.0,21.0,46.0,38.0,30.96123207647371
2020-03-04,56.0,32.0,7.0,23.0,36.0,41.0,26.0,47.0,33.0,47.0,27.0,35.0,39.0,30.0,52.0,24.0,24.0,41.0,37.0,25.0,36.21879978757302
2020-03-05,56.0,26.0,40.0,27.0,34.0,36.0,49.0,24.0,67.0,40.0,42.0,35.0,33.0,39.0,52.0,28.0,46.0,45.0,55.0,20.0,42.166755177907596
2020-03-06,56.0,55.0,34.0,27.0,40.0,29.0,19.0,20.0,50.0,52.0,37.0,33.0,47.0,44.0,22.0,25.0,25.0,38.0,33.0,34.0,38.23685608072225
2020-03-07,39.0,43.0,24.0,20.0,31.0,19.0,23.0,38.0,49.0,19.0,16.0,31.0,35.0,21.0,31.0,37.0,29.0,12.0,45.0,27.0,31.279872543813063
2020-03-08,27.0,37.0,42.0,45.0,41.0,26.0,52.0,32.0,42.0,49.0,63.0,32.0,33.0,55.0,50.0,25.0,32.0,24.0,33.0,23.0,40.520446096654275
2020-03-09,51.0,30.0,28.0,40.0,34.0,45.0,21.0,44.0,27.0,33.0,47.0,39.0,41.0,53.0,20.0,23.0,32.0,45.0,24.0,24.0,37.227827934147626
2020-03-10,51.0,40.0,47.0,30.0,40.0,54.0,42.0,24.0,42.0,48.0,73.0,45.0,51.0,39.0,34.0,28.0,35.0,45.0,29.0,43.0,44.60966542750929
2020-03-11,28.0,32.0,40.0,26.0,39.0,32.0,41.0,47.0,62.0,43.0,36.0,40.0,32.0,56.0,43.0,30.0,49.0,34.0,67.0,25.0,42.59160913436006
2020-03-12,54.0,31.0,23.0,23.0,36.0,37.0,37.0,35.0,40.0,31.0,45.0,31.0,32.0,21.0,34.0,30.0,31.0,47.0,36.0,30.0,36.32501327668614
2020-03-13,55.0,50.0,60.0,39.0,60.0,72.0,53.0,51.0,76.0,59.0,68.0,54.0,46.0,75.0,61.0,46.0,60.0,33.0,72.0,67.0,61.444503451938395
2020-03-14,100.0,100.0,100.0,100.0,100.0,100.0,100.0,96.0,96.0,71.0,93.0,94.0,100.0,89.0,78.0,100.0,76.0,100.0,90.0,100.0,100.0
2020-03-15,90.0,82.0,68.0,57.0,68.0,69.0,100.0,100.0,95.0,100.0,99.0,86.0,66.0,60.0,100.0,78.0,92.0,87.0,100.0,81.0,89.11311736590547
2020-03-16,93.0,72.0,87.0,66.0,65.0,71.0,95.0,75.0,100.0,88.0,60.0,100.0,65.0,96.0,78.0,53.0,62.0,66.0,96.0,75.0,83.00584174190122
2020-03-17,91.0,72.0,42.0,69.0,42.0,58.0,80.0,70.0,65.0,62.0,92.0,57.0,61.0,100.0,78.0,42.0,66.0,44.0,70.0,53.0,69.78226234731811
2020-03-18,76.0,56.0,48.0,40.0,51.0,89.0,55.0,62.0,60.0,62.0,72.0,53.0,36.0,82.0,48.0,44.0,47.0,50.0,61.0,63.0,61.33828996282527
2020-03-19,69.0,46.0,54.0,57.0,65.0,77.0,69.0,77.0,91.0,69.0,100.0,83.0,78.0,65.0,100.0,85.0,100.0,92.0,81.0,46.0,79.87254381306425
2020-03-20,83.0,49.0,64.0,71.0,63.0,61.0,85.0,63.0,70.0,85.0,93.0,57.0,73.0,73.0,83.0,77.0,91.0,62.0,80.0,48.0,75.99575146043547
2020-03-21,95.0,69.0,47.0,42.0,55.0,77.0,58.0,56.0,58.0,65.0,65.0,80.0,60.0,72.0,54.0,35.0,27.0,71.0,91.0,51.0,65.21508231545405
2020-03-22,66.0,51.0,68.0,59.0,59.0,61.0,63.0,92.0,100.0,76.0,82.0,58.0,60.0,72.0,61.0,51.0,40.0,62.0,64.0,47.0,68.6139139670738
2020-03-23,76.0,74.0,38.0,37.0,57.0,43.0,42.0,49.0,60.0,49.0,85.0,43.0,63.0,49.0,40.0,41.0,54.0,50.0,55.0,32.0,55.07169410515135
2020-03-24,96.0,63.0,44.0,40.0,54.0,48.0,50.0,65.0,55.0,52.0,45.0,48.0,43.0,47.0,66.0,44.0,50.0,42.0,50.0,37.0,55.17790759426447
2020-03-25,61.0,32.0,33.0,25.0,36.0,31.0,33.0,48.0,54.0,35.0,45.0,37.0,43.0,38.0,48.0,17.0,27.0,30.0,54.0,31.0,40.25491237387148
2020-03-26,36.0,48.0,48.0,40.0,25.0,32.0,34.0,48.0,46.0,40.0,36.0,39.0,48.0,34.0,48.0,41.0,31.0,35.0,42.0,38.0,41.901221455124805
