date,/m/0cjf0,isPartial
2020-01-22,43,False
2020-01-23,34,False
2020-01-24,63,False
2020-01-25,47,False
2020-01-26,79,False
2020-01-27,56,False
2020-01-28,64,False
2020-01-29,40,False
2020-01-30,47,False
2020-01-31,48,False
2020-02-01,72,False
2020-02-02,70,False
2020-02-03,51,False
2020-02-04,43,False
2020-02-05,68,False
2020-02-06,51,False
2020-02-07,54,False
2020-02-08,46,False
2020-02-09,43,False
2020-02-10,44,False
2020-02-11,59,False
2020-02-12,47,False
2020-02-13,40,False
2020-02-14,57,False
2020-02-15,63,False
2020-02-16,59,False
2020-02-17,63,False
2020-02-18,56,False
2020-02-19,55,False
2020-02-20,44,False
2020-02-21,56,False
2020-02-22,51,False
2020-02-23,54,False
2020-02-24,34,False
2020-02-25,54,False
2020-02-26,60,False
2020-02-27,44,False
2020-02-28,48,False
2020-02-29,67,False
2020-03-01,69,False
2020-03-02,76,False
2020-03-03,65,False
2020-03-04,77,False
2020-03-05,75,False
2020-03-06,77,False
2020-03-07,84,False
2020-03-08,88,False
2020-03-09,90,False
2020-03-10,100,False
