,/m/0lbt3_0,/m/0lbt3_1,/m/0lbt3_2,/m/0lbt3_3,/m/0lbt3_4,/m/0lbt3_5,/m/0lbt3_6,/m/0lbt3_7,/m/0lbt3_8,/m/0lbt3_9,/m/0lbt3_10,/m/0lbt3_11,/m/0lbt3_12,/m/0lbt3_13,/m/0lbt3_14,/m/0lbt3_15,/m/0lbt3_16,/m/0lbt3_17,/m/0lbt3_18,/m/0lbt3_19,/m/0lbt3
2020-01-29,25.0,10.0,37.0,37.0,10.0,58.0,36.0,29.0,79.0,43.0,30.0,29.0,37.0,10.0,20.0,11.0,0.0,44.0,14.0,56.0,31.619537275064268
2020-01-30,26.0,11.0,0.0,13.0,11.0,0.0,0.0,18.0,21.0,0.0,11.0,45.0,0.0,0.0,0.0,12.0,15.0,30.0,15.0,23.0,12.904884318766067
2020-01-31,13.0,0.0,0.0,14.0,0.0,16.0,19.0,12.0,0.0,15.0,11.0,16.0,14.0,21.0,11.0,0.0,31.0,15.0,0.0,24.0,11.9280205655527
2020-02-01,26.0,21.0,0.0,13.0,32.0,15.0,19.0,12.0,21.0,15.0,11.0,15.0,13.0,0.0,21.0,0.0,15.0,15.0,30.0,36.0,16.966580976863753
2020-02-02,49.0,10.0,25.0,25.0,20.0,29.0,55.0,11.0,40.0,0.0,10.0,29.0,13.0,10.0,0.0,11.0,0.0,43.0,56.0,23.0,23.59897172236504
2020-02-03,0.0,0.0,23.0,34.0,18.0,13.0,33.0,26.0,54.0,13.0,9.0,20.0,23.0,27.0,18.0,31.0,26.0,39.0,13.0,61.0,24.73007712082262
2020-02-04,25.0,0.0,25.0,12.0,42.0,29.0,56.0,34.0,20.0,43.0,21.0,15.0,13.0,0.0,0.0,0.0,0.0,30.0,29.0,35.0,22.056555269922878
2020-02-05,13.0,42.0,0.0,25.0,10.0,15.0,73.0,17.0,20.0,0.0,21.0,23.0,13.0,10.0,10.0,23.0,0.0,45.0,44.0,71.0,24.42159383033419
2020-02-06,13.0,22.0,27.0,0.0,32.0,32.0,0.0,12.0,42.0,31.0,11.0,16.0,27.0,0.0,21.0,24.0,16.0,47.0,31.0,49.0,23.290488431876607
2020-02-07,14.0,0.0,0.0,0.0,11.0,16.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,25.0,16.0,0.0,16.0,25.0,7.866323907455013
2020-02-08,26.0,21.0,26.0,26.0,21.0,31.0,38.0,0.0,21.0,15.0,11.0,38.0,52.0,10.0,31.0,36.0,31.0,30.0,0.0,47.0,26.272493573264782
2020-02-09,12.0,10.0,12.0,12.0,0.0,0.0,0.0,16.0,19.0,0.0,0.0,21.0,24.0,0.0,0.0,22.0,0.0,14.0,0.0,21.0,9.408740359897172
2020-02-10,0.0,0.0,12.0,24.0,10.0,14.0,0.0,22.0,19.0,14.0,10.0,14.0,24.0,10.0,10.0,0.0,0.0,14.0,0.0,22.0,11.259640102827763
2020-02-11,38.0,21.0,0.0,26.0,31.0,44.0,19.0,0.0,81.0,30.0,10.0,30.0,26.0,10.0,0.0,0.0,15.0,45.0,59.0,0.0,24.93573264781491
2020-02-12,25.0,31.0,38.0,38.0,40.0,44.0,37.0,34.0,60.0,44.0,20.0,15.0,26.0,10.0,10.0,22.0,14.0,43.0,44.0,22.0,31.72236503856041
2020-02-13,25.0,31.0,0.0,25.0,10.0,0.0,19.0,23.0,20.0,15.0,10.0,22.0,25.0,10.0,10.0,23.0,15.0,29.0,60.0,46.0,21.491002570694086
2020-02-14,13.0,11.0,0.0,0.0,21.0,15.0,19.0,12.0,21.0,15.0,32.0,31.0,13.0,11.0,11.0,0.0,0.0,31.0,30.0,36.0,16.55526992287918
2020-02-15,0.0,0.0,0.0,14.0,11.0,16.0,20.0,12.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.4730077120822616
2020-02-16,0.0,11.0,26.0,0.0,0.0,15.0,19.0,0.0,20.0,15.0,11.0,15.0,0.0,0.0,0.0,0.0,15.0,15.0,15.0,23.0,10.282776349614396
2020-02-17,13.0,0.0,13.0,26.0,11.0,15.0,19.0,18.0,21.0,15.0,11.0,15.0,26.0,0.0,32.0,12.0,15.0,0.0,30.0,47.0,17.4293059125964
2020-02-18,13.0,11.0,0.0,13.0,0.0,15.0,0.0,11.0,0.0,15.0,0.0,15.0,13.0,10.0,0.0,0.0,15.0,0.0,15.0,0.0,7.506426735218509
2020-02-19,0.0,21.0,13.0,13.0,21.0,15.0,19.0,12.0,62.0,15.0,21.0,31.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,48.0,16.503856041131105
2020-02-20,39.0,22.0,39.0,26.0,21.0,15.0,0.0,12.0,42.0,30.0,11.0,23.0,26.0,11.0,10.0,0.0,0.0,15.0,46.0,72.0,23.65038560411311
2020-02-21,28.0,11.0,0.0,14.0,0.0,16.0,20.0,25.0,22.0,16.0,0.0,16.0,0.0,11.0,22.0,12.0,16.0,0.0,0.0,50.0,14.344473007712082
2020-02-22,0.0,0.0,13.0,0.0,11.0,0.0,0.0,13.0,22.0,0.0,0.0,16.0,0.0,11.0,22.0,12.0,32.0,0.0,16.0,25.0,9.922879177377892
2020-02-23,13.0,11.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,15.0,13.0,0.0,10.0,12.0,15.0,15.0,0.0,24.0,7.814910025706941
2020-02-24,25.0,21.0,13.0,13.0,0.0,0.0,55.0,12.0,0.0,15.0,10.0,22.0,13.0,0.0,0.0,12.0,15.0,0.0,29.0,46.0,15.475578406169666
2020-02-25,0.0,0.0,0.0,13.0,10.0,15.0,38.0,23.0,0.0,0.0,10.0,15.0,0.0,10.0,20.0,12.0,0.0,0.0,0.0,23.0,9.717223650385604
2020-02-26,12.0,30.0,48.0,36.0,19.0,0.0,35.0,44.0,57.0,55.0,19.0,14.0,36.0,29.0,30.0,55.0,29.0,28.0,0.0,66.0,33.00771208226221
2020-02-27,12.0,10.0,0.0,0.0,10.0,14.0,0.0,0.0,19.0,14.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,14.0,14.0,22.0,7.352185089974293
2020-02-28,13.0,0.0,0.0,13.0,10.0,15.0,18.0,17.0,0.0,0.0,10.0,30.0,13.0,10.0,20.0,0.0,0.0,15.0,15.0,58.0,13.2133676092545
2020-02-29,0.0,0.0,0.0,12.0,0.0,29.0,0.0,0.0,20.0,0.0,0.0,29.0,0.0,10.0,10.0,23.0,44.0,0.0,29.0,23.0,11.773778920308484
2020-03-01,24.0,0.0,12.0,24.0,10.0,28.0,17.0,11.0,19.0,27.0,10.0,28.0,0.0,10.0,9.0,11.0,27.0,14.0,0.0,33.0,16.1439588688946
2020-03-02,12.0,19.0,23.0,12.0,9.0,0.0,17.0,21.0,37.0,27.0,9.0,55.0,0.0,28.0,9.0,21.0,40.0,27.0,14.0,42.0,21.696658097686374
2020-03-03,36.0,31.0,12.0,37.0,20.0,0.0,72.0,22.0,57.0,0.0,20.0,14.0,37.0,10.0,10.0,0.0,0.0,42.0,0.0,45.0,23.90745501285347
2020-03-04,0.0,0.0,0.0,12.0,0.0,14.0,17.0,11.0,0.0,0.0,0.0,14.0,12.0,0.0,10.0,11.0,14.0,0.0,0.0,0.0,5.912596401028278
2020-03-05,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,21.0,0.0,29.0,19.0,0.0,0.0,0.0,14.0,22.0,6.632390745501286
2020-03-06,0.0,10.0,0.0,13.0,10.0,14.0,18.0,11.0,0.0,14.0,10.0,0.0,12.0,10.0,0.0,22.0,29.0,14.0,0.0,22.0,10.745501285347043
2020-03-07,13.0,11.0,0.0,0.0,0.0,15.0,19.0,0.0,21.0,15.0,0.0,15.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,6.169665809768637
2020-03-08,12.0,10.0,58.0,23.0,10.0,42.0,69.0,11.0,38.0,41.0,9.0,21.0,59.0,0.0,0.0,11.0,14.0,69.0,54.0,21.0,29.408740359897173
2020-03-09,12.0,10.0,11.0,0.0,10.0,0.0,0.0,10.0,37.0,0.0,0.0,14.0,0.0,9.0,9.0,20.0,27.0,13.0,13.0,41.0,12.133676092544988
2020-03-10,34.0,9.0,22.0,0.0,0.0,26.0,17.0,21.0,36.0,26.0,18.0,0.0,11.0,0.0,18.0,11.0,13.0,13.0,39.0,21.0,17.223650385604113
2020-03-11,0.0,19.0,11.0,11.0,9.0,26.0,17.0,21.0,18.0,0.0,9.0,40.0,11.0,28.0,18.0,11.0,13.0,13.0,13.0,42.0,16.966580976863753
2020-03-12,23.0,20.0,0.0,12.0,10.0,27.0,0.0,11.0,38.0,27.0,0.0,14.0,12.0,0.0,0.0,0.0,0.0,27.0,27.0,21.0,13.830334190231362
2020-03-13,0.0,10.0,0.0,13.0,0.0,14.0,37.0,28.0,20.0,14.0,10.0,15.0,13.0,50.0,51.0,11.0,58.0,0.0,15.0,34.0,20.205655526992285
2020-03-14,100.0,100.0,100.0,100.0,80.0,100.0,91.0,100.0,100.0,100.0,100.0,87.0,100.0,100.0,100.0,100.0,100.0,100.0,87.0,100.0,100.0
2020-03-15,57.0,28.0,68.0,56.0,100.0,65.0,100.0,46.0,54.0,78.0,36.0,100.0,79.0,28.0,45.0,63.0,78.0,54.0,65.0,82.0,65.91259640102827
2020-03-16,31.0,26.0,42.0,21.0,34.0,12.0,77.0,47.0,67.0,12.0,17.0,56.0,21.0,8.0,25.0,19.0,37.0,36.0,25.0,38.0,33.470437017994854
2020-03-17,32.0,26.0,53.0,32.0,61.0,50.0,95.0,49.0,51.0,25.0,25.0,63.0,32.0,25.0,17.0,29.0,37.0,37.0,100.0,77.0,47.095115681233935
2020-03-18,22.0,27.0,43.0,22.0,26.0,37.0,48.0,35.0,51.0,50.0,9.0,38.0,44.0,44.0,17.0,10.0,38.0,25.0,25.0,39.0,33.419023136246786
2020-03-19,11.0,37.0,0.0,44.0,0.0,13.0,16.0,35.0,36.0,26.0,18.0,85.0,11.0,44.0,53.0,20.0,65.0,38.0,0.0,41.0,30.488431876606683
2020-03-20,0.0,17.0,31.0,41.0,17.0,24.0,46.0,28.0,83.0,48.0,25.0,18.0,0.0,17.0,25.0,9.0,38.0,36.0,84.0,57.0,33.11053984575836
2020-03-21,0.0,38.0,36.0,12.0,0.0,14.0,17.0,26.0,37.0,27.0,28.0,28.0,12.0,28.0,28.0,21.0,40.0,41.0,55.0,54.0,27.866323907455012
2020-03-22,24.0,10.0,12.0,48.0,10.0,14.0,0.0,11.0,38.0,14.0,19.0,14.0,12.0,38.0,19.0,22.0,28.0,14.0,14.0,42.0,20.719794344473005
2020-03-23,0.0,0.0,9.0,10.0,8.0,0.0,14.0,9.0,0.0,0.0,8.0,0.0,10.0,7.0,15.0,9.0,11.0,0.0,0.0,17.0,6.5295629820051415
2020-03-24,10.0,17.0,21.0,21.0,26.0,12.0,45.0,19.0,33.0,12.0,8.0,31.0,0.0,8.0,8.0,10.0,0.0,24.0,36.0,19.0,18.508997429305914
2020-03-25,31.0,8.0,10.0,10.0,0.0,48.0,15.0,24.0,16.0,12.0,17.0,18.0,11.0,16.0,16.0,19.0,0.0,12.0,36.0,38.0,18.354755784061698
2020-03-26,21.0,0.0,11.0,10.0,25.0,24.0,30.0,19.0,33.0,12.0,17.0,37.0,10.0,17.0,25.0,9.0,37.0,24.0,25.0,67.0,23.290488431876607
2020-03-27,30.0,25.0,0.0,10.0,16.0,47.0,29.0,41.0,32.0,34.0,8.0,30.0,10.0,64.0,24.0,45.0,35.0,12.0,24.0,64.0,29.82005141388175
