,/g/1213j0cz_0,/g/1213j0cz_1,/g/1213j0cz_2,/g/1213j0cz_3,/g/1213j0cz_4,/g/1213j0cz_5,/g/1213j0cz_6,/g/1213j0cz_7,/g/1213j0cz_8,/g/1213j0cz_9,/g/1213j0cz_10,/g/1213j0cz_11,/g/1213j0cz_12,/g/1213j0cz_13,/g/1213j0cz_14,/g/1213j0cz_15,/g/1213j0cz_16,/g/1213j0cz_17,/g/1213j0cz_18,/g/1213j0cz_19,/g/1213j0cz
2020-10-05,0.0,0.0,0.0,43.0,0.0,0.0,77.19298245614036,78.0,0.0,0.0,0.0,0.0,39.0,0.0,0.0,23.0,0.0,0.0,0.0,43.0,26.59496392106566
2020-10-06,0.0,0.0,47.0,0.0,0.0,0.0,0.0,79.0,34.0,0.0,26.0,0.0,39.0,35.0,0.0,0.0,0.0,43.0,0.0,44.0,30.437553025966764
2020-10-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,0.0,0.0,0.0,0.0,4.034949392491271
2020-10-08,0.0,31.0,0.0,44.0,0.0,0.0,78.94736842105263,0.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,47.31182795698925,0.0,0.0,44.0,26.51305566957565
2020-10-09,0.0,0.0,57.0,53.0,0.0,56.12244897959184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,56.98924731182796,0.0,0.0,0.0,22.02658666083732
2020-10-10,61.0,0.0,59.0,0.0,0.0,0.0,100.0,100.0,87.0,34.0,100.0,0.0,100.0,46.0,100.0,58.0,0.0,54.0,54.794520547945204,56.0,88.57543015708579
2020-10-11,0.0,0.0,55.0,0.0,0.0,0.0,0.0,93.0,40.0,31.0,31.0,0.0,46.0,0.0,47.0,27.0,0.0,0.0,0.0,0.0,32.4550277222124
2020-10-12,56.0,35.0,53.0,100.0,0.0,0.0,91.2280701754386,92.0,79.0,60.0,92.0,100.0,0.0,0.0,45.0,27.0,0.0,100.0,100.0,100.0,99.13941445936884
2020-10-13,0.0,34.0,53.0,0.0,0.0,52.04081632653061,0.0,90.0,0.0,29.0,31.0,49.0,0.0,40.0,45.0,0.0,53.763440860215056,0.0,0.0,0.0,41.823501040715456
2020-10-14,0.0,100.0,100.0,94.0,66.0,50.0,84.21052631578948,86.0,37.0,29.0,29.0,0.0,42.0,38.0,0.0,38.0,51.61290322580645,94.0,93.15068493150685,47.0,94.643607558849
2020-10-15,53.0,0.0,0.0,0.0,0.0,0.0,85.96491228070175,0.0,37.0,28.0,0.0,0.0,0.0,38.0,43.0,37.0,0.0,47.0,0.0,0.0,32.36423366646984
2020-10-16,55.0,35.0,0.0,50.0,35.0,53.06122448979592,89.47368421052632,88.0,39.0,30.0,30.0,48.0,89.0,40.0,91.0,52.0,53.763440860215056,0.0,0.0,0.0,77.0410737388125
2020-10-17,58.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,0.0,51.0,47.0,0.0,0.0,28.0,0.0,0.0,52.054794520547944,0.0,26.670558879016156
