,/m/0b76bty_0,/m/0b76bty_1,/m/0b76bty_2,/m/0b76bty_3,/m/0b76bty_4,/m/0b76bty_5,/m/0b76bty_6,/m/0b76bty_7,/m/0b76bty_8,/m/0b76bty_9,/m/0b76bty_10,/m/0b76bty_11,/m/0b76bty_12,/m/0b76bty_13,/m/0b76bty_14,/m/0b76bty_15,/m/0b76bty_16,/m/0b76bty_17,/m/0b76bty_18,/m/0b76bty_19,/m/0b76bty
2020-01-29,0.0,0.0,0.0,25.0,0.0,19.0,21.0,20.0,16.0,23.333333333333332,16.0,0.0,15.0,18.0,0.0,21.0,0.0,0.0,36.0,35.0,18.970448045757863
2020-01-30,40.0,21.0,82.0,51.0,36.0,39.0,21.0,39.0,16.0,47.77777777777778,17.0,43.0,16.0,57.0,85.0,22.0,38.0,38.0,56.0,54.0,58.539879250079444
2020-01-31,0.0,21.0,0.0,0.0,38.0,20.0,21.0,0.0,17.0,47.77777777777778,16.0,22.0,0.0,37.0,17.0,22.0,19.0,0.0,0.0,18.0,22.577057515093735
2020-02-01,22.0,46.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,52.22222222222222,0.0,0.0,0.0,0.0,36.0,0.0,20.0,20.0,40.0,38.0,21.107403876707973
2020-02-02,20.0,21.0,20.0,26.0,0.0,20.0,21.0,20.0,0.0,47.77777777777778,0.0,0.0,32.0,19.0,0.0,22.0,19.0,0.0,0.0,0.0,20.5751509374007
2020-02-03,53.0,56.0,36.0,0.0,0.0,17.0,56.0,35.0,44.0,42.22222222222222,30.0,39.0,56.0,33.0,45.0,38.0,83.0,0.0,0.0,0.0,47.41817604067366
2020-02-04,100.0,84.0,82.0,26.0,55.0,20.0,63.0,59.0,17.0,47.77777777777778,33.0,65.0,31.0,56.0,33.0,65.0,47.0,76.0,19.0,18.0,71.26628535112805
2020-02-05,40.0,21.0,61.0,77.0,74.0,39.0,0.0,0.0,0.0,23.333333333333332,50.0,22.0,47.0,19.0,34.0,43.0,19.0,0.0,19.0,36.0,44.6377502383222
2020-02-06,21.0,45.0,22.0,54.0,58.0,21.0,45.0,63.0,18.0,25.555555555555557,18.0,23.0,0.0,39.0,36.0,46.0,20.0,20.0,0.0,0.0,41.07880521131236
2020-02-07,0.0,0.0,21.0,54.0,19.0,42.0,22.0,41.0,18.0,0.0,18.0,0.0,17.0,0.0,18.0,23.0,100.0,60.0,59.0,38.0,39.32316491897045
2020-02-08,62.0,22.0,64.0,0.0,38.0,0.0,0.0,0.0,35.0,25.555555555555557,35.0,23.0,50.0,59.0,35.0,68.0,59.0,20.0,40.0,19.0,46.798538290435324
2020-02-09,20.0,21.0,20.0,25.0,18.0,19.0,21.0,0.0,16.0,46.666666666666664,33.0,0.0,16.0,0.0,0.0,0.0,18.0,19.0,18.0,17.0,23.42707340324118
2020-02-10,19.0,41.0,0.0,25.0,18.0,19.0,0.0,0.0,0.0,23.333333333333332,0.0,21.0,0.0,18.0,32.0,21.0,18.0,36.0,18.0,35.0,24.618684461391798
