date,/m/01b_06_0,/m/01b_06_1,/m/01b_06_2,/m/01b_06_3,/m/01b_06_4,/m/01b_06_5,/m/01b_06_6,/m/01b_06_7,/m/01b_06_8,/m/01b_06_9,/m/01b_06,batch_id
2020-02-22,24.0,16.0,25.0,45.0,30.0,23.0,15.0,0.0,24.0,26.0,25.19337016574585,0.0
2020-02-23,21.0,14.0,28.0,23.0,22.0,20.0,0.0,5.0,16.0,14.0,18.01104972375691,0.0
2020-02-24,34.0,26.0,16.0,47.0,28.0,47.0,20.0,18.0,49.0,13.0,32.92817679558011,0.0
2020-02-25,19.0,47.0,36.0,47.0,41.0,46.0,27.0,13.0,10.0,17.0,33.48066298342541,0.0
2020-02-26,29.0,39.0,36.0,42.0,45.0,28.0,48.0,45.0,44.0,38.0,43.53591160220994,0.0
2020-02-27,70.0,36.0,43.0,54.0,42.0,58.0,49.0,61.0,61.0,47.0,57.56906077348064,0.0
2020-02-28,31.0,33.0,40.0,46.0,31.0,36.0,30.0,49.0,53.0,18.0,40.55248618784531,0.0
2020-02-29,28.0,30.0,48.0,24.0,14.0,27.0,37.0,31.0,57.0,39.0,37.01657458563536,0.0
2020-03-01,32.0,44.0,58.0,53.0,50.0,62.0,53.0,45.0,38.0,47.0,53.25966850828728,0.0
2020-03-02,34.0,35.0,63.0,58.0,57.0,43.0,36.0,55.0,65.0,51.0,54.91712707182322,0.0
2020-03-03,28.0,52.0,72.0,31.0,40.0,64.0,35.0,58.0,34.0,33.0,49.39226519337015,0.0
2020-03-04,45.0,40.0,22.0,60.0,55.0,29.0,12.0,33.0,46.0,30.0,41.104972375690615,0.0
2020-03-05,25.0,27.0,33.0,33.0,26.0,30.0,16.0,19.0,36.0,4.0,27.51381215469613,0.0
2020-03-06,50.0,32.0,49.0,33.0,38.0,35.0,41.0,42.0,47.0,48.0,45.85635359116022,0.0
2020-03-07,72.0,39.0,42.0,36.0,37.0,59.0,36.0,46.0,34.0,43.0,49.060773480662974,0.0
2020-03-08,27.0,30.0,58.0,41.0,32.0,53.0,35.0,20.0,50.0,19.0,40.331491712707184,0.0
2020-03-09,38.0,51.0,41.0,41.0,28.0,32.0,35.0,22.0,33.0,41.0,40.00000000000001,0.0
2020-03-10,83.0,100.0,50.0,100.0,75.0,72.0,53.0,65.0,80.0,68.0,82.43093922651933,0.0
2020-03-11,100.0,90.0,94.0,89.0,66.0,97.0,100.0,90.0,79.0,100.0,100.0,0.0
2020-03-12,87.0,74.0,74.0,99.0,69.0,71.0,71.0,100.0,97.0,79.0,90.71823204419891,0.0
2020-03-13,77.0,56.0,77.0,57.0,41.0,60.0,66.0,54.0,79.0,79.0,71.38121546961325,0.0
2020-03-14,97.0,92.0,70.0,76.0,100.0,100.0,66.0,91.0,100.0,56.0,93.70165745856352,0.0
2020-03-15,61.0,50.0,71.0,87.0,60.0,83.0,87.0,71.0,72.0,35.0,74.80662983425414,0.0
2020-03-16,83.0,43.0,100.0,66.0,63.0,85.0,76.0,41.0,76.0,69.0,77.56906077348066,0.0
2020-03-17,55.0,42.0,70.0,55.0,39.0,58.0,45.0,26.0,52.0,76.0,57.23756906077348,0.0
2020-03-18,49.0,48.0,63.0,74.0,54.0,48.0,44.0,46.0,50.0,25.0,55.35911602209946,0.0
2020-03-19,77.0,75.0,84.0,53.0,69.0,80.0,60.0,69.0,69.0,38.0,74.47513812154699,0.0
2020-03-20,56.0,46.0,85.0,60.0,52.0,68.0,69.0,57.0,48.0,40.0,64.19889502762429,0.0
2020-03-21,30.0,22.0,43.0,42.0,33.0,19.0,8.0,28.0,20.0,30.0,30.38674033149171,0.0
2020-03-22,29.0,35.0,21.0,37.0,16.0,33.0,12.0,14.0,15.0,34.0,27.18232044198895,0.0
2020-03-23,12.0,19.0,22.0,36.0,10.0,20.0,20.0,31.0,30.0,18.0,24.08839779005525,0.0
