date,/m/01c751_0,/m/01c751_1,/m/01c751_2,/m/01c751_3,/m/01c751_4,/m/01c751_5,/m/01c751_6,/m/01c751_7,/m/01c751_8,/m/01c751_9,/m/01c751,batch_id
2020-01-01,1.0,1.0,1.0,1.0,0.0,1.0,1.0,2.0,1.0,1.0,1.0,0
2020-01-02,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.8,0
2020-01-03,2.0,2.0,2.0,0.0,0.0,1.0,2.0,0.0,2.0,2.0,1.3,0
2020-01-04,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.5,0
2020-01-05,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.9,0
2020-01-06,1.0,0.0,1.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,0.9,0
2020-01-07,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0
2020-01-08,2.0,3.0,2.0,3.0,2.0,2.0,1.0,1.0,0.0,3.0,1.9,0
2020-01-09,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.6,0
2020-01-10,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0
2020-01-11,2.0,1.0,2.0,1.0,1.0,2.0,2.0,0.0,1.0,2.0,1.4,0
2020-01-12,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9,0
2020-01-13,0.0,1.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,0.6,0
2020-01-14,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.2,0
2020-01-15,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.2,0
2020-01-16,2.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,2.0,2.0,1.3,0
2020-01-17,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.8,0
2020-01-18,1.0,3.0,3.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,1.7,0
2020-01-19,1.0,2.0,2.0,1.0,1.0,0.0,2.0,2.0,2.0,2.0,1.5,0
2020-01-20,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.7,0
2020-01-21,1.0,3.0,2.0,2.0,2.0,1.0,2.0,2.0,3.0,2.0,2.0,0
2020-01-22,5.0,4.0,5.0,3.0,3.0,3.0,5.0,5.0,5.0,4.0,4.2,0
2020-01-23,2.0,3.0,5.0,6.0,5.0,5.0,3.0,6.0,6.0,3.0,4.4,0
2020-01-24,3.0,9.0,5.0,5.0,6.0,5.0,4.0,4.0,6.0,5.0,5.2,0
2020-01-25,3.0,6.0,3.0,4.0,5.0,6.0,3.0,7.0,3.0,5.0,4.5,0
2020-01-26,11.0,7.0,9.0,10.0,6.0,9.0,7.0,9.0,7.0,10.0,8.5,0
2020-01-27,4.0,4.0,2.0,5.0,4.0,4.0,5.0,7.0,4.0,3.0,4.2,0
2020-01-28,12.0,11.0,9.0,6.0,9.0,6.0,8.0,8.0,7.0,7.0,8.3,0
2020-01-29,11.0,10.0,11.0,9.0,10.0,8.0,9.0,8.0,7.0,10.0,9.3,0
2020-01-30,18.0,18.0,16.0,18.0,15.0,16.0,20.0,18.0,18.0,20.0,17.7,0
2020-01-31,18.0,18.0,22.0,21.0,19.0,16.0,14.0,21.0,21.0,16.0,18.6,0
2020-02-01,11.0,14.0,16.0,11.0,14.0,17.0,18.0,17.0,16.0,11.0,14.5,0
2020-02-02,10.0,10.0,15.0,12.0,13.0,8.0,11.0,11.0,8.0,10.0,10.8,0
2020-02-03,6.0,3.0,5.0,6.0,4.0,4.0,3.0,6.0,3.0,5.0,4.5,0
2020-02-04,2.0,3.0,6.0,5.0,5.0,4.0,5.0,5.0,3.0,6.0,4.4,0
2020-02-05,1.0,3.0,3.0,3.0,4.0,3.0,2.0,4.0,3.0,3.0,2.9,0
2020-02-06,5.0,4.0,4.0,2.0,3.0,4.0,5.0,4.0,5.0,2.0,3.8,0
2020-02-07,5.0,5.0,4.0,4.0,5.0,4.0,4.0,3.0,3.0,6.0,4.3,0
2020-02-08,4.0,2.0,3.0,6.0,3.0,5.0,3.0,4.0,5.0,3.0,3.8,0
2020-02-09,3.0,4.0,3.0,3.0,4.0,2.0,4.0,5.0,4.0,4.0,3.6,0
2020-02-10,4.0,4.0,5.0,5.0,4.0,6.0,7.0,4.0,5.0,7.0,5.1,0
2020-02-11,5.0,9.0,12.0,8.0,11.0,6.0,9.0,12.0,7.0,9.0,8.8,0
2020-02-12,4.0,2.0,4.0,4.0,3.0,4.0,4.0,3.0,4.0,3.0,3.5,0
2020-02-13,9.0,5.0,10.0,9.0,7.0,7.0,10.0,9.0,6.0,8.0,8.0,0
2020-02-14,4.0,2.0,3.0,5.0,5.0,2.0,5.0,4.0,4.0,3.0,3.7,0
2020-02-15,5.0,5.0,5.0,5.0,2.0,5.0,6.0,8.0,6.0,4.0,5.1,0
2020-02-16,6.0,8.0,4.0,8.0,2.0,3.0,3.0,6.0,7.0,3.0,5.0,0
2020-02-17,4.0,5.0,2.0,3.0,2.0,4.0,4.0,3.0,4.0,2.0,3.3,0
2020-02-18,6.0,7.0,4.0,4.0,3.0,4.0,3.0,6.0,5.0,5.0,4.7,0
2020-02-19,2.0,2.0,1.0,3.0,2.0,2.0,3.0,2.0,3.0,1.0,2.1,0
2020-02-20,3.0,3.0,3.0,3.0,2.0,2.0,3.0,3.0,3.0,3.0,2.8,0
