,/m/0g9pc_0,/m/0g9pc_1,/m/0g9pc_2,/m/0g9pc_3,/m/0g9pc_4,/m/0g9pc_5,/m/0g9pc_6,/m/0g9pc_7,/m/0g9pc_8,/m/0g9pc_9,/m/0g9pc_10,/m/0g9pc_11,/m/0g9pc_12,/m/0g9pc_13,/m/0g9pc_14,/m/0g9pc_15,/m/0g9pc_16,/m/0g9pc_17,/m/0g9pc_18,/m/0g9pc_19,/m/0g9pc
2020-10-05,7.0,24.0,23.0,33.0,56.0,31.0,38.0,39.0,55.0,41.0,31.0,49.0,26.0,20.0,31.0,31.0,29.0,8.0,24.0,38.0,33.333333333333336
2020-10-06,48.0,41.0,46.0,46.0,51.0,49.0,34.0,32.0,35.0,41.0,24.0,49.0,45.0,31.0,43.0,43.0,39.0,39.0,48.0,53.0,44.00630914826499
2020-10-07,22.0,14.0,28.0,21.0,33.0,18.0,30.0,16.0,20.0,12.0,16.0,21.0,15.0,20.0,24.0,24.0,46.0,39.0,53.0,23.0,26.025236593059937
2020-10-08,19.0,26.0,40.0,50.0,51.0,44.0,42.0,38.0,34.0,44.0,30.0,40.0,49.0,37.0,59.0,26.0,18.0,30.0,41.0,24.0,39.01156677181914
2020-10-09,16.0,24.0,32.0,24.0,27.0,26.0,40.0,32.0,27.0,38.0,32.0,38.0,26.0,29.0,50.0,23.0,14.0,36.0,11.0,48.0,31.177707676130392
2020-10-10,42.0,33.0,60.0,44.0,56.0,70.0,26.0,19.0,23.0,35.0,28.0,53.0,27.0,34.0,32.0,28.0,45.0,37.0,40.0,50.0,41.11461619348055
2020-10-11,29.0,52.0,43.0,33.0,38.0,62.0,40.0,27.0,18.0,33.0,55.0,29.0,35.0,23.0,23.0,23.0,34.0,18.0,33.0,17.0,34.96319663512093
2020-10-12,35.0,26.0,40.0,37.0,47.0,35.0,38.0,57.0,44.0,36.0,44.0,37.0,58.0,28.0,43.0,35.0,55.0,34.0,52.0,25.0,42.37644584647739
2020-10-13,39.0,30.0,30.0,37.0,26.0,15.0,38.0,17.0,30.0,27.0,27.0,18.0,33.0,19.0,26.0,39.0,18.0,17.0,42.0,21.0,28.86435331230284
2020-10-14,30.0,18.0,44.0,48.0,25.0,42.0,50.0,45.0,33.0,39.0,46.0,43.0,58.0,21.0,53.0,49.0,49.0,29.0,55.0,60.0,44.00630914826499
2020-10-15,43.0,34.0,82.0,64.0,57.0,60.0,62.0,35.0,65.0,69.0,57.0,50.0,66.0,41.0,48.0,56.0,56.0,38.0,52.0,54.0,57.25552050473186
2020-10-16,36.0,54.0,41.0,33.0,47.0,66.0,54.0,40.0,26.0,65.0,58.0,32.0,29.0,36.0,35.0,49.0,19.0,22.0,49.0,47.0,44.05888538380652
2020-10-17,13.0,29.0,44.0,30.0,46.0,38.0,63.0,29.0,34.0,20.0,38.0,44.0,32.0,31.0,61.0,58.0,15.0,9.0,17.0,45.0,36.59305993690852
2020-10-18,49.0,21.0,23.0,26.0,29.0,45.0,11.0,24.0,24.0,26.0,34.0,5.0,28.0,18.0,15.0,24.0,42.0,67.0,41.0,19.0,30.021030494216618
2020-10-19,28.0,19.0,56.0,28.0,36.0,50.0,33.0,26.0,39.0,32.0,26.0,23.0,46.0,22.0,34.0,43.0,28.0,21.0,53.0,38.0,35.80441640378549
2020-10-20,16.0,19.0,40.0,36.0,15.0,44.0,46.0,34.0,39.0,40.0,22.0,27.0,25.0,25.0,34.0,13.0,27.0,13.0,31.0,25.0,30.021030494216618
2020-10-21,42.0,45.0,76.0,54.0,72.0,54.0,42.0,22.0,39.0,41.0,44.0,67.0,62.0,34.0,51.0,52.0,27.0,42.0,26.0,45.0,49.26393270241851
2020-10-22,41.0,47.0,53.0,43.0,55.0,62.0,55.0,58.0,62.0,57.0,47.0,43.0,40.0,39.0,54.0,46.0,44.0,45.0,76.0,32.0,52.5236593059937
2020-10-23,42.0,37.0,24.0,40.0,10.0,34.0,23.0,29.0,13.0,22.0,17.0,26.0,24.0,18.0,17.0,21.0,54.0,70.0,30.0,28.0,30.441640378548897
2020-10-24,48.0,41.0,78.0,70.0,90.0,87.0,47.0,70.0,72.0,45.0,48.0,64.0,40.0,44.0,52.0,71.0,45.0,70.0,40.0,54.0,61.82965299684543
2020-10-25,57.0,36.0,37.0,52.0,66.0,47.0,45.0,36.0,14.0,52.0,28.0,53.0,30.0,36.0,58.0,55.0,67.0,66.0,59.0,31.0,48.63301787592009
2020-10-26,30.0,50.0,57.0,43.0,58.0,37.0,75.0,53.0,53.0,56.0,41.0,55.0,42.0,44.0,56.0,44.0,35.0,40.0,40.0,62.0,51.051524710830705
2020-10-27,38.0,40.0,54.0,31.0,80.0,43.0,55.0,29.0,34.0,26.0,43.0,52.0,52.0,36.0,29.0,46.0,72.0,62.0,45.0,24.0,46.84542586750789
2020-10-28,30.0,51.0,58.0,74.0,74.0,38.0,63.0,45.0,58.0,48.0,55.0,47.0,40.0,36.0,50.0,67.0,40.0,53.0,60.0,52.0,54.62670872765511
2020-10-29,41.0,53.0,61.0,56.0,43.0,55.0,58.0,61.0,52.0,64.0,74.0,51.0,46.0,41.0,60.0,65.0,57.0,44.0,19.0,66.0,56.09884332281809
2020-10-30,52.0,37.0,67.0,60.0,55.0,70.0,42.0,38.0,53.0,64.0,43.0,48.0,47.0,49.0,68.0,54.0,49.0,38.0,78.0,66.0,56.67718191377498
2020-10-31,22.0,36.0,56.0,64.0,25.0,51.0,45.0,44.0,65.0,51.0,49.0,34.0,43.0,35.0,32.0,45.0,48.0,32.0,54.0,46.0,46.10935856992639
2020-11-01,41.0,18.0,90.0,43.0,44.0,66.0,72.0,57.0,40.0,47.0,41.0,39.0,27.0,47.0,62.0,53.0,48.0,52.0,49.0,58.0,52.26077812828602
2020-11-02,43.0,24.0,41.0,50.0,47.0,36.0,34.0,24.0,35.0,37.0,36.0,37.0,60.0,23.0,42.0,31.0,46.0,62.0,52.0,38.0,41.955835962145116
2020-11-03,32.0,24.0,45.0,33.0,51.0,18.0,42.0,23.0,23.0,16.0,16.0,40.0,26.0,30.0,50.0,51.0,25.0,31.0,28.0,26.0,33.123028391167196
2020-11-04,25.0,54.0,45.0,37.0,50.0,84.0,57.0,46.0,42.0,62.0,60.0,36.0,63.0,38.0,52.0,45.0,41.0,31.0,63.0,33.0,50.68349106203996
2020-11-05,23.0,48.0,38.0,38.0,48.0,42.0,47.0,58.0,22.0,42.0,37.0,30.0,41.0,21.0,40.0,44.0,42.0,50.0,44.0,38.0,41.69295478443744
2020-11-06,41.0,49.0,35.0,48.0,73.0,57.0,46.0,41.0,53.0,63.0,31.0,39.0,33.0,30.0,34.0,57.0,52.0,37.0,82.0,65.0,50.78864353312303
2020-11-07,17.0,33.0,53.0,48.0,50.0,48.0,29.0,65.0,38.0,44.0,50.0,68.0,47.0,22.0,23.0,34.0,29.0,30.0,23.0,40.0,41.58780231335436
2020-11-08,49.0,44.0,31.0,41.0,51.0,27.0,34.0,42.0,58.0,37.0,55.0,48.0,52.0,42.0,38.0,55.0,57.0,46.0,47.0,33.0,46.635120925341745
2020-11-09,38.0,27.0,32.0,24.0,46.0,31.0,42.0,31.0,42.0,45.0,32.0,28.0,40.0,28.0,23.0,19.0,58.0,23.0,51.0,22.0,35.856992639327025
2020-11-10,47.0,45.0,60.0,54.0,47.0,59.0,42.0,24.0,28.0,21.0,52.0,45.0,37.0,31.0,47.0,59.0,42.0,54.0,38.0,45.0,46.10935856992639
2020-11-11,34.0,36.0,62.0,60.0,59.0,48.0,37.0,42.0,38.0,28.0,50.0,36.0,36.0,33.0,30.0,42.0,37.0,45.0,50.0,32.0,43.901156677181916
2020-11-12,18.0,34.0,41.0,45.0,42.0,63.0,51.0,39.0,50.0,65.0,47.0,45.0,49.0,39.0,47.0,54.0,33.0,23.0,61.0,48.0,47.003154574132495
2020-11-13,22.0,45.0,60.0,58.0,65.0,64.0,78.0,56.0,47.0,50.0,48.0,33.0,56.0,36.0,55.0,47.0,29.0,35.0,33.0,53.0,50.998948475289176
