,/m/01b_06_0,/m/01b_06_1,/m/01b_06_2,/m/01b_06_3,/m/01b_06_4,/m/01b_06_5,/m/01b_06_6,/m/01b_06_7,/m/01b_06_8,/m/01b_06_9,/m/01b_06_10,/m/01b_06_11,/m/01b_06_12,/m/01b_06_13,/m/01b_06_14,/m/01b_06_15,/m/01b_06_16,/m/01b_06_17,/m/01b_06_18,/m/01b_06_19,/m/01b_06
2020-01-29,32.0,35.0,21.0,23.0,31.0,18.0,36.0,24.0,25.0,32.0,31.0,30.0,23.0,31.0,28.0,22.0,22.0,48.0,40.0,31.0,30.555555555555554
2020-01-30,29.0,20.0,17.0,29.0,26.0,18.0,9.0,31.0,8.0,20.0,16.0,15.0,21.0,21.0,23.0,22.0,21.0,31.0,19.0,24.0,22.0125786163522
2020-01-31,15.0,23.0,17.0,19.0,23.0,28.0,19.0,25.0,23.0,34.0,29.0,26.0,27.0,39.0,20.0,32.0,10.0,19.0,13.0,18.0,24.056603773584904
2020-02-01,25.0,27.0,0.0,17.0,35.0,26.0,33.0,33.0,17.0,18.0,33.0,17.0,36.0,16.0,18.0,27.0,22.0,20.0,27.0,19.0,24.42348008385744
2020-02-02,27.0,31.0,19.0,24.0,19.0,25.0,34.0,24.0,29.0,20.0,13.0,22.0,21.0,18.0,25.0,22.0,21.0,18.0,19.0,21.0,23.689727463312366
2020-02-03,30.0,31.0,20.0,34.0,23.0,23.0,31.0,22.0,12.0,25.0,28.0,23.0,22.0,32.0,26.0,23.0,23.0,33.0,26.0,24.0,26.781970649895175
2020-02-04,18.0,9.0,8.0,22.0,16.0,9.0,16.0,15.0,8.0,20.0,22.0,19.0,19.0,15.0,7.0,16.0,16.0,16.0,13.0,30.0,16.457023060796644
2020-02-05,21.0,9.0,14.0,16.0,22.0,12.0,13.0,15.0,10.0,14.0,13.0,19.0,3.0,12.0,16.0,6.0,10.0,13.0,3.0,3.0,12.788259958071277
2020-02-06,35.0,24.0,20.0,26.0,31.0,35.0,13.0,10.0,21.0,21.0,20.0,16.0,11.0,32.0,17.0,23.0,27.0,16.0,16.0,25.0,23.0083857442348
2020-02-07,22.0,18.0,9.0,22.0,17.0,32.0,20.0,16.0,8.0,15.0,17.0,10.0,17.0,16.0,25.0,30.0,16.0,10.0,20.0,19.0,18.81551362683438
2020-02-08,22.0,15.0,32.0,25.0,24.0,10.0,23.0,25.0,14.0,15.0,23.0,26.0,20.0,19.0,17.0,30.0,25.0,42.0,30.0,21.0,24.0041928721174
2020-02-09,26.0,25.0,11.0,19.0,19.0,15.0,19.0,27.0,10.0,11.0,25.0,22.0,16.0,24.0,19.0,29.0,15.0,28.0,22.0,12.0,20.649895178197063
2020-02-10,26.0,19.0,27.0,18.0,46.0,21.0,21.0,32.0,19.0,13.0,18.0,24.0,23.0,26.0,34.0,25.0,27.0,27.0,30.0,31.0,26.572327044025155
2020-02-11,23.0,25.0,24.0,21.0,22.0,24.0,24.0,24.0,20.0,30.0,24.0,27.0,10.0,35.0,23.0,22.0,30.0,24.0,24.0,23.0,25.10482180293501
2020-02-12,21.0,14.0,25.0,21.0,25.0,12.0,15.0,15.0,21.0,22.0,15.0,13.0,8.0,12.0,29.0,19.0,18.0,19.0,25.0,20.0,19.339622641509433
2020-02-13,22.0,19.0,27.0,18.0,31.0,30.0,15.0,15.0,22.0,27.0,36.0,12.0,8.0,26.0,9.0,37.0,27.0,15.0,24.0,31.0,23.637316561844862
2020-02-14,24.0,23.0,22.0,19.0,16.0,19.0,16.0,27.0,18.0,29.0,19.0,19.0,19.0,15.0,17.0,19.0,10.0,25.0,19.0,24.0,20.91194968553459
2020-02-15,19.0,28.0,12.0,20.0,11.0,20.0,20.0,23.0,23.0,24.0,24.0,31.0,17.0,22.0,17.0,21.0,8.0,37.0,21.0,23.0,22.064989517819704
2020-02-16,15.0,6.0,17.0,8.0,10.0,35.0,16.0,19.0,8.0,15.0,10.0,19.0,8.0,21.0,10.0,19.0,10.0,22.0,6.0,15.0,15.146750524109013
2020-02-17,36.0,29.0,18.0,24.0,30.0,12.0,32.0,37.0,19.0,31.0,29.0,32.0,15.0,38.0,21.0,33.0,21.0,23.0,15.0,22.0,27.09643605870021
2020-02-18,14.0,16.0,26.0,18.0,24.0,21.0,23.0,17.0,14.0,21.0,26.0,18.0,23.0,17.0,15.0,12.0,17.0,18.0,18.0,19.0,19.758909853249477
