,/m/01b_21_0,/m/01b_21_1,/m/01b_21_2,/m/01b_21_3,/m/01b_21_4,/m/01b_21_5,/m/01b_21_6,/m/01b_21_7,/m/01b_21_8,/m/01b_21_9,/m/01b_21_10,/m/01b_21_11,/m/01b_21_12,/m/01b_21_13,/m/01b_21_14,/m/01b_21_15,/m/01b_21_16,/m/01b_21_17,/m/01b_21_18,/m/01b_21_19,/m/01b_21
2020-01-29,17.0,17.0,26.0,18.0,18.0,29.0,21.0,24.0,18.0,25.0,24.0,29.0,28.0,24.0,21.0,17.0,23.0,32.0,25.0,28.0,24.959655728886496
2020-01-30,25.0,29.0,39.0,33.0,20.0,29.0,21.0,33.0,23.0,26.0,20.0,26.0,25.0,23.0,21.0,28.0,37.0,26.0,27.0,17.0,28.402366863905325
2020-01-31,42.0,29.0,21.0,37.0,18.0,18.0,19.0,21.0,25.0,28.0,24.0,20.0,20.0,21.0,32.0,24.0,23.0,23.0,17.0,19.0,25.874125874125873
2020-02-01,38.0,34.0,35.0,37.0,27.0,32.0,25.0,37.0,28.0,37.0,32.0,36.0,27.0,23.0,29.0,36.0,29.0,38.0,37.0,27.0,34.642280796126954
2020-02-02,28.0,40.0,50.0,40.0,34.0,44.0,54.0,37.0,37.0,49.0,40.0,37.0,52.0,35.0,40.0,35.0,42.0,51.0,39.0,58.0,45.29316837009144
2020-02-03,25.0,16.0,26.0,21.0,19.0,34.0,30.0,29.0,21.0,17.0,31.0,23.0,27.0,14.0,23.0,22.0,30.0,45.0,32.0,22.0,27.272727272727273
2020-02-04,25.0,20.0,21.0,22.0,19.0,18.0,14.0,29.0,17.0,24.0,16.0,18.0,16.0,19.0,21.0,20.0,20.0,16.0,32.0,30.0,22.431414739107048
2020-02-05,30.0,27.0,43.0,38.0,31.0,25.0,31.0,43.0,29.0,25.0,29.0,36.0,47.0,30.0,33.0,28.0,34.0,41.0,39.0,33.0,36.14846691769768
2020-02-06,36.0,31.0,40.0,32.0,33.0,23.0,28.0,30.0,29.0,38.0,28.0,24.0,21.0,34.0,31.0,25.0,30.0,24.0,33.0,31.0,32.32920925228618
2020-02-07,22.0,29.0,19.0,31.0,16.0,19.0,14.0,22.0,35.0,29.0,16.0,20.0,22.0,25.0,36.0,16.0,16.0,19.0,16.0,24.0,23.99139322216245
2020-02-08,39.0,29.0,40.0,34.0,28.0,34.0,28.0,25.0,32.0,25.0,24.0,29.0,30.0,23.0,31.0,29.0,26.0,44.0,30.0,34.0,33.02850995158688
2020-02-09,22.0,24.0,39.0,26.0,37.0,41.0,36.0,27.0,25.0,19.0,32.0,37.0,46.0,28.0,26.0,22.0,32.0,35.0,48.0,28.0,33.88918773534158
2020-02-10,36.0,29.0,39.0,31.0,21.0,20.0,17.0,29.0,27.0,24.0,34.0,27.0,37.0,22.0,29.0,27.0,28.0,30.0,34.0,25.0,30.446476600322754
2020-02-11,31.0,18.0,33.0,24.0,17.0,21.0,31.0,29.0,24.0,22.0,28.0,15.0,19.0,27.0,29.0,19.0,28.0,25.0,31.0,36.0,27.272727272727273
2020-02-12,20.0,31.0,36.0,23.0,30.0,32.0,27.0,26.0,28.0,22.0,32.0,24.0,32.0,23.0,35.0,30.0,24.0,22.0,26.0,35.0,30.0161377084454
2020-02-13,26.0,31.0,26.0,40.0,26.0,29.0,22.0,21.0,19.0,37.0,18.0,23.0,26.0,24.0,27.0,34.0,16.0,28.0,28.0,37.0,28.940290478752015
2020-02-14,33.0,23.0,36.0,24.0,27.0,32.0,34.0,29.0,22.0,24.0,31.0,29.0,29.0,19.0,29.0,27.0,40.0,36.0,35.0,38.0,32.1140398063475
2020-02-15,26.0,22.0,34.0,28.0,23.0,30.0,24.0,25.0,29.0,27.0,25.0,22.0,21.0,20.0,37.0,27.0,23.0,23.0,31.0,24.0,28.02582033351264
2020-02-16,37.0,31.0,30.0,38.0,27.0,21.0,32.0,26.0,20.0,35.0,28.0,35.0,27.0,17.0,34.0,27.0,25.0,31.0,34.0,38.0,31.89887036040882
2020-02-17,25.0,23.0,22.0,33.0,29.0,32.0,25.0,17.0,21.0,20.0,19.0,17.0,31.0,15.0,30.0,18.0,23.0,17.0,28.0,29.0,25.49757934373319
2020-02-18,32.0,15.0,22.0,25.0,23.0,28.0,23.0,22.0,11.0,21.0,21.0,22.0,23.0,16.0,17.0,23.0,22.0,22.0,31.0,25.0,23.883808499193115
2020-02-19,33.0,17.0,17.0,19.0,30.0,32.0,25.0,27.0,23.0,30.0,16.0,16.0,22.0,22.0,22.0,19.0,14.0,20.0,26.0,25.0,24.475524475524473
2020-02-20,34.0,16.0,18.0,18.0,18.0,15.0,22.0,20.0,16.0,24.0,22.0,15.0,21.0,13.0,26.0,21.0,20.0,17.0,31.0,25.0,22.1624529316837
2020-02-21,11.0,16.0,18.0,17.0,24.0,25.0,21.0,16.0,18.0,20.0,17.0,20.0,21.0,22.0,24.0,18.0,18.0,18.0,29.0,23.0,21.301775147928993
2020-02-22,19.0,26.0,41.0,21.0,23.0,16.0,24.0,25.0,20.0,19.0,24.0,27.0,18.0,19.0,16.0,11.0,23.0,15.0,33.0,21.0,23.722431414739106
2020-02-23,32.0,31.0,31.0,29.0,28.0,24.0,36.0,29.0,25.0,23.0,25.0,42.0,33.0,30.0,29.0,26.0,28.0,35.0,36.0,28.0,32.2754168908015
2020-02-24,36.0,27.0,33.0,23.0,25.0,30.0,24.0,25.0,27.0,26.0,22.0,21.0,21.0,27.0,27.0,23.0,24.0,31.0,29.0,32.0,28.67132867132867
2020-02-25,27.0,17.0,25.0,33.0,17.0,20.0,20.0,24.0,13.0,25.0,16.0,25.0,16.0,18.0,21.0,24.0,19.0,24.0,32.0,29.0,23.937600860677783
2020-02-26,27.0,25.0,32.0,29.0,26.0,32.0,25.0,32.0,28.0,32.0,23.0,21.0,20.0,28.0,37.0,23.0,18.0,24.0,27.0,36.0,29.3168370091447
2020-02-27,26.0,20.0,39.0,34.0,27.0,33.0,36.0,43.0,25.0,25.0,22.0,38.0,35.0,16.0,14.0,18.0,24.0,41.0,36.0,44.0,32.06024744486283
2020-02-28,34.0,30.0,38.0,46.0,28.0,25.0,38.0,30.0,18.0,33.0,27.0,28.0,28.0,24.0,20.0,32.0,20.0,27.0,28.0,26.0,31.19956966110812
2020-02-29,33.0,42.0,26.0,29.0,21.0,26.0,30.0,38.0,15.0,26.0,33.0,32.0,38.0,26.0,37.0,42.0,28.0,28.0,39.0,35.0,33.56643356643357
2020-03-01,31.0,24.0,44.0,26.0,33.0,38.0,36.0,46.0,22.0,23.0,29.0,31.0,36.0,22.0,28.0,22.0,36.0,42.0,42.0,46.0,35.34158149542765
2020-03-02,28.0,37.0,27.0,33.0,25.0,36.0,35.0,39.0,38.0,34.0,34.0,26.0,40.0,28.0,36.0,28.0,27.0,41.0,36.0,43.0,36.094674556213015
2020-03-03,24.0,31.0,43.0,30.0,34.0,35.0,37.0,34.0,25.0,31.0,32.0,28.0,39.0,32.0,32.0,25.0,30.0,41.0,46.0,44.0,36.20225927918236
2020-03-04,25.0,32.0,41.0,27.0,27.0,32.0,43.0,36.0,18.0,28.0,21.0,28.0,38.0,25.0,26.0,28.0,39.0,44.0,36.0,31.0,33.620225927918234
2020-03-05,25.0,30.0,47.0,27.0,26.0,43.0,34.0,37.0,30.0,32.0,30.0,21.0,27.0,20.0,25.0,26.0,43.0,38.0,35.0,27.0,33.5126412049489
2020-03-06,29.0,24.0,38.0,26.0,27.0,26.0,32.0,29.0,24.0,31.0,26.0,29.0,35.0,21.0,20.0,17.0,29.0,31.0,33.0,34.0,30.17751479289941
2020-03-07,29.0,21.0,31.0,28.0,37.0,39.0,34.0,40.0,22.0,22.0,39.0,32.0,27.0,24.0,28.0,25.0,31.0,26.0,32.0,37.0,32.49058633674018
2020-03-08,37.0,47.0,38.0,38.0,25.0,33.0,33.0,33.0,44.0,33.0,28.0,28.0,41.0,35.0,50.0,39.0,28.0,46.0,33.0,34.0,38.891877353415815
2020-03-09,43.0,38.0,47.0,36.0,27.0,39.0,38.0,33.0,29.0,38.0,29.0,24.0,28.0,27.0,34.0,38.0,34.0,27.0,43.0,36.0,37.00914470145239
2020-03-10,30.0,25.0,36.0,35.0,32.0,41.0,37.0,34.0,27.0,34.0,40.0,39.0,49.0,21.0,30.0,22.0,29.0,38.0,47.0,34.0,36.57880580957504
2020-03-11,30.0,30.0,40.0,35.0,35.0,34.0,36.0,38.0,26.0,38.0,37.0,38.0,47.0,32.0,39.0,37.0,31.0,45.0,50.0,45.0,39.967724583109195
2020-03-12,43.0,45.0,56.0,43.0,34.0,47.0,45.0,44.0,33.0,56.0,33.0,31.0,38.0,45.0,49.0,34.0,39.0,46.0,34.0,50.0,45.45454545454545
2020-03-13,48.0,69.0,66.0,81.0,55.0,66.0,71.0,67.0,51.0,72.0,60.0,62.0,63.0,62.0,75.0,53.0,71.0,67.0,87.0,84.0,71.54384077461
2020-03-14,78.0,79.0,96.0,70.0,64.0,99.0,85.0,88.0,79.0,96.0,70.0,73.0,72.0,73.0,77.0,79.0,68.0,89.0,100.0,86.0,87.19741796664873
2020-03-15,100.0,100.0,97.0,100.0,80.0,89.0,72.0,100.0,100.0,100.0,88.0,100.0,91.0,100.0,95.0,100.0,73.0,85.0,92.0,97.0,100.0
2020-03-16,61.0,80.0,100.0,82.0,82.0,100.0,79.0,83.0,57.0,67.0,93.0,99.0,100.0,60.0,71.0,63.0,100.0,100.0,96.0,100.0,89.99462076385153
2020-03-17,72.0,59.0,94.0,72.0,100.0,97.0,100.0,92.0,59.0,61.0,100.0,73.0,88.0,81.0,77.0,72.0,94.0,89.0,89.0,94.0,89.45669714900484
2020-03-18,77.0,77.0,76.0,71.0,72.0,71.0,92.0,79.0,60.0,88.0,81.0,65.0,87.0,67.0,66.0,70.0,70.0,91.0,93.0,74.0,82.14093598708982
2020-03-19,74.0,79.0,83.0,98.0,70.0,75.0,77.0,95.0,58.0,77.0,62.0,70.0,79.0,80.0,88.0,67.0,79.0,82.0,87.0,94.0,84.66917697686928
2020-03-20,60.0,76.0,73.0,61.0,83.0,65.0,59.0,63.0,64.0,80.0,65.0,54.0,57.0,56.0,76.0,61.0,61.0,72.0,75.0,77.0,71.97417966648737
2020-03-21,85.0,77.0,78.0,80.0,83.0,73.0,75.0,89.0,65.0,74.0,70.0,79.0,74.0,67.0,100.0,77.0,82.0,82.0,100.0,66.0,84.77676169983862
