,/m/0g9pc_0,/m/0g9pc_1,/m/0g9pc_2,/m/0g9pc_3,/m/0g9pc_4,/m/0g9pc_5,/m/0g9pc_6,/m/0g9pc_7,/m/0g9pc_8,/m/0g9pc_9,/m/0g9pc_10,/m/0g9pc_11,/m/0g9pc_12,/m/0g9pc_13,/m/0g9pc_14,/m/0g9pc_15,/m/0g9pc_16,/m/0g9pc_17,/m/0g9pc_18,/m/0g9pc_19,/m/0g9pc
2020-11-14,27.0,30.0,37.0,38.0,23.0,30.0,35.0,33.0,33.0,27.0,27.0,38.0,30.0,30.0,28.0,32.0,26.0,39.0,28.0,37.0,32.02447730749618
2020-11-15,28.0,22.0,35.0,25.0,23.0,37.0,42.0,25.0,42.0,28.0,26.0,37.0,33.0,34.0,30.0,38.0,31.0,29.0,28.0,31.0,31.820499745028048
2020-11-16,39.0,30.0,42.0,34.0,32.0,38.0,25.0,30.0,30.0,40.0,28.0,30.0,17.0,37.0,40.0,31.0,38.0,32.0,25.0,41.0,33.605303416624174
2020-11-17,32.0,21.0,35.0,41.0,29.0,38.0,23.0,30.0,31.0,31.0,25.0,26.0,29.0,29.0,32.0,32.0,23.0,30.0,37.0,29.0,30.74961754207037
2020-11-18,28.0,21.0,28.0,37.0,29.0,32.0,30.0,26.0,29.0,29.0,29.0,33.0,33.0,29.0,33.0,38.0,32.0,28.0,38.0,34.0,31.41254462009179
2020-11-19,19.0,23.0,14.0,34.0,20.0,21.0,20.0,16.0,30.0,26.0,7.0,27.0,17.0,26.0,19.0,28.0,27.0,24.0,21.0,26.0,22.692503824579298
2020-11-20,22.0,26.0,27.0,39.0,26.0,31.0,26.0,15.0,27.0,22.0,19.0,37.0,28.0,15.0,26.0,32.0,22.0,25.0,34.0,21.0,26.517083120856707
2020-11-21,29.0,20.0,27.0,34.0,30.0,26.0,31.0,17.0,33.0,25.0,30.0,32.0,26.0,27.0,21.0,30.0,24.0,25.0,30.0,31.0,27.944926058133607
2020-11-22,29.0,25.0,29.0,30.0,26.0,19.0,30.0,29.0,20.0,22.0,28.0,19.0,19.0,27.0,20.0,24.0,22.0,14.0,18.0,27.0,24.324324324324326
2020-11-23,23.0,29.0,28.0,40.0,23.0,26.0,35.0,26.0,23.0,33.0,28.0,29.0,21.0,21.0,18.0,15.0,33.0,17.0,30.0,40.0,27.434982151963286
