,/m/0b76bty_0,/m/0b76bty_1,/m/0b76bty_2,/m/0b76bty_3,/m/0b76bty_4,/m/0b76bty_5,/m/0b76bty_6,/m/0b76bty_7,/m/0b76bty_8,/m/0b76bty_9,/m/0b76bty_10,/m/0b76bty_11,/m/0b76bty_12,/m/0b76bty_13,/m/0b76bty_14,/m/0b76bty_15,/m/0b76bty_16,/m/0b76bty_17,/m/0b76bty_18,/m/0b76bty_19,/m/0b76bty
2020-10-05,48.0,100.0,0.0,32.0,83.0,34.0,45.0,49.48453608247423,48.484848484848484,100.0,64.0,49.0,79.3103448275862,47.0,43.0,39.0,66.0,0.0,83.0,43.24324324324324,96.95639734258191
2020-10-06,0.0,50.0,0.0,0.0,0.0,35.0,0.0,50.51546391752577,0.0,49.48453608247423,0.0,0.0,81.03448275862068,0.0,0.0,39.0,0.0,0.0,42.0,0.0,31.937806840286957
2020-10-07,0.0,0.0,0.0,0.0,0.0,35.0,46.0,0.0,0.0,49.48453608247423,33.0,25.0,82.75862068965517,0.0,0.0,0.0,70.0,0.0,43.0,44.5945945945946,39.466214308448876
2020-10-08,0.0,0.0,0.0,0.0,0.0,0.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.417470898418068
2020-10-09,26.0,56.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,28.0,87.93103448275862,0.0,47.0,0.0,0.0,0.0,0.0,0.0,30.547826773112302
2020-10-10,0.0,0.0,0.0,0.0,0.0,41.0,56.0,0.0,60.60606060606061,58.76288659793814,38.0,0.0,100.0,57.0,0.0,0.0,0.0,0.0,52.0,0.0,42.64414248967256
2020-10-11,0.0,0.0,54.0,0.0,0.0,76.0,52.0,0.0,54.54545454545455,54.63917525773196,0.0,55.0,0.0,0.0,49.0,0.0,38.0,0.0,0.0,100.0,49.069324700820566
2020-10-12,26.0,0.0,100.0,35.0,92.0,71.0,48.0,0.0,53.03030303030303,0.0,0.0,53.0,86.20689655172414,100.0,0.0,0.0,36.0,35.0,0.0,48.648648648648646,72.14151921334944
2020-10-13,25.0,52.0,49.0,34.0,45.0,0.0,47.0,0.0,0.0,0.0,0.0,25.0,0.0,49.0,45.0,40.0,35.0,0.0,0.0,0.0,41.045667097801214
2020-10-14,25.0,0.0,0.0,0.0,0.0,0.0,46.0,50.51546391752577,0.0,49.48453608247423,33.0,25.0,82.75862068965517,95.0,0.0,0.0,0.0,33.0,0.0,44.5945945945946,44.575338189029054
2020-10-15,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,26.0,86.20689655172414,0.0,46.0,0.0,0.0,35.0,45.0,48.648648648648646,34.13007455082527
2020-10-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,0.0,0.0,0.0,3.497164461247637
