,/m/01b_21_0,/m/01b_21_1,/m/01b_21_2,/m/01b_21_3,/m/01b_21_4,/m/01b_21_5,/m/01b_21_6,/m/01b_21_7,/m/01b_21_8,/m/01b_21_9,/m/01b_21_10,/m/01b_21_11,/m/01b_21_12,/m/01b_21_13,/m/01b_21_14,/m/01b_21_15,/m/01b_21_16,/m/01b_21_17,/m/01b_21_18,/m/01b_21_19,/m/01b_21
2020-10-05,18.0,95.0,26.0,0.0,36.0,43.0,26.0,0.0,0.0,44.0,43.0,19.0,18.0,20.0,57.89473684210526,46.875,0.0,24.0,37.0,33.0,49.845099730438136
2020-10-06,54.0,0.0,82.0,0.0,57.0,66.0,80.0,38.0,21.0,61.0,44.0,0.0,18.0,0.0,57.89473684210526,73.95833333333333,40.0,25.0,19.0,35.0,65.56761680858872
2020-10-07,90.0,48.0,0.0,52.0,56.0,43.0,0.0,75.0,40.0,15.0,86.0,19.0,54.0,19.0,59.21052631578947,48.958333333333336,0.0,49.0,37.0,68.0,72.98494589202251
2020-10-08,0.0,76.0,0.0,37.0,0.0,23.0,56.0,39.0,21.0,16.0,0.0,41.0,0.0,62.0,0.0,26.041666666666668,42.0,26.0,39.0,0.0,42.817489665553275
2020-10-09,20.0,0.0,30.0,20.0,0.0,24.0,0.0,0.0,45.0,0.0,0.0,0.0,20.0,22.0,32.89473684210526,0.0,0.0,28.0,21.0,38.0,25.560500524406805
2020-10-10,65.0,58.0,63.0,43.0,23.0,78.0,31.0,0.0,24.0,18.0,27.0,71.0,22.0,0.0,72.36842105263158,29.166666666666668,73.0,61.0,23.0,84.0,73.52574623181575
2020-10-11,61.0,55.0,30.0,40.0,84.0,50.0,88.0,43.0,45.0,17.0,24.0,22.0,41.0,44.0,100.0,27.083333333333332,45.0,56.0,21.0,19.0,77.47994120682492
2020-10-12,38.0,26.0,57.0,76.0,100.0,23.0,83.0,40.0,0.0,32.0,46.0,42.0,0.0,42.0,63.1578947368421,52.083333333333336,21.0,0.0,61.0,19.0,69.76305754316809
2020-10-13,19.0,26.0,29.0,57.0,60.0,0.0,57.0,20.0,22.0,16.0,24.0,0.0,0.0,42.0,0.0,0.0,44.0,53.0,60.0,37.0,48.08074560774371
2020-10-14,0.0,51.0,28.0,0.0,20.0,46.0,28.0,20.0,0.0,0.0,23.0,21.0,19.0,42.0,0.0,0.0,43.0,0.0,0.0,0.0,28.967375003958665
2020-10-15,57.0,52.0,29.0,95.0,61.0,24.0,84.0,100.0,64.0,16.0,24.0,41.0,57.0,64.0,31.57894736842105,78.125,21.0,26.0,100.0,55.0,91.71902972632114
2020-10-16,40.0,27.0,0.0,100.0,42.0,97.0,58.0,42.0,45.0,17.0,0.0,43.0,20.0,22.0,32.89473684210526,53.125,67.0,55.0,42.0,19.0,69.82919055061782
2020-10-17,44.0,0.0,65.0,22.0,0.0,51.0,32.0,23.0,0.0,37.0,80.0,0.0,65.0,0.0,72.36842105263158,59.375,0.0,30.0,23.0,0.0,51.286985583004366
2020-10-18,0.0,0.0,0.0,21.0,22.0,0.0,0.0,22.0,24.0,36.0,53.0,23.0,22.0,24.0,35.526315789473685,29.166666666666668,0.0,59.0,0.0,0.0,31.489743795140434
2020-10-19,20.0,27.0,0.0,19.0,41.0,24.0,29.0,21.0,44.0,17.0,48.0,43.0,40.0,22.0,0.0,81.25,0.0,27.0,21.0,19.0,46.14817146891655
2020-10-20,19.0,52.0,0.0,0.0,20.0,23.0,0.0,0.0,22.0,0.0,23.0,21.0,0.0,43.0,64.47368421052632,26.041666666666668,0.0,0.0,0.0,37.0,29.775688016140183
2020-10-21,20.0,26.0,0.0,19.0,0.0,24.0,29.0,0.0,22.0,17.0,0.0,0.0,0.0,0.0,31.57894736842105,27.083333333333332,22.0,53.0,0.0,0.0,24.691270629306796
