date,/m/0g9pc_0,/m/0g9pc_1,/m/0g9pc_2,/m/0g9pc_3,/m/0g9pc_4,/m/0g9pc_5,/m/0g9pc_6,/m/0g9pc_7,/m/0g9pc_8,/m/0g9pc_9,/m/0g9pc,batch_id
2020-01-01,2.0,3.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.2022022022022023,0.0
2020-01-02,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0020020020020017,0.0
2020-01-03,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0020020020020017,0.0
2020-01-04,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0020020020020017,0.0
2020-01-05,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.102102102102102,0.0
2020-01-06,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.2022022022022023,0.0
2020-01-07,3.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,2.8028028028028027,0.0
2020-01-08,3.0,3.0,3.0,3.0,4.0,3.0,4.0,3.0,3.0,4.0,3.303303303303303,0.0
2020-01-09,3.0,3.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,3.7037037037037033,0.0
2020-01-10,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,3.803803803803804,0.0
2020-01-11,3.0,3.0,3.0,3.0,4.0,4.0,3.0,3.0,3.0,4.0,3.303303303303303,0.0
2020-01-12,3.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.2022022022022023,0.0
2020-01-13,2.0,2.0,3.0,3.0,2.0,3.0,2.0,2.0,3.0,3.0,2.5025025025025025,0.0
2020-01-14,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,2.9029029029029028,0.0
2020-01-15,2.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.302302302302302,0.0
2020-01-16,3.0,2.0,2.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,2.5025025025025025,0.0
2020-01-17,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,2.8028028028028027,0.0
2020-01-18,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,2.9029029029029028,0.0
2020-01-19,3.0,4.0,3.0,3.0,3.0,2.0,2.0,3.0,3.0,3.0,2.9029029029029028,0.0
2020-01-20,6.0,6.0,6.0,6.0,6.0,6.0,6.0,7.0,6.0,6.0,6.106106106106106,0.0
2020-01-21,8.0,8.0,8.0,8.0,7.0,8.0,8.0,9.0,8.0,7.0,7.907907907907907,0.0
2020-01-22,12.0,11.0,12.0,12.0,11.0,12.0,11.0,12.0,12.0,12.0,11.711711711711711,0.0
2020-01-23,13.0,13.0,14.0,14.0,13.0,14.0,14.0,13.0,14.0,14.0,13.613613613613612,0.0
2020-01-24,18.0,20.0,18.0,19.0,17.0,18.0,19.0,19.0,18.0,18.0,18.418418418418415,0.0
2020-01-25,25.0,24.0,27.0,26.0,27.0,24.0,24.0,26.0,24.0,26.0,25.325325325325323,0.0
2020-01-26,27.0,31.0,29.0,29.0,28.0,27.0,28.0,29.0,27.0,30.0,28.528528528528522,0.0
2020-01-27,29.0,31.0,28.0,31.0,28.0,29.0,30.0,31.0,30.0,29.0,29.629629629629626,0.0
2020-01-28,50.0,51.0,51.0,52.0,55.0,49.0,51.0,50.0,51.0,52.0,51.25125125125125,0.0
2020-01-29,40.0,41.0,39.0,38.0,40.0,40.0,38.0,38.0,37.0,39.0,39.03903903903904,0.0
2020-01-30,35.0,37.0,38.0,36.0,35.0,34.0,35.0,38.0,37.0,35.0,36.03603603603604,0.0
2020-01-31,33.0,32.0,30.0,31.0,32.0,29.0,30.0,32.0,30.0,33.0,31.23123123123123,0.0
2020-02-01,23.0,27.0,24.0,24.0,24.0,23.0,24.0,26.0,26.0,25.0,24.624624624624623,0.0
2020-02-02,20.0,22.0,23.0,23.0,22.0,23.0,21.0,24.0,21.0,20.0,21.92192192192192,0.0
2020-02-03,18.0,20.0,20.0,19.0,21.0,19.0,19.0,20.0,20.0,19.0,19.51951951951952,0.0
2020-02-04,15.0,18.0,17.0,17.0,17.0,17.0,16.0,17.0,16.0,18.0,16.816816816816814,0.0
2020-02-05,16.0,17.0,17.0,16.0,16.0,16.0,17.0,16.0,15.0,17.0,16.316316316316314,0.0
2020-02-06,15.0,16.0,14.0,14.0,15.0,15.0,15.0,14.0,16.0,15.0,14.914914914914913,0.0
2020-02-07,13.0,16.0,14.0,13.0,14.0,14.0,15.0,15.0,14.0,15.0,14.314314314314313,0.0
2020-02-08,13.0,16.0,14.0,15.0,15.0,14.0,14.0,14.0,14.0,14.0,14.314314314314313,0.0
2020-02-09,12.0,12.0,12.0,11.0,12.0,11.0,11.0,11.0,12.0,12.0,11.611611611611615,0.0
2020-02-10,10.0,11.0,11.0,11.0,12.0,10.0,11.0,11.0,11.0,11.0,10.910910910910909,0.0
2020-02-11,11.0,11.0,11.0,11.0,11.0,10.0,10.0,11.0,11.0,11.0,10.810810810810812,0.0
2020-02-12,15.0,14.0,13.0,14.0,15.0,13.0,13.0,14.0,13.0,13.0,13.713713713713712,0.0
2020-02-13,13.0,16.0,16.0,16.0,14.0,16.0,15.0,15.0,14.0,16.0,15.115115115115115,0.0
2020-02-14,12.0,12.0,12.0,12.0,12.0,11.0,12.0,12.0,12.0,10.0,11.711711711711711,0.0
2020-02-15,12.0,13.0,12.0,11.0,11.0,11.0,11.0,12.0,12.0,12.0,11.711711711711711,0.0
2020-02-16,11.0,11.0,12.0,12.0,12.0,12.0,11.0,11.0,11.0,11.0,11.411411411411411,0.0
