,/m/01cpyy_0,/m/01cpyy_1,/m/01cpyy_2,/m/01cpyy_3,/m/01cpyy_4,/m/01cpyy_5,/m/01cpyy_6,/m/01cpyy_7,/m/01cpyy_8,/m/01cpyy_9,/m/01cpyy_10,/m/01cpyy_11,/m/01cpyy_12,/m/01cpyy_13,/m/01cpyy_14,/m/01cpyy_15,/m/01cpyy_16,/m/01cpyy_17,/m/01cpyy_18,/m/01cpyy_19,/m/01cpyy
2020-06-24,65.0,93.0,54.0,36.0,47.0,25.0,62.0,55.0,52.0,30.0,39.0,65.0,34.0,73.0,49.0,48.0,52.0,61.0,65.0,68.0,63.19199057714958
2020-06-25,58.0,47.0,41.0,36.0,37.0,41.0,37.0,28.0,17.0,42.0,24.0,42.0,39.0,30.0,12.0,46.0,40.0,30.0,51.0,47.0,43.87514723203769
2020-06-26,54.0,34.0,46.0,39.0,37.0,20.0,42.0,44.0,45.0,58.0,38.0,58.0,29.0,36.0,29.0,42.0,39.0,48.0,75.0,30.0,49.64664310954063
2020-06-27,41.0,24.0,37.0,21.0,29.0,31.0,25.0,29.0,35.0,37.0,15.0,43.0,25.0,12.0,12.0,33.0,41.0,12.0,53.0,37.0,34.86454652532391
2020-06-28,70.0,43.0,71.0,52.0,47.0,42.0,40.0,47.0,37.0,39.0,40.0,60.0,50.0,51.0,74.0,47.0,38.0,50.0,60.0,39.0,58.716136631330976
2020-06-29,64.0,37.0,38.0,37.0,30.0,9.0,39.0,71.0,42.0,60.0,27.0,49.0,36.0,44.0,28.0,51.0,70.0,33.0,53.0,15.0,49.05771495877502
2020-06-30,65.0,45.0,57.0,43.0,49.0,34.0,64.0,63.0,76.0,56.0,37.0,51.0,56.0,63.0,53.0,45.0,72.0,53.0,62.0,40.0,63.839811542991754
2020-07-01,49.0,31.0,38.0,40.0,17.0,18.0,50.0,30.0,36.0,32.0,43.0,27.0,35.0,60.0,49.0,30.0,26.0,33.0,53.0,38.0,43.28621908127208
2020-07-02,69.0,33.0,46.0,48.0,51.0,48.0,55.0,65.0,33.0,34.0,33.0,40.0,33.0,58.0,76.0,54.0,61.0,70.0,49.0,55.0,59.540636042402824
2020-07-03,40.0,34.0,29.0,35.0,32.0,35.0,37.0,33.0,6.0,29.0,19.0,30.0,34.0,42.0,36.0,32.0,23.0,42.0,45.0,41.0,38.515901060070675
2020-07-04,65.0,37.0,38.0,58.0,49.0,32.0,60.0,77.0,43.0,62.0,31.0,51.0,42.0,39.0,52.0,45.0,25.0,32.0,81.0,38.0,56.36042402826855
2020-07-05,41.0,42.0,91.0,65.0,43.0,42.0,94.0,70.0,70.0,54.0,30.0,48.0,25.0,94.0,68.0,38.0,54.0,73.0,100.0,70.0,71.37809187279152
2020-07-06,45.0,61.0,34.0,43.0,32.0,43.0,47.0,27.0,65.0,34.0,37.0,39.0,28.0,46.0,46.0,53.0,33.0,70.0,61.0,25.0,51.17785630153121
2020-07-07,47.0,64.0,64.0,40.0,37.0,65.0,18.0,39.0,74.0,60.0,43.0,54.0,34.0,25.0,36.0,47.0,29.0,36.0,45.0,57.0,53.82803297997644
