,/m/01cpyy_0,/m/01cpyy_1,/m/01cpyy_2,/m/01cpyy_3,/m/01cpyy_4,/m/01cpyy_5,/m/01cpyy_6,/m/01cpyy_7,/m/01cpyy_8,/m/01cpyy_9,/m/01cpyy_10,/m/01cpyy_11,/m/01cpyy_12,/m/01cpyy_13,/m/01cpyy_14,/m/01cpyy_15,/m/01cpyy_16,/m/01cpyy_17,/m/01cpyy_18,/m/01cpyy_19,/m/01cpyy
2020-01-29,6.0,5.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,5.0,6.0,7.0,6.0,6.0,5.0,5.0,6.0,6.0,5.0,5.7
2020-01-30,7.0,7.0,8.0,7.0,7.0,7.0,8.0,8.0,9.0,7.0,9.0,7.0,7.0,7.0,7.0,8.0,7.0,9.0,7.0,8.0,7.55
2020-01-31,6.0,4.0,7.0,7.0,6.0,7.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,7.0,6.0,7.0,6.0,6.0,6.0,6.0,6.15
2020-02-01,5.0,4.0,5.0,5.0,5.0,6.0,5.0,6.0,4.0,5.0,6.0,6.0,5.0,5.0,5.0,6.0,4.0,6.0,5.0,5.0,5.15
2020-02-02,5.0,4.0,5.0,5.0,4.0,5.0,5.0,4.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,4.7
2020-02-03,3.0,4.0,4.0,3.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,3.8
2020-02-04,3.0,3.0,4.0,3.0,4.0,3.0,3.0,4.0,4.0,4.0,3.0,3.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,4.0,3.4
2020-02-05,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.1
2020-02-06,3.0,3.0,3.0,3.0,4.0,3.0,3.0,4.0,4.0,3.0,3.0,2.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.15
2020-02-07,2.0,4.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,3.0,3.0,4.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,3.0,3.4
2020-02-08,10.0,12.0,11.0,11.0,11.0,11.0,10.0,11.0,11.0,11.0,12.0,12.0,12.0,10.0,13.0,11.0,12.0,10.0,11.0,11.0,11.15
2020-02-09,6.0,7.0,8.0,7.0,7.0,7.0,8.0,7.0,7.0,7.0,7.0,8.0,7.0,8.0,7.0,8.0,8.0,7.0,9.0,8.0,7.4
2020-02-10,7.0,6.0,6.0,6.0,5.0,6.0,7.0,6.0,6.0,7.0,7.0,7.0,8.0,6.0,6.0,7.0,5.0,6.0,6.0,7.0,6.35
2020-02-11,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,6.0,6.0,5.0,5.0,6.0,6.0,6.0,6.0,5.0,6.0,6.0,5.0,5.35
2020-02-12,5.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,5.0,5.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.15
2020-02-13,4.0,4.0,3.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,3.0,4.0,5.0,4.0,5.0,5.0,5.0,4.0,4.0,4.0,4.15
2020-02-14,3.0,3.0,3.0,4.0,3.0,4.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,4.0,4.0,3.0,4.0,3.0,4.0,3.35
2020-02-15,3.0,4.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,4.0,3.0,4.0,4.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.3
2020-02-16,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,4.0,2.0,3.0,3.05
2020-02-17,4.0,2.0,4.0,2.0,4.0,3.0,4.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.1
2020-02-18,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,3.0,2.0,3.0,3.0,2.0,3.0,2.0,3.0,2.6
