,/m/0hn9s_0,/m/0hn9s_1,/m/0hn9s_2,/m/0hn9s_3,/m/0hn9s_4,/m/0hn9s_5,/m/0hn9s_6,/m/0hn9s_7,/m/0hn9s_8,/m/0hn9s_9,/m/0hn9s_10,/m/0hn9s_11,/m/0hn9s_12,/m/0hn9s_13,/m/0hn9s_14,/m/0hn9s_15,/m/0hn9s_16,/m/0hn9s_17,/m/0hn9s_18,/m/0hn9s_19,/m/0hn9s
2020-01-29,17.0,13.0,11.0,14.0,13.0,10.0,4.0,20.0,13.0,20.0,10.0,20.0,0.0,5.0,11.0,20.0,7.0,9.0,13.0,4.0,11.758793969849247
2020-01-30,29.0,13.0,12.0,18.0,14.0,20.0,17.0,12.0,23.0,20.0,5.0,15.0,19.0,20.0,11.0,31.0,21.0,14.0,6.0,9.0,16.532663316582916
2020-01-31,25.0,9.0,12.0,18.0,14.0,14.0,13.0,26.0,5.0,37.0,38.0,16.0,14.0,32.0,34.0,22.0,15.0,15.0,20.0,14.0,19.748743718592962
2020-02-01,13.0,14.0,12.0,8.0,0.0,11.0,5.0,9.0,15.0,11.0,22.0,22.0,15.0,11.0,8.0,17.0,11.0,5.0,14.0,5.0,11.457286432160805
2020-02-02,13.0,10.0,9.0,8.0,5.0,4.0,10.0,9.0,5.0,0.0,11.0,6.0,10.0,11.0,16.0,11.0,8.0,10.0,14.0,10.0,9.045226130653266
2020-02-03,16.0,20.0,18.0,7.0,13.0,12.0,20.0,4.0,21.0,0.0,19.0,14.0,9.0,28.0,16.0,29.0,19.0,21.0,36.0,16.0,16.984924623115575
2020-02-04,12.0,26.0,8.0,14.0,9.0,10.0,21.0,8.0,18.0,15.0,15.0,20.0,23.0,10.0,14.0,10.0,11.0,18.0,13.0,4.0,14.020100502512562
2020-02-05,18.0,14.0,4.0,0.0,14.0,7.0,9.0,12.0,14.0,5.0,10.0,5.0,14.0,15.0,4.0,10.0,14.0,14.0,13.0,13.0,10.50251256281407
2020-02-06,0.0,14.0,4.0,11.0,9.0,3.0,14.0,9.0,5.0,11.0,11.0,11.0,5.0,5.0,15.0,21.0,0.0,9.0,7.0,9.0,8.693467336683417
2020-02-07,19.0,9.0,4.0,4.0,10.0,11.0,19.0,9.0,15.0,22.0,5.0,16.0,0.0,16.0,4.0,5.0,4.0,5.0,7.0,9.0,9.698492462311558
2020-02-08,7.0,0.0,9.0,4.0,10.0,4.0,5.0,9.0,10.0,6.0,12.0,6.0,5.0,6.0,12.0,12.0,0.0,0.0,14.0,10.0,7.085427135678392
2020-02-09,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.8542713567839196
2020-02-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-11,6.0,13.0,8.0,3.0,0.0,10.0,9.0,4.0,9.0,5.0,10.0,5.0,0.0,10.0,7.0,10.0,7.0,5.0,13.0,13.0,7.386934673366834
2020-02-12,6.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,5.0,10.0,0.0,0.0,5.0,0.0,4.0,5.0,7.0,5.0,6.0,5.0,3.1658291457286434
2020-02-13,25.0,14.0,0.0,11.0,14.0,10.0,4.0,9.0,10.0,10.0,16.0,5.0,19.0,11.0,0.0,11.0,15.0,24.0,7.0,0.0,10.804020100502512
2020-02-14,6.0,9.0,4.0,8.0,10.0,0.0,5.0,0.0,15.0,0.0,0.0,0.0,0.0,16.0,8.0,6.0,0.0,10.0,7.0,5.0,5.477386934673367
2020-02-15,0.0,10.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,12.0,11.0,6.0,4.0,0.0,0.0,0.0,8.0,0.0,2.763819095477387
2020-02-16,0.0,5.0,0.0,0.0,5.0,8.0,5.0,5.0,10.0,6.0,12.0,12.0,5.0,12.0,4.0,12.0,0.0,5.0,7.0,10.0,6.180904522613066
2020-02-17,0.0,4.0,0.0,3.0,0.0,3.0,0.0,4.0,9.0,0.0,5.0,0.0,4.0,10.0,4.0,0.0,3.0,4.0,0.0,0.0,2.663316582914573
2020-02-18,6.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,5.0,0.0,5.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,1.2060301507537687
2020-02-19,12.0,9.0,8.0,14.0,13.0,7.0,4.0,4.0,5.0,10.0,10.0,5.0,0.0,5.0,4.0,15.0,4.0,18.0,19.0,18.0,9.246231155778894
2020-02-20,6.0,5.0,0.0,4.0,5.0,7.0,5.0,9.0,14.0,5.0,5.0,11.0,5.0,0.0,0.0,0.0,7.0,10.0,7.0,5.0,5.527638190954774
2020-02-21,6.0,9.0,4.0,4.0,5.0,10.0,9.0,13.0,5.0,10.0,16.0,5.0,9.0,16.0,11.0,0.0,11.0,9.0,7.0,0.0,7.989949748743719
2020-02-22,7.0,0.0,4.0,0.0,5.0,0.0,0.0,0.0,5.0,6.0,0.0,6.0,0.0,0.0,4.0,6.0,0.0,5.0,7.0,0.0,2.763819095477387
2020-02-23,6.0,10.0,13.0,4.0,5.0,15.0,10.0,5.0,0.0,28.0,22.0,11.0,20.0,17.0,8.0,11.0,8.0,0.0,14.0,19.0,11.35678391959799
2020-02-24,46.0,13.0,22.0,14.0,22.0,29.0,42.0,44.0,27.0,30.0,44.0,20.0,36.0,25.0,17.0,40.0,24.0,22.0,25.0,22.0,28.34170854271357
2020-02-25,17.0,33.0,21.0,17.0,12.0,22.0,16.0,12.0,26.0,19.0,33.0,28.0,17.0,29.0,13.0,38.0,20.0,22.0,30.0,16.0,22.160804020100503
2020-02-26,37.0,20.0,27.0,16.0,16.0,18.0,19.0,11.0,17.0,41.0,27.0,36.0,16.0,13.0,12.0,32.0,3.0,8.0,11.0,24.0,20.301507537688444
2020-02-27,43.0,24.0,28.0,29.0,28.0,18.0,20.0,22.0,30.0,14.0,18.0,37.0,29.0,23.0,22.0,41.0,25.0,41.0,47.0,16.0,27.889447236180903
2020-02-28,51.0,38.0,18.0,21.0,35.0,13.0,34.0,12.0,44.0,34.0,54.0,29.0,31.0,25.0,31.0,39.0,24.0,27.0,62.0,34.0,32.96482412060301
2020-02-29,12.0,22.0,23.0,21.0,18.0,13.0,27.0,29.0,28.0,20.0,21.0,21.0,9.0,15.0,14.0,10.0,18.0,28.0,26.0,18.0,19.748743718592962
2020-03-01,47.0,18.0,23.0,14.0,31.0,17.0,47.0,16.0,14.0,35.0,41.0,15.0,32.0,26.0,14.0,62.0,11.0,37.0,51.0,31.0,29.246231155778894
2020-03-02,47.0,39.0,27.0,22.0,41.0,18.0,12.0,30.0,24.0,22.0,28.0,18.0,33.0,23.0,28.0,32.0,13.0,37.0,46.0,39.0,29.09547738693467
2020-03-03,22.0,28.0,21.0,13.0,29.0,21.0,24.0,34.0,17.0,28.0,37.0,33.0,30.0,37.0,33.0,43.0,19.0,21.0,35.0,32.0,27.98994974874372
