date,/m/01b_21_0,/m/01b_21_1,/m/01b_21_2,/m/01b_21_3,/m/01b_21_4,/m/01b_21_5,/m/01b_21_6,/m/01b_21_7,/m/01b_21_8,/m/01b_21_9,/m/01b_21_10,/m/01b_21_11,/m/01b_21_12,/m/01b_21_13,/m/01b_21_14,/m/01b_21_15,/m/01b_21_16,/m/01b_21_17,/m/01b_21_18,/m/01b_21_19,/m/01b_21
2020-02-29,24.0,53.0,29.0,37.0,23.0,18.0,33.0,36.0,69.0,28.0,33.0,31.0,9.0,48.0,41.0,32.0,49.0,9.0,23.0,33.0,36.86274509803921
2020-03-01,15.0,42.0,14.0,19.0,32.0,17.0,41.0,35.0,30.0,19.0,0.0,38.0,27.0,38.0,20.0,31.0,29.0,18.0,38.0,16.0,29.07563025210084
2020-03-02,0.0,19.0,13.0,26.0,22.0,24.0,23.0,16.0,0.0,9.0,15.0,22.0,25.0,9.0,38.0,29.0,9.0,17.0,21.0,8.0,19.327731092436974
2020-03-03,22.0,30.0,0.0,9.0,22.0,33.0,16.0,25.0,28.0,9.0,23.0,22.0,43.0,44.0,29.0,39.0,27.0,35.0,14.0,38.0,28.4593837535014
2020-03-04,29.0,20.0,26.0,26.0,15.0,50.0,23.0,25.0,46.0,43.0,55.0,36.0,34.0,70.0,29.0,59.0,36.0,61.0,36.0,54.0,43.30532212885154
2020-03-05,0.0,10.0,20.0,17.0,44.0,50.0,16.0,50.0,47.0,35.0,31.0,37.0,51.0,9.0,57.0,20.0,27.0,27.0,22.0,47.0,34.56582633053221
2020-03-06,22.0,20.0,20.0,9.0,15.0,8.0,15.0,33.0,18.0,51.0,46.0,36.0,0.0,35.0,38.0,58.0,18.0,26.0,29.0,38.0,29.971988795518207
2020-03-07,16.0,55.0,7.0,19.0,33.0,28.0,17.0,18.0,41.0,29.0,8.0,8.0,28.0,10.0,0.0,22.0,40.0,10.0,8.0,8.0,22.689075630252102
2020-03-08,40.0,54.0,29.0,38.0,41.0,9.0,25.0,36.0,20.0,38.0,34.0,39.0,28.0,29.0,42.0,43.0,20.0,48.0,39.0,25.0,37.92717086834734
2020-03-09,14.0,58.0,19.0,8.0,21.0,8.0,30.0,32.0,18.0,34.0,23.0,29.0,16.0,34.0,18.0,19.0,35.0,25.0,34.0,22.0,27.84313725490196
2020-03-10,21.0,30.0,26.0,17.0,15.0,24.0,23.0,25.0,0.0,9.0,15.0,29.0,8.0,18.0,10.0,19.0,17.0,17.0,22.0,16.0,20.22408963585434
2020-03-11,22.0,40.0,0.0,17.0,8.0,0.0,15.0,8.0,18.0,18.0,8.0,15.0,26.0,18.0,19.0,20.0,9.0,17.0,43.0,39.0,20.168067226890756
2020-03-12,39.0,76.0,35.0,57.0,40.0,27.0,25.0,54.0,60.0,56.0,42.0,39.0,46.0,47.0,62.0,32.0,29.0,57.0,31.0,41.0,50.14005602240896
2020-03-13,60.0,70.0,38.0,52.0,44.0,48.0,82.0,40.0,100.0,83.0,9.0,52.0,50.0,21.0,57.0,45.0,43.0,62.0,51.0,64.0,60.0
2020-03-14,74.0,100.0,85.0,78.0,28.0,63.0,39.0,42.0,81.0,97.0,97.0,100.0,86.0,55.0,85.0,61.0,81.0,66.0,100.0,97.0,84.87394957983193
