date,/m/07mf1_0,/m/07mf1_1,/m/07mf1_2,/m/07mf1_3,/m/07mf1_4,/m/07mf1_5,/m/07mf1_6,/m/07mf1_7,/m/07mf1_8,/m/07mf1_9,/m/07mf1,batch_id
2020-01-01,17.0,13.0,10.0,22.0,20.0,19.0,23.0,25.0,26.0,19.0,19.4,0
2020-01-02,22.0,21.0,18.0,30.0,27.0,27.0,27.0,21.0,22.0,22.0,23.7,0
2020-01-03,23.0,30.0,30.0,22.0,35.0,30.0,26.0,21.0,25.0,14.0,25.6,0
2020-01-04,14.0,18.0,28.0,16.0,29.0,36.0,26.0,18.0,25.0,10.0,22.0,0
2020-01-05,20.0,17.0,10.0,19.0,13.0,23.0,13.0,21.0,19.0,11.0,16.6,0
2020-01-06,10.0,21.0,14.0,20.0,18.0,16.0,10.0,10.0,20.0,11.0,15.0,0
2020-01-07,24.0,25.0,18.0,24.0,20.0,19.0,25.0,23.0,30.0,25.0,23.3,0
2020-01-08,21.0,27.0,20.0,19.0,19.0,22.0,24.0,26.0,13.0,20.0,21.1,0
2020-01-09,26.0,21.0,18.0,18.0,19.0,21.0,23.0,24.0,15.0,21.0,20.6,0
2020-01-10,20.0,16.0,18.0,13.0,9.0,23.0,21.0,16.0,18.0,19.0,17.3,0
2020-01-11,23.0,23.0,14.0,10.0,18.0,21.0,21.0,18.0,19.0,19.0,18.6,0
2020-01-12,16.0,11.0,16.0,17.0,24.0,26.0,20.0,12.0,17.0,16.0,17.5,0
2020-01-13,26.0,24.0,15.0,28.0,21.0,29.0,19.0,24.0,35.0,19.0,24.0,0
2020-01-14,23.0,23.0,13.0,31.0,22.0,24.0,24.0,15.0,27.0,16.0,21.8,0
2020-01-15,18.0,24.0,21.0,20.0,27.0,35.0,16.0,26.0,24.0,16.0,22.7,0
2020-01-16,28.0,32.0,18.0,36.0,26.0,27.0,24.0,26.0,30.0,26.0,27.3,0
2020-01-17,17.0,25.0,21.0,29.0,28.0,38.0,31.0,22.0,25.0,27.0,26.3,0
2020-01-18,25.0,31.0,21.0,27.0,18.0,18.0,21.0,21.0,19.0,12.0,21.3,0
2020-01-19,20.0,20.0,19.0,23.0,21.0,30.0,25.0,21.0,33.0,21.0,23.3,0
2020-01-20,24.0,20.0,23.0,19.0,28.0,23.0,11.0,19.0,22.0,16.0,20.5,0
2020-01-21,23.0,24.0,21.0,30.0,17.0,23.0,19.0,25.0,29.0,21.0,23.2,0
2020-01-22,30.0,25.0,21.0,28.0,25.0,37.0,26.0,30.0,35.0,19.0,27.6,0
2020-01-23,17.0,25.0,22.0,24.0,29.0,27.0,23.0,21.0,32.0,11.0,23.1,0
2020-01-24,20.0,22.0,15.0,26.0,24.0,23.0,18.0,13.0,20.0,23.0,20.4,0
2020-01-25,18.0,25.0,16.0,20.0,26.0,21.0,23.0,14.0,25.0,16.0,20.4,0
2020-01-26,16.0,26.0,17.0,19.0,23.0,23.0,21.0,16.0,27.0,20.0,20.8,0
2020-01-27,27.0,31.0,24.0,24.0,34.0,46.0,32.0,28.0,36.0,22.0,30.4,0
2020-01-28,30.0,20.0,23.0,25.0,29.0,30.0,22.0,29.0,34.0,23.0,26.5,0
2020-01-29,15.0,27.0,18.0,33.0,25.0,28.0,22.0,31.0,36.0,20.0,25.5,0
2020-01-30,24.0,25.0,26.0,27.0,26.0,35.0,19.0,27.0,27.0,36.0,27.2,0
2020-01-31,22.0,28.0,20.0,23.0,18.0,22.0,24.0,24.0,24.0,18.0,22.3,0
2020-02-01,12.0,10.0,11.0,17.0,12.0,16.0,21.0,18.0,22.0,23.0,16.2,0
2020-02-02,22.0,22.0,15.0,19.0,21.0,22.0,19.0,15.0,24.0,16.0,19.5,0
2020-02-03,24.0,20.0,20.0,27.0,25.0,25.0,27.0,17.0,33.0,30.0,24.8,0
2020-02-04,19.0,26.0,14.0,21.0,21.0,35.0,21.0,23.0,28.0,23.0,23.1,0
2020-02-05,24.0,20.0,19.0,22.0,14.0,29.0,30.0,19.0,22.0,20.0,21.9,0
2020-02-06,17.0,19.0,14.0,13.0,13.0,14.0,19.0,15.0,26.0,14.0,16.4,0
2020-02-07,30.0,33.0,28.0,26.0,34.0,35.0,27.0,25.0,33.0,22.0,29.3,0
2020-02-08,19.0,13.0,9.0,12.0,16.0,14.0,20.0,11.0,25.0,12.0,15.1,0
2020-02-09,16.0,26.0,6.0,23.0,25.0,25.0,18.0,15.0,20.0,20.0,19.4,0
2020-02-10,23.0,19.0,14.0,26.0,22.0,35.0,27.0,23.0,24.0,23.0,23.6,0
