date,/g/1213j0cz_0,/g/1213j0cz_1,/g/1213j0cz_2,/g/1213j0cz_3,/g/1213j0cz_4,/g/1213j0cz_5,/g/1213j0cz_6,/g/1213j0cz_7,/g/1213j0cz_8,/g/1213j0cz_9,/g/1213j0cz_10,/g/1213j0cz_11,/g/1213j0cz_12,/g/1213j0cz_13,/g/1213j0cz_14,/g/1213j0cz_15,/g/1213j0cz_16,/g/1213j0cz_17,/g/1213j0cz_18,/g/1213j0cz_19,/g/1213j0cz
2020-10-05,77.0,64.0,67.0,33.0,19.0,22.0,100.0,47.0,48.0,59.0,15.0,31.0,58.0,86.73469387755102,93.0,100.0,61.0,100.0,26.0,39.0,71.98763896546859
2020-10-06,52.0,66.0,23.0,11.0,59.0,22.0,68.0,31.0,74.0,59.0,31.0,31.0,20.0,43.877551020408156,16.0,17.0,16.0,69.0,66.0,60.0,52.456178593868216
2020-10-07,77.0,22.0,46.0,23.0,39.0,0.0,34.0,32.0,0.0,20.0,0.0,16.0,20.0,22.448979591836732,31.0,17.0,0.0,0.0,0.0,39.0,27.54818110710759
2020-10-08,78.0,22.0,45.0,45.0,39.0,33.0,34.0,64.0,50.0,20.0,47.0,63.0,59.0,66.3265306122449,16.0,34.0,16.0,35.0,26.0,99.0,56.00292356418378
2020-10-09,56.0,0.0,49.0,37.0,42.0,24.0,56.0,34.0,27.0,21.0,51.0,34.0,43.0,47.95918367346939,34.0,56.0,68.0,0.0,14.0,42.0,46.24104017336223
2020-10-10,32.0,54.0,29.0,42.0,49.0,14.0,21.0,40.0,31.0,50.0,20.0,20.0,49.0,55.102040816326536,59.0,21.0,20.0,0.0,66.0,0.0,42.228833010629984
2020-10-11,64.0,0.0,28.0,0.0,24.0,14.0,21.0,19.0,60.0,48.0,0.0,19.0,24.0,0.0,38.0,42.0,0.0,0.0,32.0,48.0,30.22170361726955
2020-10-12,0.0,0.0,24.0,0.0,20.0,12.0,0.0,16.0,0.0,21.0,16.0,0.0,0.0,0.0,0.0,18.0,0.0,18.0,0.0,0.0,9.110492774436766
2020-10-13,27.0,22.0,47.0,0.0,0.0,11.0,35.0,33.0,25.0,61.0,16.0,48.0,0.0,22.448979591836732,16.0,35.0,16.0,53.0,41.0,20.0,33.20296972572352
2020-10-14,81.0,23.0,71.0,12.0,60.0,11.0,18.0,0.0,25.0,0.0,32.0,33.0,41.0,22.448979591836732,16.0,36.0,16.0,18.0,0.0,20.0,33.642786618282535
