date,/m/0cjf0,isPartial
2020-02-10,17,False
2020-02-11,25,False
2020-02-12,20,False
2020-02-13,13,False
2020-02-14,18,False
2020-02-15,20,False
2020-02-16,27,False
2020-02-17,17,False
2020-02-18,23,False
2020-02-19,17,False
2020-02-20,18,False
2020-02-21,24,False
2020-02-22,21,False
2020-02-23,28,False
2020-02-24,15,False
2020-02-25,18,False
2020-02-26,22,False
2020-02-27,20,False
2020-02-28,22,False
2020-02-29,26,False
2020-03-01,34,False
2020-03-02,29,False
2020-03-03,23,False
2020-03-04,30,False
2020-03-05,29,False
2020-03-06,36,False
2020-03-07,31,False
2020-03-08,30,False
2020-03-09,29,False
2020-03-10,41,False
2020-03-11,47,False
2020-03-12,70,False
2020-03-13,77,False
2020-03-14,85,False
2020-03-15,92,False
2020-03-16,100,False
2020-03-17,81,False
