,/m/01b_06_0,/m/01b_06_1,/m/01b_06_2,/m/01b_06_3,/m/01b_06_4,/m/01b_06_5,/m/01b_06_6,/m/01b_06_7,/m/01b_06_8,/m/01b_06_9,/m/01b_06_10,/m/01b_06_11,/m/01b_06_12,/m/01b_06_13,/m/01b_06_14,/m/01b_06_15,/m/01b_06_16,/m/01b_06_17,/m/01b_06_18,/m/01b_06_19,/m/01b_06
2020-10-05,84.0,95.0,59.0,100.0,82.0,100.0,68.0,70.0,37.0,76.0,62.0,98.0,92.0,95.0,73.0,86.0,63.0,58.064516129032256,72.0,76.71232876712328,99.4308870804408
2020-10-06,57.0,88.0,54.0,54.0,51.0,50.0,34.0,26.0,88.0,33.0,41.0,40.0,68.0,50.0,21.0,65.0,60.0,78.49462365591398,38.0,46.57534246575342,67.05128303456445
2020-10-07,57.0,59.0,81.0,54.0,63.0,67.0,65.0,51.0,63.0,54.0,54.0,75.0,77.0,39.0,43.0,78.0,36.0,64.51612903225806,33.0,94.52054794520548,77.65577744063089
2020-10-08,72.0,80.0,56.0,74.0,54.0,72.0,86.0,61.0,52.0,28.0,57.0,56.0,71.0,100.0,61.0,74.0,36.0,54.83870967741935,41.0,72.6027397260274,80.89592888971708
2020-10-09,54.0,100.0,74.0,72.0,92.0,69.0,64.0,51.0,71.0,59.0,91.0,66.0,51.0,85.0,75.0,71.0,72.0,70.96774193548387,18.0,93.15068493150685,89.9390152968804
2020-10-10,65.0,37.0,56.0,28.0,58.0,28.0,27.0,30.0,43.0,32.0,46.0,45.0,62.0,52.0,24.0,41.0,20.0,22.580645161290324,25.0,71.23287671232876,52.24979270768503
2020-10-11,80.0,67.0,71.0,38.0,53.0,46.0,62.0,34.0,79.0,29.0,36.0,92.0,73.0,47.0,50.0,53.0,37.0,82.79569892473118,77.0,82.1917808219178,76.43124490054277
2020-10-12,99.0,62.0,58.0,64.0,74.0,60.0,49.0,62.0,47.0,52.0,64.0,78.0,57.0,41.0,45.0,68.0,75.0,68.81720430107526,24.0,82.1917808219178,79.06821524465133
2020-10-13,84.0,66.0,70.0,43.0,71.0,38.0,42.0,85.0,59.0,72.0,71.0,81.0,56.0,39.0,27.0,74.0,55.0,60.215053763440864,39.0,87.67123287671232,78.4175015407853
2020-10-14,76.0,72.0,62.0,86.0,73.0,70.0,82.0,66.0,64.0,90.0,91.0,81.0,85.0,100.0,85.0,66.0,31.0,73.11827956989248,55.0,100.0,96.94581274258078
2020-10-15,65.0,49.0,44.0,59.0,69.0,47.0,31.0,56.0,34.0,36.0,60.0,43.0,59.0,56.0,23.0,86.0,45.0,63.44086021505376,53.0,67.12328767123287,67.21161560368343
2020-10-16,76.0,36.0,67.0,40.0,21.0,56.0,52.0,36.0,21.0,30.0,44.0,44.0,60.0,28.0,41.0,24.0,59.0,49.46236559139785,18.0,52.054794520547944,54.9306123477004
2020-10-17,75.0,37.0,39.0,34.0,7.0,14.0,33.0,23.0,36.0,31.0,23.0,60.0,44.0,30.0,18.0,42.0,41.0,30.107526881720432,32.0,17.80821917808219,42.87109964016308
2020-10-18,81.0,57.0,75.0,53.0,78.0,91.0,32.0,100.0,83.0,66.0,61.0,81.0,94.0,56.0,59.0,95.0,39.0,86.02150537634408,55.0,93.15068493150685,92.25664611307855
2020-10-19,34.0,75.0,77.0,63.0,75.0,79.0,43.0,67.0,60.0,35.0,65.0,69.0,48.0,74.0,100.0,61.0,44.0,48.38709677419355,35.0,73.97260273972603,78.83362955989833
2020-10-20,75.0,40.0,49.0,76.0,53.0,71.0,66.0,73.0,58.0,34.0,49.0,21.0,56.0,53.0,49.0,73.0,55.0,52.68817204301075,68.0,39.726027397260275,71.44463025082536
2020-10-21,76.0,99.0,77.0,69.0,53.0,71.0,55.0,80.0,52.0,73.0,36.0,62.0,57.0,79.0,66.0,82.0,31.0,79.56989247311827,86.0,80.82191780821918,87.70669697390622
2020-10-22,89.0,54.0,51.0,57.0,73.0,99.0,50.0,55.0,47.0,100.0,80.0,79.0,65.0,74.0,50.0,100.0,63.0,61.29032258064516,77.0,98.63013698630137,91.46907261153662
2020-10-23,93.0,43.0,68.0,53.0,42.0,41.0,39.0,56.0,41.0,47.0,38.0,29.0,84.0,21.0,35.0,16.0,69.0,41.935483870967744,43.0,42.465753424657535,60.58003216120029
2020-10-24,62.0,90.0,80.0,39.0,48.0,68.0,100.0,63.0,54.0,46.0,81.0,50.0,92.0,83.0,63.0,86.0,57.0,89.24731182795699,100.0,75.34246575342466,91.70494603203642
2020-10-25,86.0,65.0,69.0,79.0,57.0,70.0,71.0,46.0,50.0,61.0,54.0,33.0,85.0,70.0,37.0,88.0,100.0,25.806451612903224,22.0,91.78082191780823,81.03386811294541
2020-10-26,62.0,77.0,68.0,77.0,64.0,56.0,69.0,66.0,100.0,61.0,90.0,85.0,54.0,70.0,37.0,77.0,48.0,45.16129032258065,61.0,76.71232876712328,86.3877336352695
2020-10-27,85.0,45.0,54.0,59.0,64.0,43.0,52.0,26.0,44.0,27.0,41.0,27.0,31.0,38.0,37.0,57.0,64.0,51.61290322580645,50.0,46.57534246575342,60.56634050024558
2020-10-28,90.0,77.0,61.0,74.0,51.0,44.0,64.0,46.0,44.0,27.0,69.0,94.0,77.0,84.0,32.0,65.0,30.0,64.51612903225806,62.0,38.35616438356164,76.74525358120732
2020-10-29,72.0,57.0,39.0,23.0,38.0,31.0,40.0,57.0,57.0,32.0,41.0,20.0,77.0,25.0,21.0,64.0,63.0,50.53763440860215,33.0,60.273972602739725,57.9065412525673
2020-10-30,71.0,28.0,40.0,43.0,45.0,33.0,50.0,34.0,27.0,39.0,47.0,35.0,74.0,39.0,32.0,61.0,57.0,50.53763440860215,43.0,53.42465753424658,57.980510308845425
2020-10-31,74.0,71.0,62.0,82.0,58.0,35.0,59.0,71.0,53.0,50.0,50.0,48.0,70.0,81.0,51.0,78.0,33.0,59.13978494623656,35.0,98.63013698630137,78.34573867883805
2020-11-01,58.0,64.0,72.0,27.0,57.0,33.0,46.0,52.0,28.0,39.0,68.0,47.0,54.0,57.0,32.0,70.0,48.0,52.68817204301075,50.0,90.41095890410959,67.18172309079682
2020-11-02,71.0,89.0,100.0,72.0,100.0,69.0,85.0,76.0,69.0,76.0,55.0,85.0,91.0,88.0,58.0,86.0,37.0,100.0,50.0,98.63013698630137,100.0
2020-11-03,48.0,59.0,74.0,66.0,35.0,51.0,36.0,59.0,57.0,40.0,44.0,43.0,70.0,47.0,34.0,46.0,72.0,70.96774193548387,45.0,90.41095890410959,69.89956513353204
2020-11-04,80.0,55.0,40.0,31.0,33.0,59.0,59.0,33.0,53.0,47.0,71.0,34.0,33.0,54.0,46.0,80.0,74.0,55.913978494623656,52.0,32.87671232876713,65.74767783843708
