,/m/01cdt5_0,/m/01cdt5_1,/m/01cdt5_2,/m/01cdt5_3,/m/01cdt5_4,/m/01cdt5_5,/m/01cdt5_6,/m/01cdt5_7,/m/01cdt5_8,/m/01cdt5_9,/m/01cdt5_10,/m/01cdt5_11,/m/01cdt5_12,/m/01cdt5_13,/m/01cdt5_14,/m/01cdt5_15,/m/01cdt5_16,/m/01cdt5_17,/m/01cdt5_18,/m/01cdt5_19,/m/01cdt5
2020-11-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-21,0.0,0.0,0.0,0.0,34.0,0.0,57.0,0.0,0.0,47.0,0.0,86.0,0.0,52.0,0.0,83.87096774193549,34.0,51.0,52.0,0.0,41.779911574036404
2020-11-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-24,49.0,80.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,49.0,82.0,49.0,49.0,32.0,80.64516129032258,0.0,0.0,0.0,33.0,50.08544226544063
2020-11-25,49.0,0.0,46.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,82.0,0.0,49.0,32.0,0.0,0.0,48.0,0.0,0.0,33.886673719044126
2020-11-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-28,0.0,82.0,0.0,0.0,0.0,0.0,54.0,0.0,0.0,46.0,0.0,0.0,0.0,50.0,0.0,0.0,33.0,0.0,49.0,0.0,26.4030162475927
2020-11-29,50.0,82.0,0.0,0.0,33.0,0.0,0.0,0.0,0.0,0.0,49.0,0.0,0.0,0.0,33.0,0.0,33.0,50.0,0.0,33.0,30.52323215884124
2020-11-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-12-01,0.0,81.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,83.0,49.0,50.0,0.0,0.0,0.0,49.0,0.0,0.0,30.439146119836174
2020-12-02,49.0,0.0,47.0,0.0,33.0,0.0,53.0,0.0,0.0,0.0,0.0,82.0,0.0,0.0,0.0,0.0,32.0,0.0,50.0,33.0,31.868608782922397
2020-12-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-12-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-12-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-12-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,0.0,50.0,0.0,50.0,50.0,33.0,80.64516129032258,0.0,0.0,0.0,33.0,29.31619063118778
2020-12-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-12-08,0.0,0.0,0.0,50.0,33.0,47.0,0.0,50.0,0.0,0.0,0.0,82.0,0.0,51.0,32.0,0.0,33.0,0.0,0.0,33.0,34.55936203108471
2020-12-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-12-10,51.0,83.0,0.0,0.0,33.0,48.0,0.0,52.0,0.0,0.0,0.0,0.0,0.0,52.0,0.0,0.0,34.0,0.0,0.0,0.0,29.682371768790514
2020-12-11,0.0,0.0,50.0,53.0,0.0,50.0,0.0,0.0,0.0,49.0,0.0,0.0,0.0,53.0,34.0,0.0,0.0,52.0,0.0,35.0,31.61635066590718
2020-12-12,52.0,0.0,0.0,0.0,35.0,0.0,0.0,0.0,52.0,0.0,0.0,0.0,52.0,0.0,0.0,0.0,0.0,0.0,52.0,0.0,20.432907478232565
2020-12-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,86.0,51.0,0.0,0.0,82.25806451612904,0.0,0.0,51.0,35.0,29.956329508774786
2020-12-14,50.0,0.0,0.0,100.0,0.0,46.0,0.0,100.0,0.0,91.0,0.0,82.0,49.0,51.0,0.0,0.0,0.0,50.0,99.0,34.0,63.23270133181436
2020-12-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-12-16,0.0,84.0,49.0,0.0,0.0,0.0,0.0,0.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,82.25806451612904,0.0,0.0,0.0,0.0,22.556758076328425
2020-12-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-12-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-12-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-12-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-12-21,0.0,86.0,100.0,53.0,35.0,100.0,0.0,53.0,54.0,100.0,0.0,0.0,53.0,53.0,0.0,85.48387096774194,0.0,53.0,0.0,36.0,72.43876637643422
2020-12-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-12-23,53.0,88.0,0.0,0.0,0.0,0.0,0.0,54.0,0.0,0.0,0.0,0.0,53.0,0.0,34.0,0.0,0.0,53.0,0.0,36.0,31.19592047088182
