,/m/0g9pc_0,/m/0g9pc_1,/m/0g9pc_2,/m/0g9pc_3,/m/0g9pc_4,/m/0g9pc_5,/m/0g9pc_6,/m/0g9pc_7,/m/0g9pc_8,/m/0g9pc_9,/m/0g9pc_10,/m/0g9pc_11,/m/0g9pc_12,/m/0g9pc_13,/m/0g9pc_14,/m/0g9pc_15,/m/0g9pc_16,/m/0g9pc_17,/m/0g9pc_18,/m/0g9pc_19,/m/0g9pc
2020-11-18,30.0,75.0,49.0,52.0,67.0,46.0,70.0,76.0,60.0,63.0,72.0,48.0,49.0,71.08433734939759,55.0,56.0,55.0,47.0,40.0,51.02040816326531,57.491858711179034
2020-11-19,32.0,34.0,43.0,51.0,40.0,62.0,45.0,61.0,45.0,56.0,51.0,38.0,37.0,91.56626506024097,44.0,32.0,44.0,47.0,59.0,51.02040816326531,48.933978143386575
2020-11-20,31.0,46.0,45.0,54.0,57.0,52.0,47.0,50.0,37.0,55.0,32.0,59.0,42.0,81.92771084337349,23.0,35.0,57.0,46.0,41.0,54.08163265306123,47.99056259802011
2020-11-21,36.0,49.0,22.0,47.0,45.0,36.0,42.0,58.0,32.0,51.0,53.0,33.0,38.0,24.096385542168676,37.0,25.0,39.0,28.0,38.0,37.755102040816325,39.14627598469638
2020-11-22,34.0,58.0,43.0,48.0,47.0,31.0,44.0,57.0,51.0,35.0,36.0,63.0,48.0,56.626506024096386,55.0,46.0,54.0,47.0,36.0,63.265306122448976,48.39085928056978
2020-11-23,24.0,20.0,20.0,24.0,25.0,36.0,45.0,43.0,40.0,36.0,44.0,29.0,34.0,38.55421686746988,25.0,32.0,35.0,40.0,36.0,33.673469387755105,33.5284495589719
2020-11-24,34.0,58.0,51.0,72.0,72.0,65.0,68.0,83.0,43.0,43.0,34.0,29.0,42.0,73.49397590361446,51.0,32.0,53.0,59.0,50.0,61.224489795918366,54.526818803879834
2020-11-25,26.0,55.0,31.0,38.0,44.0,33.0,21.0,48.0,29.0,26.0,37.0,23.0,29.0,38.55421686746988,44.0,28.0,28.0,34.0,31.0,30.612244897959183,34.236304654020195
2020-11-26,24.0,62.0,46.0,59.0,33.0,58.0,45.0,80.0,43.0,33.0,44.0,32.0,45.0,65.06024096385542,40.0,28.0,41.0,44.0,36.0,46.93877551020408,45.958711678503995
2020-11-27,37.0,37.0,28.0,37.0,29.0,46.0,38.0,44.0,41.0,33.0,17.0,23.0,29.0,30.120481927710845,36.0,28.0,34.0,41.0,19.0,23.46938775510204,33.039010758488416
2020-11-28,33.0,50.0,32.0,51.0,46.0,45.0,39.0,40.0,40.0,49.0,31.0,30.0,21.0,19.27710843373494,29.0,28.0,39.0,49.0,29.0,26.53061224489796,36.90959423416943
2020-11-29,32.0,52.0,41.0,68.0,28.0,50.0,42.0,76.0,39.0,53.0,52.0,36.0,32.0,61.44578313253012,32.0,23.0,45.0,34.0,34.0,37.755102040816325,44.08998621475022
2020-11-30,26.0,27.0,37.0,27.0,36.0,35.0,31.0,55.0,49.0,32.0,27.0,31.0,34.0,38.55421686746988,25.0,29.0,34.0,40.0,19.0,36.734693877551024,33.988607190306375
2020-12-01,29.0,54.0,48.0,52.0,65.0,49.0,55.0,70.0,40.0,62.0,61.0,26.0,40.0,73.49397590361446,33.0,33.0,41.0,47.0,31.0,61.224489795918366,49.2961531161657
2020-12-02,19.0,24.0,17.0,21.0,51.0,16.0,24.0,22.0,22.0,20.0,27.0,21.0,27.0,43.373493975903614,40.0,22.0,19.0,25.0,28.0,40.816326530612244,26.873932392340194
2020-12-03,32.0,38.0,32.0,56.0,59.0,37.0,39.0,31.0,36.0,33.0,24.0,27.0,24.0,44.57831325301205,37.0,39.0,38.0,22.0,20.0,37.755102040816325,35.86984426663471
2020-12-04,39.0,43.0,30.0,40.0,57.0,31.0,58.0,50.0,34.0,38.0,50.0,47.0,39.0,68.67469879518072,43.0,28.0,53.0,43.0,35.0,53.06122448979592,44.675771924041264
2020-12-05,18.0,15.0,20.0,24.0,21.0,30.0,24.0,45.0,28.0,23.0,19.0,30.0,15.0,19.27710843373494,29.0,20.0,7.0,21.0,13.0,8.16326530612245,21.808340076118554
