date,/m/0lbt3_0,/m/0lbt3_1,/m/0lbt3_2,/m/0lbt3_3,/m/0lbt3_4,/m/0lbt3_5,/m/0lbt3_6,/m/0lbt3_7,/m/0lbt3_8,/m/0lbt3_9,/m/0lbt3,batch_id
2020-01-01,17.0,13.0,27.0,20.0,22.0,25.0,30.0,22.0,19.0,26.0,23.117154811715483,0
2020-01-02,4.0,14.0,9.0,15.0,11.0,11.0,19.0,5.0,15.0,19.0,12.761506276150628,0
2020-01-03,12.0,18.0,22.0,20.0,18.0,27.0,15.0,20.0,17.0,23.0,20.083682008368203,0
2020-01-04,17.0,15.0,30.0,28.0,18.0,20.0,18.0,23.0,19.0,21.0,21.86192468619247,0
2020-01-05,15.0,18.0,21.0,17.0,23.0,23.0,10.0,17.0,18.0,18.0,18.82845188284519,0
2020-01-06,21.0,20.0,19.0,8.0,17.0,11.0,17.0,15.0,20.0,14.0,16.94560669456067,0
2020-01-07,26.0,10.0,12.0,8.0,24.0,28.0,19.0,20.0,18.0,18.0,19.142259414225943,0
2020-01-08,15.0,20.0,14.0,27.0,22.0,14.0,9.0,18.0,16.0,14.0,17.677824267782427,0
2020-01-09,22.0,22.0,16.0,24.0,22.0,21.0,20.0,14.0,29.0,22.0,22.175732217573223,0
2020-01-10,24.0,29.0,31.0,22.0,30.0,30.0,31.0,26.0,17.0,22.0,27.405857740585777,0
2020-01-11,11.0,7.0,10.0,11.0,15.0,13.0,8.0,17.0,16.0,16.0,12.97071129707113,0
2020-01-12,32.0,23.0,17.0,19.0,26.0,18.0,31.0,13.0,27.0,14.0,23.01255230125523,0
2020-01-13,15.0,16.0,8.0,17.0,12.0,23.0,16.0,11.0,26.0,16.0,16.736401673640167,0
2020-01-14,20.0,15.0,22.0,16.0,12.0,22.0,20.0,23.0,23.0,25.0,20.711297071129707,0
2020-01-15,23.0,14.0,17.0,17.0,20.0,17.0,16.0,23.0,23.0,12.0,19.03765690376569,0
2020-01-16,13.0,10.0,10.0,17.0,19.0,14.0,19.0,15.0,14.0,23.0,16.108786610878663,0
2020-01-17,14.0,12.0,9.0,17.0,10.0,14.0,24.0,12.0,15.0,22.0,15.585774058577407,0
2020-01-18,16.0,20.0,31.0,19.0,24.0,26.0,23.0,24.0,28.0,18.0,23.95397489539749,0
2020-01-19,21.0,21.0,24.0,25.0,29.0,25.0,19.0,7.0,28.0,28.0,23.74476987447699,0
2020-01-20,19.0,19.0,19.0,20.0,13.0,15.0,17.0,15.0,19.0,12.0,17.573221757322177,0
