date,/m/0cjf0,isPartial
2020-01-23,48,False
2020-01-24,44,False
2020-01-25,55,False
2020-01-26,65,False
2020-01-27,62,False
2020-01-28,73,False
2020-01-29,61,False
2020-01-30,58,False
2020-01-31,59,False
2020-02-01,59,False
2020-02-02,82,False
2020-02-03,65,False
2020-02-04,47,False
2020-02-05,71,False
2020-02-06,52,False
2020-02-07,43,False
2020-02-08,43,False
2020-02-09,43,False
2020-02-10,51,False
2020-02-11,50,False
2020-02-12,46,False
2020-02-13,32,False
2020-02-14,54,False
2020-02-15,54,False
2020-02-16,42,False
2020-02-17,56,False
2020-02-18,54,False
2020-02-19,42,False
2020-02-20,52,False
2020-02-21,57,False
2020-02-22,43,False
2020-02-23,56,False
2020-02-24,30,False
2020-02-25,46,False
2020-02-26,59,False
2020-02-27,55,False
2020-02-28,54,False
2020-02-29,60,False
2020-03-01,73,False
2020-03-02,73,False
2020-03-03,74,False
2020-03-04,84,False
2020-03-05,79,False
2020-03-06,66,False
2020-03-07,69,False
2020-03-08,86,False
2020-03-09,84,False
2020-03-10,100,False
