,/m/0g9pc_0,/m/0g9pc_1,/m/0g9pc_2,/m/0g9pc_3,/m/0g9pc_4,/m/0g9pc_5,/m/0g9pc_6,/m/0g9pc_7,/m/0g9pc_8,/m/0g9pc_9,/m/0g9pc_10,/m/0g9pc_11,/m/0g9pc_12,/m/0g9pc_13,/m/0g9pc_14,/m/0g9pc_15,/m/0g9pc_16,/m/0g9pc_17,/m/0g9pc_18,/m/0g9pc_19,/m/0g9pc
2020-11-18,11.0,10.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,14.0,10.0,0.0,0.0,12.76595744680851,0.0,12.0,0.0,12.0,0.0,8.0,6.411958822524027
2020-11-19,34.0,19.0,41.0,52.0,12.0,14.0,34.0,52.0,9.0,74.0,39.0,53.0,31.0,12.76595744680851,28.0,34.0,26.0,47.0,35.0,17.0,41.015763663375445
2020-11-20,34.0,60.0,56.0,11.0,24.0,56.0,34.0,40.0,38.0,92.0,31.0,56.0,32.0,26.595744680851062,29.0,36.0,40.0,24.0,24.0,9.0,46.50477905891324
2020-11-21,0.0,20.0,28.0,11.0,0.0,0.0,0.0,13.0,9.0,15.0,21.0,28.0,11.0,26.595744680851062,19.0,0.0,26.0,0.0,24.0,43.0,18.203810099788328
2020-11-22,23.0,10.0,14.0,21.0,0.0,14.0,11.0,40.0,0.0,30.0,21.0,0.0,10.0,40.42553191489362,20.0,12.0,26.0,49.0,23.0,17.0,23.56924047803737
2020-11-23,0.0,10.0,14.0,11.0,12.0,0.0,11.0,26.0,0.0,15.0,20.0,27.0,10.0,12.76595744680851,10.0,12.0,0.0,12.0,12.0,17.0,14.321399929004352
2020-11-24,11.0,28.0,39.0,10.0,23.0,27.0,33.0,13.0,9.0,0.0,10.0,27.0,10.0,38.297872340425535,56.0,23.0,38.0,47.0,34.0,33.0,31.47079317915884
2020-11-25,11.0,9.0,0.0,20.0,23.0,13.0,11.0,13.0,18.0,28.0,20.0,26.0,10.0,12.76595744680851,9.0,23.0,0.0,35.0,11.0,33.0,20.129895741575844
2020-11-26,45.0,0.0,14.0,10.0,24.0,43.0,34.0,52.0,10.0,60.0,20.0,13.0,21.0,39.361702127659576,10.0,35.0,13.0,24.0,35.0,8.0,31.53652989048264
2020-11-27,11.0,0.0,0.0,0.0,11.0,13.0,0.0,0.0,19.0,29.0,10.0,0.0,10.0,0.0,0.0,12.0,13.0,0.0,0.0,0.0,7.909441106480325
2020-11-28,22.0,9.0,54.0,31.0,46.0,27.0,68.0,40.0,46.0,44.0,10.0,40.0,31.0,38.297872340425535,9.0,11.0,25.0,71.0,34.0,25.0,42.099104665991774
2020-11-29,11.0,10.0,0.0,10.0,12.0,27.0,11.0,39.0,9.0,29.0,30.0,27.0,0.0,0.0,0.0,23.0,0.0,24.0,23.0,8.0,18.10520503280262
2020-11-30,33.0,37.0,27.0,10.0,0.0,40.0,23.0,0.0,28.0,15.0,10.0,13.0,10.0,12.76595744680851,18.0,11.0,25.0,23.0,33.0,16.0,23.775653751594117
2020-12-01,22.0,9.0,27.0,0.0,0.0,14.0,22.0,0.0,9.0,43.0,10.0,27.0,20.0,12.76595744680851,9.0,11.0,25.0,0.0,11.0,0.0,16.79310027477945
2020-12-02,22.0,19.0,27.0,21.0,35.0,54.0,22.0,13.0,27.0,43.0,10.0,26.0,20.0,25.53191489361702,19.0,0.0,0.0,12.0,22.0,0.0,25.800344460367334
2020-12-03,45.0,19.0,41.0,10.0,47.0,14.0,34.0,26.0,47.0,30.0,10.0,13.0,42.0,52.12765957446808,9.0,35.0,52.0,24.0,46.0,25.0,38.38103627351731
2020-12-04,53.0,18.0,13.0,20.0,34.0,13.0,33.0,38.0,9.0,28.0,0.0,13.0,10.0,50.0,27.0,23.0,37.0,46.0,44.0,0.0,31.45238689998817
2020-12-05,34.0,10.0,28.0,21.0,23.0,0.0,12.0,40.0,0.0,45.0,31.0,41.0,21.0,40.42553191489362,10.0,12.0,39.0,48.0,12.0,34.0,30.98434151536267
2020-12-06,22.0,9.0,14.0,0.0,12.0,14.0,11.0,26.0,9.0,15.0,10.0,13.0,10.0,12.76595744680851,19.0,12.0,0.0,12.0,23.0,25.0,16.60772274884632
2020-12-07,33.0,47.0,54.0,31.0,58.0,27.0,56.0,13.0,28.0,29.0,39.0,40.0,20.0,25.53191489361702,74.0,11.0,64.0,12.0,57.0,41.0,46.93338241674446
2020-12-08,44.0,0.0,14.0,21.0,23.0,27.0,11.0,39.0,28.0,0.0,10.0,53.0,10.0,12.76595744680851,19.0,0.0,38.0,23.0,11.0,8.0,24.208201312104762
2020-12-09,11.0,19.0,27.0,10.0,23.0,27.0,11.0,13.0,9.0,29.0,29.0,14.0,10.0,12.76595744680851,19.0,23.0,13.0,36.0,23.0,17.0,23.21952117379472
2020-12-10,34.0,10.0,0.0,21.0,24.0,69.0,23.0,26.0,39.0,30.0,10.0,27.0,32.0,26.595744680851062,48.0,12.0,13.0,12.0,46.0,17.0,32.10712454477328
2020-12-11,70.0,50.0,58.0,21.0,12.0,42.0,58.0,67.0,19.0,91.0,21.0,42.0,32.0,40.42553191489362,29.0,49.0,40.0,50.0,72.0,26.0,54.959834869381154
2020-12-12,81.0,69.0,85.0,99.0,61.0,57.0,46.0,53.0,20.0,92.0,42.0,14.0,75.0,65.95744680851064,29.0,85.0,40.0,50.0,24.0,9.0,67.78375251442921
2020-12-13,12.0,0.0,28.0,21.0,24.0,56.0,47.0,81.0,10.0,30.0,21.0,27.0,0.0,53.191489361702125,29.0,48.0,39.0,24.0,24.0,0.0,35.480732569911
2020-12-14,45.0,47.0,41.0,42.0,23.0,28.0,23.0,51.0,27.0,58.0,29.0,80.0,31.0,25.53191489361702,37.0,35.0,64.0,12.0,46.0,8.0,46.500834856233816
2020-12-15,34.0,29.0,55.0,32.0,59.0,72.0,12.0,95.0,19.0,15.0,21.0,83.0,11.0,53.191489361702125,19.0,60.0,39.0,61.0,0.0,34.0,49.63121704947345
