,/m/0hn9s_0,/m/0hn9s_1,/m/0hn9s_2,/m/0hn9s_3,/m/0hn9s_4,/m/0hn9s_5,/m/0hn9s_6,/m/0hn9s_7,/m/0hn9s_8,/m/0hn9s_9,/m/0hn9s_10,/m/0hn9s_11,/m/0hn9s_12,/m/0hn9s_13,/m/0hn9s_14,/m/0hn9s_15,/m/0hn9s_16,/m/0hn9s_17,/m/0hn9s_18,/m/0hn9s_19,/m/0hn9s
2020-01-29,13.0,15.0,18.0,21.0,20.0,16.0,20.0,3.0,18.0,30.0,14.0,12.0,17.0,18.0,33.0,23.0,17.0,27.0,32.0,12.0,20.289079229122056
2020-01-30,5.0,12.0,11.0,4.0,11.0,8.0,13.0,3.0,12.0,9.0,12.0,9.0,17.0,3.0,15.0,21.0,14.0,18.0,13.0,6.0,11.563169164882225
2020-01-31,8.0,8.0,11.0,7.0,3.0,3.0,14.0,14.0,3.0,9.0,9.0,9.0,9.0,5.0,9.0,11.0,6.0,6.0,10.0,6.0,8.565310492505352
2020-02-01,9.0,8.0,6.0,12.0,3.0,0.0,7.0,7.0,7.0,7.0,6.0,7.0,13.0,6.0,13.0,11.0,6.0,0.0,7.0,7.0,7.601713062098501
2020-02-02,11.0,8.0,9.0,15.0,9.0,17.0,14.0,14.0,13.0,16.0,9.0,16.0,9.0,9.0,10.0,15.0,18.0,7.0,17.0,13.0,13.329764453961456
2020-02-03,7.0,11.0,9.0,10.0,18.0,17.0,12.0,15.0,8.0,11.0,5.0,5.0,5.0,5.0,11.0,12.0,13.0,11.0,9.0,14.0,11.134903640256958
2020-02-04,10.0,12.0,10.0,14.0,17.0,10.0,19.0,13.0,6.0,9.0,14.0,9.0,14.0,8.0,18.0,10.0,6.0,6.0,16.0,3.0,11.991434689507495
2020-02-05,3.0,5.0,5.0,18.0,6.0,8.0,0.0,7.0,9.0,12.0,9.0,0.0,9.0,5.0,12.0,7.0,9.0,12.0,10.0,12.0,8.458244111349035
2020-02-06,5.0,8.0,5.0,15.0,12.0,5.0,10.0,7.0,12.0,3.0,12.0,9.0,9.0,5.0,13.0,0.0,15.0,13.0,10.0,9.0,9.475374732334046
2020-02-07,5.0,8.0,6.0,11.0,9.0,8.0,7.0,0.0,6.0,0.0,6.0,6.0,3.0,6.0,3.0,4.0,9.0,3.0,10.0,6.0,6.209850107066381
2020-02-08,3.0,14.0,3.0,12.0,13.0,3.0,15.0,11.0,10.0,3.0,10.0,7.0,10.0,12.0,7.0,8.0,3.0,3.0,4.0,10.0,8.618843683083513
2020-02-09,3.0,0.0,8.0,11.0,11.0,8.0,3.0,3.0,6.0,6.0,3.0,12.0,0.0,8.0,6.0,7.0,11.0,9.0,6.0,15.0,7.28051391862955
2020-02-10,2.0,0.0,7.0,0.0,5.0,3.0,3.0,9.0,14.0,3.0,5.0,3.0,11.0,2.0,11.0,13.0,3.0,3.0,12.0,9.0,6.316916488222698
2020-02-11,0.0,0.0,5.0,11.0,3.0,3.0,3.0,7.0,3.0,3.0,6.0,3.0,5.0,3.0,0.0,3.0,3.0,3.0,3.0,0.0,3.5867237687366167
2020-02-12,0.0,5.0,0.0,7.0,3.0,3.0,3.0,7.0,3.0,3.0,3.0,3.0,3.0,5.0,3.0,0.0,3.0,6.0,3.0,9.0,3.854389721627409
2020-02-13,10.0,15.0,16.0,18.0,11.0,18.0,13.0,20.0,15.0,21.0,11.0,12.0,0.0,8.0,9.0,3.0,14.0,15.0,19.0,18.0,14.239828693790148
2020-02-14,3.0,7.0,8.0,15.0,3.0,8.0,10.0,17.0,12.0,15.0,3.0,3.0,0.0,11.0,6.0,7.0,0.0,6.0,0.0,13.0,7.869379014989293
2020-02-15,3.0,8.0,3.0,4.0,6.0,3.0,8.0,11.0,3.0,10.0,0.0,10.0,3.0,3.0,0.0,8.0,0.0,3.0,0.0,3.0,4.764453961456103
