,/m/0cjf0_0,/m/0cjf0_1,/m/0cjf0_2,/m/0cjf0_3,/m/0cjf0_4,/m/0cjf0_5,/m/0cjf0_6,/m/0cjf0_7,/m/0cjf0_8,/m/0cjf0_9,/m/0cjf0_10,/m/0cjf0_11,/m/0cjf0_12,/m/0cjf0_13,/m/0cjf0_14,/m/0cjf0_15,/m/0cjf0_16,/m/0cjf0_17,/m/0cjf0_18,/m/0cjf0_19,/m/0cjf0
2020-10-05,0.0,35.714285714285715,0.0,72.82608695652173,14.736842105263158,35.0,49.0,15.0,28.72340425531915,10.0,43.0,35.0,31.46067415730337,36.0,28.72340425531915,28.0,30.232558139534884,33.0,33.333333333333336,0.0,35.938825450927794
2020-10-06,0.0,36.734693877551024,57.0,18.47826086956522,0.0,52.0,37.0,29.0,43.61702127659574,50.0,29.0,51.0,15.730337078651685,37.0,72.34042553191489,14.0,46.51162790697674,49.0,0.0,67.85714285714286,45.34608292006743
2020-10-07,29.0,35.714285714285715,14.0,54.34782608695652,44.21052631578947,85.0,24.0,74.0,28.72340425531915,10.0,43.0,17.0,31.46067415730337,25.0,28.72340425531915,14.0,30.232558139534884,49.0,16.666666666666668,16.666666666666668,43.06529431810926
2020-10-08,49.0,38.775510204081634,47.0,58.69565217391305,80.0,56.0,54.0,32.0,46.808510638297875,22.0,47.0,38.0,50.561797752808985,80.0,61.702127659574465,30.0,50.0,52.0,35.55555555555556,19.047619047619047,60.875829436442274
2020-10-09,52.0,0.0,34.0,20.652173913043477,16.842105263157894,30.0,28.0,17.0,17.02127659574468,0.0,17.0,40.0,17.97752808988764,14.0,17.02127659574468,32.0,36.04651162790697,56.0,0.0,0.0,28.60726674826464
2020-10-10,0.0,44.89795918367347,36.0,22.82608695652174,17.894736842105264,53.0,30.0,19.0,17.02127659574468,25.0,18.0,21.0,38.20224719101124,15.0,35.1063829787234,34.0,0.0,0.0,20.0,21.428571428571427,30.072194595046852
2020-10-11,35.0,0.0,0.0,0.0,16.842105263157894,59.0,0.0,0.0,15.957446808510639,12.0,0.0,39.0,17.97752808988764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.569881033681716
2020-10-12,83.0,100.0,32.0,80.43478260869566,66.3157894736842,28.0,54.0,49.0,62.765957446808514,44.0,49.0,57.0,52.80898876404494,68.0,47.87234042553192,61.0,68.6046511627907,36.0,17.77777777777778,55.95238095238095,71.4944423525829
2020-10-13,66.0,39.795918367346935,16.0,40.21739130434783,0.0,38.0,41.0,66.0,31.914893617021278,33.0,32.0,38.0,35.95505617977528,54.0,47.87234042553192,61.0,51.16279069767442,54.0,72.22222222222223,19.047619047619047,53.751728591589796
2020-10-14,16.0,59.183673469387756,47.0,79.34782608695652,31.57894736842105,37.0,40.0,65.0,15.957446808510639,21.0,78.0,56.0,34.831460674157306,27.0,30.851063829787233,30.0,67.44186046511628,35.0,0.0,75.0,54.32983404457302
