date,/m/01b_21_0,/m/01b_21_1,/m/01b_21_2,/m/01b_21_3,/m/01b_21_4,/m/01b_21_5,/m/01b_21_6,/m/01b_21_7,/m/01b_21_8,/m/01b_21_9,/m/01b_21_10,/m/01b_21_11,/m/01b_21_12,/m/01b_21_13,/m/01b_21_14,/m/01b_21_15,/m/01b_21_16,/m/01b_21_17,/m/01b_21_18,/m/01b_21_19,/m/01b_21
2020-11-05,59.0,68.0,43.0,66.0,31.0,50.0,18.0,78.0,35.0,66.0,42.0,38.0,70.0,73.0,47.0,68.0,40.0,63.0,50.0,55.0,69.32635709614127
2020-11-06,21.0,47.0,13.0,43.0,40.0,51.0,26.0,54.0,36.0,38.0,44.0,24.0,37.0,25.0,28.0,56.0,34.0,58.0,38.0,58.0,50.42511445389143
2020-11-07,42.0,47.0,39.0,52.0,73.0,78.0,32.0,46.0,50.0,53.0,88.0,24.0,44.0,42.0,21.0,40.0,34.0,58.0,30.0,39.0,60.954872465663826
2020-11-08,21.0,16.0,45.0,18.0,41.0,52.0,26.0,92.0,22.0,31.0,63.0,41.0,52.0,17.0,43.0,65.0,43.0,34.0,31.0,59.0,53.106605624591225
2020-11-09,49.0,48.0,27.0,71.0,82.0,70.0,26.0,56.0,15.0,70.0,73.0,24.0,30.0,44.0,21.0,41.0,26.0,76.0,38.0,30.0,59.973839110529745
2020-11-10,43.0,33.0,54.0,63.0,50.0,62.0,33.0,38.0,45.0,71.0,36.0,33.0,38.0,79.0,14.0,41.0,52.0,26.0,55.0,40.0,59.254414650098106
2020-11-11,14.0,23.0,13.0,17.0,16.0,60.0,13.0,18.0,15.0,30.0,43.0,16.0,29.0,34.0,21.0,8.0,25.0,25.0,15.0,29.0,30.34663178548071
2020-11-12,57.0,56.0,20.0,44.0,50.0,98.0,40.0,66.0,51.0,46.0,90.0,41.0,53.0,69.0,43.0,33.0,43.0,68.0,31.0,49.0,68.54153041203399
2020-11-13,21.0,16.0,27.0,62.0,33.0,18.0,20.0,29.0,7.0,8.0,18.0,8.0,15.0,26.0,22.0,16.0,35.0,34.0,23.0,40.0,31.26226291693917
2020-11-14,73.0,50.0,48.0,83.0,26.0,81.0,69.0,67.0,53.0,48.0,37.0,59.0,85.0,18.0,37.0,34.0,54.0,53.0,40.0,61.0,70.37279267495093
2020-11-15,22.0,42.0,48.0,0.0,8.0,27.0,14.0,19.0,15.0,41.0,28.0,17.0,23.0,45.0,30.0,17.0,36.0,44.0,24.0,51.0,36.036625245258335
2020-11-16,22.0,49.0,47.0,36.0,25.0,18.0,20.0,47.0,15.0,16.0,27.0,25.0,38.0,18.0,14.0,8.0,35.0,17.0,23.0,40.0,35.31720078482668
2020-11-17,29.0,33.0,20.0,27.0,17.0,27.0,14.0,9.0,23.0,8.0,45.0,33.0,23.0,18.0,22.0,17.0,9.0,9.0,15.0,0.0,26.030085022890766
2020-11-18,21.0,48.0,7.0,44.0,25.0,26.0,20.0,46.0,37.0,39.0,45.0,49.0,38.0,44.0,36.0,8.0,35.0,25.0,31.0,20.0,42.119032047089604
2020-11-19,14.0,8.0,20.0,71.0,33.0,44.0,27.0,46.0,44.0,39.0,36.0,49.0,15.0,69.0,36.0,33.0,60.0,59.0,38.0,40.0,51.079136690647466
2020-11-20,14.0,16.0,14.0,18.0,34.0,18.0,14.0,28.0,0.0,24.0,9.0,0.0,8.0,27.0,22.0,17.0,27.0,17.0,0.0,0.0,20.078482668410725
2020-11-21,22.0,51.0,21.0,9.0,9.0,46.0,14.0,29.0,15.0,33.0,37.0,9.0,23.0,9.0,7.0,17.0,45.0,26.0,8.0,10.0,28.776978417266182
2020-11-22,45.0,51.0,14.0,56.0,35.0,46.0,42.0,59.0,76.0,65.0,84.0,43.0,55.0,64.0,45.0,77.0,72.0,70.0,24.0,82.0,72.26945716154349
2020-11-23,7.0,33.0,20.0,27.0,25.0,18.0,21.0,57.0,23.0,8.0,36.0,34.0,31.0,27.0,36.0,33.0,26.0,35.0,39.0,61.0,39.045127534336174
2020-11-24,28.0,16.0,26.0,35.0,33.0,35.0,20.0,46.0,15.0,15.0,62.0,8.0,37.0,34.0,7.0,24.0,60.0,17.0,30.0,49.0,39.045127534336174
2020-11-25,21.0,39.0,39.0,0.0,16.0,51.0,6.0,18.0,36.0,23.0,43.0,24.0,36.0,17.0,27.0,23.0,9.0,25.0,22.0,29.0,32.962720732504906
2020-11-26,36.0,16.0,20.0,27.0,17.0,9.0,27.0,28.0,23.0,40.0,18.0,25.0,15.0,9.0,15.0,8.0,27.0,17.0,16.0,30.0,27.665140614780906
2020-11-27,43.0,16.0,33.0,45.0,66.0,44.0,27.0,37.0,59.0,8.0,36.0,25.0,30.0,26.0,29.0,58.0,52.0,60.0,38.0,50.0,51.14453891432309
2020-11-28,7.0,16.0,20.0,27.0,25.0,27.0,13.0,67.0,22.0,24.0,36.0,17.0,15.0,44.0,14.0,17.0,17.0,34.0,31.0,40.0,33.55134074558535
2020-11-29,21.0,32.0,13.0,18.0,41.0,35.0,26.0,18.0,22.0,15.0,27.0,41.0,30.0,52.0,50.0,24.0,26.0,25.0,38.0,39.0,38.78351863963375
2020-11-30,48.0,24.0,32.0,34.0,32.0,35.0,26.0,64.0,29.0,30.0,52.0,24.0,66.0,43.0,35.0,48.0,42.0,16.0,52.0,29.0,49.77109221713538
2020-12-01,35.0,8.0,7.0,35.0,33.0,9.0,13.0,46.0,29.0,23.0,53.0,41.0,22.0,17.0,14.0,24.0,9.0,34.0,15.0,40.0,33.15892740353172
2020-12-02,14.0,16.0,26.0,18.0,16.0,17.0,20.0,18.0,22.0,30.0,9.0,40.0,22.0,9.0,35.0,16.0,26.0,8.0,8.0,29.0,26.095487246566385
2020-12-03,7.0,8.0,27.0,9.0,17.0,9.0,20.0,29.0,15.0,0.0,27.0,25.0,15.0,18.0,22.0,8.0,27.0,26.0,8.0,30.0,22.694571615434928
2020-12-04,21.0,47.0,6.0,26.0,48.0,43.0,0.0,28.0,29.0,0.0,44.0,16.0,29.0,17.0,28.0,47.0,25.0,41.0,30.0,39.0,36.886854153041206
2020-12-05,30.0,34.0,21.0,38.0,61.0,37.0,35.0,19.0,31.0,41.0,47.0,26.0,16.0,37.0,23.0,34.0,55.0,53.0,40.0,31.0,46.370176586003936
2020-12-06,22.0,33.0,41.0,9.0,26.0,27.0,34.0,19.0,0.0,8.0,37.0,8.0,23.0,0.0,30.0,25.0,27.0,18.0,24.0,21.0,28.25376062786135
2020-12-07,22.0,41.0,20.0,27.0,25.0,27.0,20.0,28.0,30.0,40.0,46.0,25.0,15.0,18.0,15.0,25.0,35.0,34.0,16.0,41.0,35.97122302158273
2020-12-08,29.0,49.0,13.0,27.0,25.0,45.0,20.0,47.0,22.0,16.0,27.0,16.0,30.0,44.0,15.0,33.0,26.0,43.0,16.0,40.0,38.129496402877706
2020-12-09,14.0,0.0,20.0,9.0,17.0,44.0,7.0,47.0,30.0,31.0,9.0,25.0,23.0,26.0,22.0,25.0,9.0,34.0,16.0,10.0,27.33812949640288
2020-12-10,22.0,25.0,70.0,9.0,26.0,9.0,7.0,10.0,8.0,16.0,9.0,9.0,16.0,9.0,0.0,0.0,27.0,18.0,16.0,21.0,21.386527141922823
2020-12-11,30.0,60.0,0.0,37.0,61.0,47.0,35.0,78.0,39.0,49.0,47.0,17.0,63.0,54.0,38.0,17.0,36.0,71.0,48.0,62.0,58.14257684761282
2020-12-12,30.0,34.0,35.0,47.0,43.0,36.0,41.0,48.0,31.0,24.0,28.0,26.0,23.0,9.0,8.0,25.0,18.0,53.0,24.0,52.0,41.530412034009146
2020-12-13,15.0,35.0,29.0,78.0,45.0,57.0,29.0,40.0,24.0,34.0,68.0,18.0,16.0,38.0,39.0,53.0,38.0,64.0,42.0,32.0,51.929365598430344
2020-12-14,22.0,33.0,28.0,18.0,25.0,46.0,20.0,19.0,38.0,47.0,46.0,25.0,31.0,36.0,37.0,25.0,53.0,43.0,24.0,30.0,42.249836494440814
2020-12-15,59.0,8.0,28.0,47.0,26.0,37.0,21.0,29.0,39.0,41.0,19.0,60.0,55.0,36.0,8.0,51.0,36.0,35.0,32.0,31.0,45.65075212557227
2020-12-16,30.0,26.0,21.0,48.0,61.0,28.0,21.0,40.0,0.0,16.0,48.0,44.0,16.0,37.0,15.0,26.0,28.0,36.0,0.0,32.0,37.47547416612165
2020-12-17,39.0,35.0,36.0,19.0,27.0,38.0,29.0,31.0,32.0,25.0,20.0,36.0,33.0,38.0,31.0,26.0,9.0,46.0,33.0,33.0,40.28776978417265
2020-12-18,65.0,56.0,31.0,31.0,29.0,30.0,23.0,21.0,51.0,45.0,20.0,37.0,43.0,30.0,25.0,46.0,50.0,29.0,70.0,34.0,50.0981033355134
2020-12-19,25.0,29.0,39.0,31.0,48.0,42.0,23.0,55.0,44.0,9.0,21.0,58.0,45.0,41.0,42.0,29.0,20.0,20.0,45.0,23.0,45.062132112491824
2020-12-20,56.0,100.0,30.0,40.0,37.0,39.0,37.0,31.0,66.0,35.0,71.0,46.0,42.0,58.0,65.0,100.0,29.0,47.0,78.0,33.0,68.01831262262918
2020-12-21,16.0,44.0,51.0,30.0,45.0,68.0,29.0,62.0,24.0,43.0,69.0,45.0,49.0,67.0,24.0,18.0,10.0,9.0,34.0,44.0,51.079136690647466
2020-12-22,16.0,37.0,67.0,51.0,28.0,30.0,38.0,75.0,25.0,35.0,21.0,47.0,26.0,40.0,41.0,28.0,50.0,58.0,26.0,45.0,51.2753433616743
