,/m/0cjf0_0,/m/0cjf0_1,/m/0cjf0_2,/m/0cjf0_3,/m/0cjf0_4,/m/0cjf0_5,/m/0cjf0_6,/m/0cjf0_7,/m/0cjf0_8,/m/0cjf0_9,/m/0cjf0_10,/m/0cjf0_11,/m/0cjf0_12,/m/0cjf0_13,/m/0cjf0_14,/m/0cjf0_15,/m/0cjf0_16,/m/0cjf0_17,/m/0cjf0_18,/m/0cjf0_19,/m/0cjf0
2020-10-05,19.0,52.0,52.0,93.0,82.0,35.0,23.0,64.0,71.0,24.0,66.0,93.0,28.0,70.0,56.0,100.0,0.0,75.0,51.0,72.0,85.36770280515542
2020-10-06,0.0,17.0,27.0,24.0,27.0,17.0,0.0,0.0,48.0,24.0,22.0,32.0,28.0,0.0,19.0,0.0,0.0,19.0,17.0,24.0,26.156178923426836
2020-10-07,0.0,0.0,27.0,0.0,0.0,17.0,0.0,42.0,0.0,24.0,22.0,0.0,0.0,0.0,38.0,20.0,22.0,0.0,17.0,25.0,19.257012888551934
2020-10-08,59.0,37.0,28.0,74.0,29.0,36.0,76.0,45.0,25.0,62.0,92.0,99.0,87.0,49.0,40.0,42.0,68.0,20.0,36.0,0.0,76.11827141774071
2020-10-09,21.0,20.0,59.0,26.0,30.0,19.0,26.0,24.0,27.0,40.0,24.0,0.0,31.0,26.0,21.0,22.0,48.0,21.0,0.0,27.0,38.81728582259287
2020-10-10,22.0,61.0,0.0,55.0,31.0,40.0,0.0,25.0,0.0,54.0,25.0,36.0,99.0,55.0,43.0,23.0,25.0,43.0,19.0,28.0,51.85746777862017
2020-10-11,39.0,37.0,56.0,51.0,86.0,54.0,26.0,46.0,50.0,24.0,70.0,0.0,60.0,25.0,0.0,42.0,69.0,20.0,36.0,0.0,59.96967399545109
2020-10-12,20.0,56.0,58.0,76.0,0.0,18.0,25.0,46.0,52.0,51.0,91.0,100.0,30.0,25.0,20.0,64.0,46.0,20.0,73.0,77.0,71.87263078089461
2020-10-13,0.0,36.0,56.0,0.0,84.0,53.0,74.0,43.0,100.0,37.0,45.0,64.0,29.0,24.0,77.0,83.0,68.0,39.0,52.0,100.0,80.66717210007582
2020-10-14,0.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,19.0,0.0,0.0,19.0,0.0,0.0,7.505686125852918
2020-10-15,0.0,0.0,29.0,26.0,0.0,0.0,26.0,23.0,26.0,53.0,48.0,67.0,93.0,78.0,42.0,22.0,24.0,21.0,0.0,0.0,43.821076573161484
2020-10-16,0.0,0.0,30.0,26.0,0.0,19.0,27.0,0.0,0.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,13.87414708112206
2020-10-17,22.0,100.0,31.0,53.0,63.0,80.0,55.0,0.0,28.0,82.0,100.0,71.0,32.0,27.0,0.0,47.0,100.0,65.0,39.0,56.0,79.68157695223654
2020-10-18,21.0,39.0,30.0,0.0,31.0,0.0,26.0,0.0,27.0,53.0,24.0,70.0,32.0,0.0,21.0,0.0,24.0,0.0,19.0,0.0,31.61485974222896
2020-10-19,0.0,19.0,28.0,0.0,29.0,0.0,25.0,22.0,25.0,25.0,0.0,32.0,60.0,0.0,20.0,0.0,23.0,0.0,0.0,26.0,25.32221379833207
2020-10-20,0.0,18.0,28.0,25.0,28.0,18.0,50.0,0.0,0.0,100.0,22.0,65.0,29.0,0.0,0.0,20.0,0.0,0.0,0.0,25.0,32.44882486732373
2020-10-21,19.0,18.0,28.0,25.0,57.0,18.0,50.0,0.0,0.0,37.0,23.0,33.0,60.0,48.0,0.0,62.0,45.0,19.0,52.0,51.0,48.900682335102346
2020-10-22,100.0,19.0,58.0,100.0,57.0,37.0,77.0,91.0,51.0,26.0,70.0,67.0,30.0,75.0,100.0,65.0,46.0,100.0,72.0,78.0,100.0
2020-10-23,0.0,19.0,0.0,0.0,30.0,0.0,53.0,0.0,0.0,64.0,0.0,0.0,62.0,0.0,0.0,0.0,48.0,0.0,0.0,27.0,22.971948445792265
2020-10-24,20.0,19.0,0.0,26.0,59.0,0.0,26.0,23.0,0.0,50.0,47.0,0.0,0.0,26.0,20.0,0.0,0.0,40.0,0.0,26.0,28.961334344200154
2020-10-25,75.0,18.0,55.0,24.0,82.0,0.0,97.0,43.0,96.0,73.0,65.0,62.0,57.0,94.0,57.0,41.0,88.0,93.0,68.0,72.0,95.52691432903714
2020-10-26,0.0,0.0,27.0,71.0,55.0,0.0,47.0,44.0,24.0,48.0,45.0,62.0,86.0,0.0,38.0,0.0,22.0,75.0,17.0,72.0,55.5724033358605
2020-10-27,19.0,18.0,0.0,0.0,55.0,0.0,0.0,21.0,48.0,24.0,44.0,31.0,0.0,0.0,38.0,40.0,21.0,19.0,17.0,24.0,31.766489764973464
2020-10-28,19.0,0.0,54.0,0.0,28.0,18.0,0.0,0.0,49.0,24.0,0.0,32.0,29.0,24.0,19.0,0.0,0.0,0.0,0.0,24.0,24.260803639120546
2020-10-29,0.0,17.0,0.0,23.0,0.0,0.0,24.0,21.0,0.0,24.0,22.0,31.0,28.0,23.0,19.0,0.0,21.0,18.0,17.0,48.0,25.47384382107657
2020-10-30,81.0,30.0,46.0,42.0,48.0,15.0,62.0,38.0,42.0,32.0,19.0,55.0,100.0,41.0,17.0,52.0,57.0,33.0,0.0,84.0,67.77862016679302
2020-10-31,17.0,48.0,49.0,44.0,25.0,16.0,22.0,0.0,0.0,44.0,81.0,29.0,78.0,21.0,50.0,36.0,40.0,35.0,46.0,44.0,54.965883244882484
2020-11-01,67.0,32.0,48.0,42.0,73.0,31.0,21.0,39.0,65.0,22.0,40.0,56.0,75.0,63.0,50.0,71.0,39.0,34.0,46.0,43.0,72.55496588324488
2020-11-02,17.0,0.0,25.0,22.0,25.0,0.0,22.0,20.0,67.0,55.0,39.0,29.0,26.0,22.0,17.0,37.0,40.0,17.0,0.0,22.0,38.05913570887036
2020-11-03,17.0,97.0,74.0,87.0,51.0,0.0,42.0,20.0,65.0,33.0,61.0,87.0,51.0,65.0,52.0,73.0,99.0,52.0,46.0,44.0,84.6095526914329
2020-11-04,32.0,0.0,0.0,40.0,24.0,0.0,40.0,18.0,20.0,21.0,19.0,0.0,24.0,40.0,16.0,52.0,37.0,33.0,14.0,21.0,34.19257012888552
2020-11-05,17.0,15.0,0.0,21.0,25.0,0.0,0.0,19.0,0.0,0.0,0.0,28.0,25.0,21.0,16.0,0.0,0.0,0.0,0.0,21.0,15.769522365428355
2020-11-06,17.0,0.0,0.0,21.0,0.0,0.0,22.0,20.0,0.0,66.0,0.0,0.0,0.0,22.0,17.0,0.0,0.0,0.0,0.0,0.0,14.025777103866565
