,/m/0hn9s_0,/m/0hn9s_1,/m/0hn9s_2,/m/0hn9s_3,/m/0hn9s_4,/m/0hn9s_5,/m/0hn9s_6,/m/0hn9s_7,/m/0hn9s_8,/m/0hn9s_9,/m/0hn9s_10,/m/0hn9s_11,/m/0hn9s_12,/m/0hn9s_13,/m/0hn9s_14,/m/0hn9s_15,/m/0hn9s_16,/m/0hn9s_17,/m/0hn9s_18,/m/0hn9s_19,/m/0hn9s
2020-01-29,9.0,0.0,7.0,11.0,0.0,0.0,0.0,17.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,9.0,0.0,17.0,8.0,8.0,6.144200626959249
2020-01-30,9.0,17.0,15.0,23.0,27.0,0.0,18.0,18.0,7.0,9.0,9.0,0.0,23.0,10.0,0.0,0.0,18.0,18.0,16.0,8.0,15.360501567398119
2020-01-31,9.0,8.0,8.0,12.0,0.0,18.0,9.0,37.0,7.0,18.0,17.0,36.0,12.0,19.0,8.0,20.0,9.0,9.0,0.0,26.0,17.68025078369906
2020-02-01,9.0,9.0,0.0,0.0,10.0,19.0,9.0,9.0,14.0,10.0,18.0,0.0,12.0,0.0,0.0,10.0,0.0,0.0,0.0,9.0,8.652037617554859
2020-02-02,9.0,16.0,8.0,0.0,9.0,9.0,0.0,9.0,7.0,9.0,9.0,0.0,12.0,0.0,0.0,10.0,0.0,9.0,8.0,8.0,8.275862068965518
2020-02-03,8.0,7.0,14.0,0.0,16.0,16.0,0.0,24.0,6.0,8.0,12.0,24.0,11.0,25.0,7.0,0.0,8.0,16.0,7.0,15.0,14.043887147335424
2020-02-04,0.0,8.0,8.0,12.0,0.0,0.0,9.0,0.0,7.0,9.0,8.0,9.0,12.0,0.0,0.0,10.0,0.0,18.0,0.0,17.0,7.962382445141066
2020-02-05,9.0,16.0,8.0,24.0,17.0,9.0,18.0,27.0,13.0,27.0,26.0,9.0,12.0,9.0,15.0,0.0,9.0,9.0,16.0,8.0,17.61755485893417
2020-02-06,9.0,9.0,8.0,0.0,28.0,10.0,28.0,28.0,20.0,19.0,9.0,18.0,12.0,10.0,24.0,20.0,27.0,0.0,8.0,18.0,19.122257053291538
2020-02-07,9.0,9.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,19.0,9.0,9.0,0.0,10.0,8.0,0.0,18.0,0.0,8.0,9.0,7.523510971786834
2020-02-08,9.0,0.0,8.0,0.0,9.0,0.0,0.0,9.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7586206896551726
2020-02-09,9.0,8.0,0.0,12.0,9.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,10.0,9.0,0.0,0.0,8.0,4.639498432601881
2020-02-10,8.0,8.0,0.0,11.0,8.0,0.0,8.0,8.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,8.0,0.0,8.0,0.0,5.141065830721002
2020-02-11,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,8.0,10.0,8.0,0.0,8.0,0.0,3.260188087774295
2020-02-12,26.0,16.0,7.0,23.0,0.0,26.0,9.0,26.0,33.0,17.0,8.0,36.0,45.0,28.0,23.0,29.0,17.0,8.0,23.0,24.0,26.58307210031348
2020-02-13,0.0,8.0,7.0,0.0,0.0,0.0,0.0,0.0,6.0,8.0,8.0,0.0,11.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,3.573667711598746
2020-02-14,0.0,25.0,0.0,0.0,9.0,18.0,18.0,0.0,20.0,9.0,9.0,9.0,12.0,0.0,16.0,19.0,9.0,9.0,8.0,17.0,12.978056426332289
2020-02-15,10.0,9.0,8.0,0.0,0.0,9.0,0.0,10.0,0.0,0.0,9.0,0.0,13.0,10.0,0.0,0.0,0.0,0.0,17.0,9.0,6.52037617554859
2020-02-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5015673981191222
2020-02-17,0.0,8.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,9.0,0.0,0.0,0.0,8.0,0.0,0.0,2.5078369905956115
2020-02-18,0.0,15.0,7.0,22.0,8.0,17.0,0.0,8.0,0.0,8.0,8.0,0.0,0.0,18.0,7.0,9.0,0.0,8.0,7.0,8.0,9.404388714733543
2020-02-19,0.0,0.0,7.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,16.0,8.0,11.0,0.0,7.0,9.0,0.0,8.0,7.0,0.0,5.078369905956113
2020-02-20,9.0,8.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,11.0,0.0,8.0,0.0,0.0,0.0,8.0,0.0,3.824451410658307
2020-02-21,9.0,0.0,16.0,12.0,0.0,9.0,0.0,0.0,0.0,9.0,18.0,0.0,12.0,0.0,0.0,10.0,0.0,0.0,0.0,9.0,6.52037617554859
2020-02-22,30.0,18.0,8.0,25.0,20.0,10.0,10.0,30.0,15.0,10.0,19.0,10.0,0.0,0.0,17.0,21.0,20.0,10.0,18.0,18.0,19.3730407523511
2020-02-23,19.0,9.0,16.0,12.0,19.0,19.0,19.0,9.0,7.0,18.0,18.0,9.0,25.0,20.0,0.0,10.0,0.0,9.0,17.0,26.0,17.61755485893417
2020-02-24,9.0,8.0,7.0,23.0,17.0,0.0,9.0,9.0,13.0,0.0,8.0,0.0,23.0,9.0,15.0,0.0,34.0,0.0,8.0,16.0,13.04075235109718
2020-02-25,0.0,8.0,15.0,0.0,0.0,18.0,0.0,0.0,6.0,0.0,32.0,0.0,0.0,0.0,0.0,9.0,0.0,26.0,8.0,0.0,7.648902821316614
2020-02-26,25.0,23.0,14.0,33.0,42.0,26.0,25.0,25.0,6.0,17.0,20.0,34.0,11.0,18.0,0.0,19.0,8.0,8.0,7.0,24.0,24.137931034482758
2020-02-27,42.0,23.0,14.0,22.0,34.0,17.0,43.0,43.0,31.0,17.0,33.0,0.0,44.0,46.0,22.0,37.0,0.0,8.0,23.0,32.0,33.291536050156736
2020-02-28,26.0,32.0,23.0,71.0,26.0,27.0,44.0,26.0,20.0,27.0,21.0,61.0,12.0,19.0,45.0,58.0,62.0,9.0,23.0,41.0,42.19435736677116
2020-02-29,37.0,34.0,24.0,49.0,28.0,10.0,28.0,9.0,28.0,29.0,22.0,28.0,37.0,29.0,16.0,10.0,46.0,19.0,50.0,18.0,34.54545454545455
2020-03-01,9.0,17.0,8.0,35.0,18.0,27.0,45.0,63.0,7.0,9.0,22.0,27.0,58.0,10.0,31.0,39.0,27.0,36.0,24.0,9.0,32.66457680250784
