date,/m/01b_21_0,/m/01b_21_1,/m/01b_21_2,/m/01b_21_3,/m/01b_21_4,/m/01b_21_5,/m/01b_21_6,/m/01b_21_7,/m/01b_21_8,/m/01b_21_9,/m/01b_21_10,/m/01b_21_11,/m/01b_21_12,/m/01b_21_13,/m/01b_21_14,/m/01b_21_15,/m/01b_21_16,/m/01b_21_17,/m/01b_21_18,/m/01b_21_19,/m/01b_21
2020-11-05,55.0,49.0,35.0,65.0,31.0,53.0,48.0,42.0,45.0,24.0,56.0,33.0,52.0,62.0,44.0,50.0,41.0,53.0,59.0,31.0,53.02857142857143
2020-11-06,35.0,39.0,56.0,35.0,51.0,39.0,44.0,50.0,47.0,45.0,37.0,53.0,50.0,60.0,23.0,35.0,34.0,16.0,50.0,37.0,47.771428571428565
2020-11-07,39.0,50.0,56.0,32.0,22.0,31.0,14.0,31.0,23.0,39.0,24.0,26.0,11.0,26.0,39.0,46.0,5.0,29.0,35.0,30.0,34.74285714285714
2020-11-08,39.0,51.0,62.0,44.0,65.0,25.0,35.0,62.0,52.0,45.0,36.0,64.0,61.0,53.0,59.0,65.0,54.0,64.0,56.0,60.0,60.11428571428571
2020-11-09,30.0,28.0,50.0,30.0,39.0,34.0,45.0,17.0,42.0,26.0,16.0,41.0,45.0,36.0,41.0,24.0,25.0,16.0,57.0,21.0,37.885714285714286
2020-11-10,59.0,46.0,56.0,29.0,46.0,56.0,44.0,44.0,37.0,61.0,49.0,29.0,30.0,53.0,53.0,41.0,39.0,21.0,63.0,38.0,51.085714285714296
2020-11-11,24.0,24.0,26.0,36.0,40.0,29.0,39.0,23.0,27.0,16.0,28.0,49.0,21.0,24.0,37.0,31.0,20.0,22.0,39.0,22.0,32.97142857142857
2020-11-12,65.0,58.0,88.0,50.0,47.0,51.0,78.0,57.0,53.0,41.0,55.0,42.0,71.0,90.0,24.0,78.0,25.0,68.0,83.0,27.0,65.77142857142857
2020-11-13,18.0,23.0,38.0,25.0,53.0,23.0,26.0,6.0,21.0,26.0,22.0,29.0,15.0,42.0,49.0,42.0,25.0,43.0,38.0,33.0,34.114285714285714
2020-11-14,47.0,32.0,56.0,44.0,51.0,25.0,43.0,25.0,30.0,29.0,48.0,39.0,40.0,27.0,46.0,46.0,28.0,35.0,49.0,42.0,44.68571428571428
2020-11-15,44.0,18.0,59.0,31.0,20.0,35.0,33.0,41.0,33.0,21.0,39.0,43.0,32.0,43.0,25.0,25.0,26.0,22.0,26.0,28.0,36.8
2020-11-16,52.0,45.0,43.0,59.0,45.0,45.0,56.0,49.0,42.0,30.0,54.0,63.0,40.0,53.0,47.0,58.0,39.0,46.0,62.0,43.0,55.485714285714295
2020-11-17,24.0,17.0,37.0,25.0,52.0,34.0,31.0,50.0,10.0,26.0,27.0,23.0,25.0,30.0,12.0,18.0,24.0,32.0,38.0,22.0,31.82857142857143
2020-11-18,48.0,52.0,38.0,45.0,60.0,34.0,57.0,23.0,32.0,46.0,44.0,66.0,30.0,36.0,48.0,66.0,30.0,64.0,25.0,22.0,49.485714285714295
2020-11-19,47.0,63.0,31.0,39.0,26.0,50.0,57.0,22.0,10.0,30.0,27.0,29.0,25.0,24.0,23.0,24.0,24.0,36.0,43.0,11.0,36.628571428571426
2020-11-20,25.0,36.0,52.0,26.0,21.0,35.0,40.0,41.0,28.0,37.0,51.0,31.0,32.0,31.0,68.0,62.0,41.0,33.0,13.0,28.0,41.77142857142857
2020-11-21,46.0,25.0,35.0,22.0,15.0,19.0,21.0,31.0,6.0,17.0,24.0,39.0,28.0,27.0,20.0,26.0,33.0,41.0,49.0,42.0,32.34285714285714
2020-11-22,32.0,31.0,27.0,63.0,49.0,36.0,34.0,30.0,33.0,27.0,52.0,38.0,16.0,19.0,31.0,25.0,26.0,17.0,20.0,29.0,36.285714285714285
2020-11-23,23.0,34.0,0.0,34.0,59.0,50.0,19.0,33.0,31.0,25.0,27.0,52.0,35.0,29.0,18.0,58.0,19.0,41.0,31.0,54.0,38.4
2020-11-24,47.0,17.0,19.0,20.0,46.0,50.0,38.0,28.0,31.0,30.0,48.0,41.0,35.0,41.0,24.0,41.0,39.0,52.0,32.0,27.0,40.342857142857135
2020-11-25,18.0,17.0,31.0,15.0,33.0,11.0,13.0,17.0,10.0,10.0,16.0,30.0,0.0,6.0,23.0,6.0,15.0,16.0,32.0,16.0,19.142857142857142
2020-11-26,24.0,46.0,31.0,10.0,46.0,39.0,44.0,39.0,37.0,20.0,22.0,35.0,30.0,30.0,18.0,12.0,15.0,31.0,6.0,11.0,31.2
2020-11-27,53.0,11.0,25.0,29.0,52.0,28.0,25.0,28.0,16.0,35.0,32.0,29.0,20.0,66.0,35.0,12.0,19.0,15.0,37.0,16.0,33.31428571428572
2020-11-28,27.0,39.0,50.0,34.0,44.0,45.0,43.0,44.0,42.0,46.0,37.0,53.0,52.0,27.0,53.0,54.0,33.0,47.0,28.0,43.0,48.05714285714286
2020-11-29,26.0,31.0,14.0,21.0,28.0,37.0,14.0,18.0,23.0,22.0,36.0,38.0,16.0,13.0,33.0,13.0,16.0,23.0,27.0,23.0,26.97142857142857
2020-11-30,40.0,33.0,37.0,24.0,32.0,22.0,31.0,16.0,15.0,35.0,21.0,34.0,25.0,6.0,23.0,23.0,24.0,31.0,37.0,26.0,30.57142857142857
2020-12-01,47.0,45.0,31.0,29.0,39.0,22.0,25.0,27.0,26.0,40.0,21.0,40.0,15.0,53.0,29.0,18.0,25.0,41.0,50.0,22.0,36.857142857142854
2020-12-02,12.0,23.0,44.0,30.0,19.0,17.0,13.0,28.0,26.0,31.0,32.0,53.0,25.0,60.0,35.0,18.0,25.0,26.0,50.0,33.0,34.285714285714285
2020-12-03,24.0,40.0,13.0,15.0,47.0,23.0,26.0,34.0,38.0,31.0,38.0,42.0,21.0,60.0,24.0,30.0,50.0,0.0,19.0,11.0,33.48571428571429
2020-12-04,25.0,6.0,46.0,36.0,48.0,41.0,47.0,41.0,44.0,43.0,45.0,37.0,26.0,19.0,49.0,43.0,15.0,22.0,72.0,11.0,40.91428571428571
