,/m/02gy9__0,/m/02gy9__1,/m/02gy9__2,/m/02gy9__3,/m/02gy9__4,/m/02gy9__5,/m/02gy9__6,/m/02gy9__7,/m/02gy9__8,/m/02gy9__9,/m/02gy9__10,/m/02gy9__11,/m/02gy9__12,/m/02gy9__13,/m/02gy9__14,/m/02gy9__15,/m/02gy9__16,/m/02gy9__17,/m/02gy9__18,/m/02gy9__19,/m/02gy9_
2020-10-05,22.89156626506024,19.0,16.0,0.0,16.0,37.0,32.0,14.0,17.0,31.0,78.0,42.0,14.0,92.0,0.0,70.0,14.0,42.0,12.0,52.0,50.0043664308794
2020-10-06,22.89156626506024,40.0,66.0,49.0,48.0,0.0,0.0,28.0,17.0,31.0,48.0,14.0,56.0,15.0,28.0,14.0,44.0,28.0,49.0,0.0,48.152029420040954
2020-10-07,68.67469879518072,59.0,84.0,84.0,81.0,38.0,65.0,100.0,69.0,47.0,32.0,14.0,100.0,31.0,71.0,58.0,59.0,29.0,100.0,52.0,100.0
2020-10-08,25.301204819277107,87.0,37.0,0.0,54.0,61.0,35.0,77.0,0.0,50.0,52.0,15.0,0.0,66.0,15.0,62.0,16.0,31.0,27.0,38.0,60.265478997467476
2020-10-09,79.51807228915662,46.0,0.0,0.0,38.0,22.0,37.0,0.0,20.0,18.0,37.0,0.0,50.0,54.0,0.0,50.0,34.0,0.0,14.0,40.0,43.45083883988784
2020-10-10,55.42168674698795,24.0,40.0,20.0,39.0,45.0,20.0,0.0,21.0,57.0,19.0,34.0,0.0,38.0,52.0,18.0,36.0,35.0,30.0,63.0,52.06047021608982
2020-10-11,26.50602409638554,47.0,19.0,19.0,37.0,44.0,57.0,65.0,61.0,18.0,55.0,48.0,83.0,71.0,33.0,66.0,17.0,0.0,43.0,100.0,73.24833347888104
2020-10-12,25.301204819277107,0.0,19.0,0.0,18.0,0.0,18.0,16.0,0.0,35.0,18.0,0.0,0.0,51.0,16.0,0.0,0.0,32.0,28.0,39.0,25.393221358639234
2020-10-13,100.0,66.0,37.0,73.0,36.0,83.0,72.0,47.0,76.0,52.0,70.0,62.0,32.0,69.0,47.0,16.0,48.0,63.0,41.0,75.0,93.82489641855638
2020-10-14,49.397590361445786,22.0,37.0,18.0,35.0,20.0,35.0,15.0,0.0,0.0,0.0,15.0,0.0,0.0,46.0,15.0,16.0,0.0,27.0,37.0,31.19960411026694
