,/m/0hn9s_0,/m/0hn9s_1,/m/0hn9s_2,/m/0hn9s_3,/m/0hn9s_4,/m/0hn9s_5,/m/0hn9s_6,/m/0hn9s_7,/m/0hn9s_8,/m/0hn9s_9,/m/0hn9s_10,/m/0hn9s_11,/m/0hn9s_12,/m/0hn9s_13,/m/0hn9s_14,/m/0hn9s_15,/m/0hn9s_16,/m/0hn9s_17,/m/0hn9s_18,/m/0hn9s_19,/m/0hn9s
2020-01-29,52.0,13.0,0.0,19.0,12.0,20.0,10.0,13.0,22.0,28.0,50.0,22.0,23.0,24.0,23.0,25.0,30.0,22.0,22.0,23.0,27.60511882998172
2020-01-30,41.0,84.0,40.0,10.0,36.0,21.0,11.0,0.0,46.0,0.0,79.0,45.0,24.0,0.0,12.0,26.0,31.0,44.0,23.0,36.0,37.111517367458866
2020-01-31,14.0,28.0,14.0,10.0,0.0,0.0,11.0,14.0,24.0,30.0,27.0,0.0,25.0,12.0,12.0,27.0,43.0,11.0,24.0,26.0,21.4503351614869
2020-02-01,0.0,28.0,14.0,10.0,25.0,32.0,11.0,0.0,12.0,0.0,13.0,23.0,12.0,12.0,0.0,13.0,11.0,11.0,23.0,12.0,15.965874466788543
2020-02-02,0.0,0.0,26.0,9.0,11.0,10.0,11.0,12.0,22.0,0.0,12.0,11.0,23.0,0.0,0.0,12.0,10.0,0.0,11.0,12.0,11.70018281535649
2020-02-03,0.0,0.0,0.0,0.0,11.0,0.0,9.0,11.0,0.0,9.0,0.0,10.0,0.0,10.0,0.0,0.0,0.0,10.0,0.0,0.0,4.2656916514320535
2020-02-04,26.0,14.0,13.0,10.0,0.0,20.0,32.0,13.0,11.0,38.0,26.0,22.0,12.0,23.0,35.0,26.0,10.0,22.0,11.0,12.0,22.91285801340646
2020-02-05,13.0,27.0,14.0,0.0,24.0,10.0,10.0,0.0,0.0,10.0,0.0,0.0,0.0,12.0,24.0,26.0,10.0,22.0,0.0,12.0,13.040828762949422
2020-02-06,0.0,28.0,14.0,0.0,25.0,22.0,22.0,0.0,23.0,10.0,26.0,0.0,0.0,0.0,12.0,13.0,22.0,12.0,24.0,13.0,16.209628275441805
2020-02-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,12.0,0.0,0.0,13.0,0.0,0.0,12.0,0.0,2.8641072516758075
2020-02-08,14.0,14.0,28.0,0.0,0.0,0.0,0.0,13.0,12.0,0.0,0.0,11.0,24.0,0.0,0.0,13.0,10.0,22.0,12.0,12.0,11.273613650213285
2020-02-09,12.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,11.0,9.0,0.0,10.0,0.0,0.0,11.0,12.0,0.0,0.0,0.0,0.0,4.570383912248629
2020-02-10,13.0,0.0,12.0,0.0,0.0,10.0,10.0,12.0,0.0,0.0,0.0,0.0,11.0,0.0,11.0,0.0,10.0,0.0,0.0,0.0,5.42352224253504
2020-02-11,0.0,14.0,0.0,10.0,0.0,21.0,11.0,26.0,0.0,10.0,13.0,11.0,0.0,0.0,0.0,0.0,10.0,11.0,11.0,24.0,10.481413772090189
2020-02-12,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,12.0,0.0,11.0,0.0,0.0,2.8641072516758075
2020-02-13,13.0,0.0,26.0,9.0,12.0,10.0,21.0,0.0,11.0,10.0,0.0,0.0,35.0,11.0,12.0,0.0,30.0,11.0,23.0,24.0,15.722120658135283
2020-02-14,0.0,14.0,0.0,0.0,0.0,11.0,11.0,13.0,12.0,0.0,0.0,23.0,12.0,0.0,12.0,0.0,11.0,0.0,12.0,12.0,8.714198659354052
2020-02-15,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,10.0,14.0,0.0,0.0,0.0,13.0,0.0,0.0,12.0,0.0,0.0,3.7781840341255335
2020-02-16,0.0,0.0,13.0,10.0,0.0,0.0,0.0,26.0,11.0,10.0,0.0,11.0,12.0,0.0,0.0,26.0,10.0,11.0,0.0,0.0,8.531383302864107
2020-02-17,0.0,0.0,0.0,10.0,12.0,0.0,21.0,0.0,23.0,10.0,0.0,0.0,0.0,12.0,0.0,13.0,10.0,0.0,11.0,0.0,7.434491163924436
2020-02-18,13.0,0.0,0.0,10.0,0.0,10.0,11.0,0.0,11.0,10.0,0.0,11.0,12.0,0.0,24.0,0.0,0.0,11.0,0.0,12.0,8.226691042047532
2020-02-19,0.0,0.0,0.0,10.0,12.0,0.0,0.0,13.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,13.0,10.0,0.0,0.0,0.0,4.2656916514320535
2020-02-20,0.0,0.0,0.0,10.0,0.0,11.0,11.0,0.0,0.0,0.0,13.0,0.0,0.0,12.0,0.0,0.0,11.0,0.0,0.0,12.0,4.875076173065204
2020-02-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,12.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,3.1687995124923827
2020-02-23,41.0,42.0,13.0,40.0,36.0,21.0,33.0,40.0,0.0,20.0,26.0,58.0,37.0,12.0,24.0,13.0,42.0,11.0,34.0,12.0,33.820840950639855
2020-02-24,13.0,27.0,53.0,10.0,48.0,31.0,32.0,52.0,0.0,39.0,25.0,44.0,0.0,12.0,24.0,51.0,0.0,11.0,22.0,24.0,31.566118220597197
2020-02-25,13.0,67.0,0.0,20.0,12.0,0.0,32.0,63.0,56.0,30.0,52.0,45.0,59.0,71.0,72.0,25.0,21.0,56.0,56.0,48.0,48.62888482632541
2020-02-26,12.0,26.0,63.0,46.0,34.0,10.0,20.0,0.0,53.0,18.0,12.0,31.0,34.0,55.0,23.0,60.0,10.0,42.0,32.0,23.0,36.80682510664229
2020-02-27,13.0,13.0,13.0,9.0,0.0,0.0,10.0,12.0,0.0,9.0,0.0,0.0,11.0,0.0,11.0,12.0,10.0,11.0,11.0,11.0,9.506398537477148
2020-02-28,67.0,81.0,66.0,48.0,48.0,62.0,52.0,37.0,78.0,67.0,100.0,100.0,58.0,57.0,47.0,38.0,20.0,99.0,79.0,96.0,79.21998781230957
2020-02-29,78.0,92.0,90.0,57.0,69.0,62.0,43.0,51.0,55.0,47.0,87.0,66.0,58.0,92.0,80.0,50.0,100.0,22.0,66.0,12.0,77.81840341255332
2020-03-01,0.0,12.0,62.0,18.0,33.0,19.0,29.0,24.0,42.0,18.0,36.0,52.0,55.0,55.0,55.0,48.0,38.0,52.0,53.0,56.0,46.13040828762949
2020-03-02,36.0,62.0,48.0,18.0,65.0,29.0,59.0,35.0,41.0,44.0,12.0,21.0,44.0,55.0,64.0,46.0,9.0,20.0,52.0,66.0,50.33516148689824
2020-03-03,38.0,66.0,13.0,57.0,92.0,40.0,72.0,12.0,43.0,36.0,37.0,43.0,57.0,57.0,55.0,49.0,20.0,53.0,53.0,46.0,57.22120658135284
2020-03-04,87.0,100.0,86.0,100.0,100.0,58.0,100.0,97.0,74.0,100.0,95.0,42.0,56.0,100.0,78.0,47.0,87.0,82.0,73.0,79.0,100.0
2020-03-05,100.0,75.0,75.0,55.0,33.0,69.0,40.0,60.0,42.0,45.0,36.0,53.0,54.0,65.0,77.0,35.0,57.0,52.0,42.0,79.0,69.71358927483242
2020-03-06,39.0,26.0,52.0,58.0,46.0,40.0,52.0,74.0,65.0,47.0,88.0,22.0,34.0,68.0,69.0,100.0,39.0,64.0,43.0,69.0,66.72760511882998
2020-03-07,54.0,14.0,27.0,10.0,12.0,21.0,22.0,27.0,35.0,29.0,26.0,24.0,37.0,24.0,49.0,52.0,10.0,11.0,23.0,12.0,31.627056672760514
2020-03-08,25.0,0.0,61.0,36.0,33.0,10.0,50.0,48.0,42.0,18.0,23.0,73.0,33.0,11.0,44.0,59.0,56.0,51.0,41.0,33.0,45.52102376599635
2020-03-09,61.0,37.0,72.0,53.0,22.0,66.0,29.0,35.0,31.0,17.0,47.0,10.0,32.0,21.0,21.0,35.0,47.0,40.0,21.0,22.0,43.81474710542353
2020-03-10,48.0,36.0,82.0,17.0,63.0,9.0,28.0,35.0,30.0,9.0,34.0,40.0,53.0,42.0,21.0,23.0,37.0,10.0,50.0,11.0,41.31627056672761
2020-03-11,12.0,61.0,60.0,26.0,43.0,28.0,0.0,12.0,30.0,26.0,12.0,40.0,64.0,32.0,32.0,11.0,18.0,30.0,20.0,43.0,36.56307129798903
2020-03-12,61.0,50.0,85.0,44.0,77.0,38.0,70.0,60.0,32.0,53.0,35.0,21.0,32.0,54.0,33.0,71.0,28.0,71.0,41.0,76.0,62.888482632541134
2020-03-13,67.0,67.0,52.0,29.0,23.0,81.0,43.0,100.0,55.0,47.0,51.0,79.0,23.0,46.0,35.0,62.0,30.0,76.0,45.0,59.0,65.20414381474711
2020-03-14,91.0,64.0,65.0,29.0,58.0,30.0,42.0,61.0,78.0,75.0,37.0,77.0,69.0,80.0,45.0,100.0,39.0,53.0,66.0,69.0,74.83241925655089
2020-03-15,94.0,36.0,95.0,68.0,31.0,100.0,29.0,80.0,100.0,26.0,45.0,60.0,73.0,73.0,94.0,91.0,63.0,100.0,100.0,53.0,85.98415600243754
2020-03-16,44.0,67.0,54.0,48.0,68.0,86.0,80.0,63.0,47.0,16.0,42.0,56.0,39.0,78.0,49.0,53.0,52.0,63.0,56.0,100.0,70.74954296160878
2020-03-17,67.0,23.0,100.0,49.0,30.0,26.0,36.0,65.0,47.0,33.0,32.0,28.0,30.0,50.0,60.0,64.0,34.0,46.0,48.0,30.0,54.72273004265692
2020-03-18,45.0,70.0,90.0,41.0,40.0,79.0,55.0,44.0,66.0,41.0,66.0,67.0,51.0,30.0,41.0,55.0,43.0,38.0,19.0,61.0,63.49786715417429
2020-03-19,23.0,71.0,46.0,8.0,42.0,45.0,28.0,11.0,30.0,51.0,34.0,19.0,41.0,10.0,42.0,55.0,35.0,38.0,20.0,32.0,41.49908592321755
2020-03-20,43.0,66.0,43.0,32.0,58.0,60.0,26.0,21.0,37.0,55.0,51.0,36.0,58.0,29.0,97.0,31.0,17.0,62.0,37.0,10.0,52.95551492992078
2020-03-21,12.0,37.0,63.0,36.0,87.0,39.0,29.0,69.0,52.0,44.0,71.0,62.0,54.0,43.0,65.0,24.0,56.0,60.0,52.0,45.0,60.938452163315056
2020-03-22,49.0,100.0,75.0,73.0,88.0,67.0,50.0,60.0,32.0,63.0,36.0,74.0,100.0,66.0,100.0,47.0,49.0,42.0,43.0,78.0,78.73248019500303
2020-03-23,20.0,30.0,10.0,15.0,18.0,23.0,31.0,38.0,8.0,7.0,47.0,17.0,27.0,17.0,18.0,38.0,8.0,17.0,25.0,45.0,27.97074954296161
2020-03-24,32.0,66.0,33.0,40.0,69.0,43.0,35.0,53.0,37.0,47.0,62.0,46.0,68.0,10.0,39.0,31.0,33.0,63.0,9.0,20.0,50.94454600853138
2020-03-25,22.0,55.0,64.0,31.0,48.0,34.0,44.0,42.0,28.0,23.0,31.0,28.0,29.0,29.0,38.0,62.0,33.0,44.0,27.0,30.0,45.21633150517977
2020-03-26,44.0,66.0,33.0,16.0,39.0,34.0,35.0,32.0,28.0,24.0,72.0,64.0,19.0,39.0,29.0,42.0,25.0,45.0,9.0,40.0,44.78976234003657
2020-03-27,53.0,74.0,11.0,31.0,19.0,33.0,17.0,31.0,70.0,22.0,30.0,44.0,56.0,37.0,9.0,49.0,40.0,61.0,63.0,76.0,50.33516148689824
2020-03-28,49.0,63.0,49.0,54.0,33.0,29.0,30.0,35.0,31.0,9.0,23.0,42.0,43.0,43.0,44.0,35.0,19.0,20.0,21.0,22.0,42.291285801340656
2020-03-29,47.0,71.0,80.0,43.0,21.0,18.0,56.0,34.0,50.0,25.0,80.0,50.0,62.0,30.0,21.0,34.0,54.0,29.0,39.0,53.0,54.6617915904936
2020-03-30,10.0,52.0,21.0,38.0,19.0,16.0,25.0,10.0,26.0,8.0,30.0,35.0,37.0,56.0,46.0,30.0,24.0,35.0,17.0,19.0,33.75990249847654
2020-03-31,41.0,31.0,31.0,37.0,28.0,32.0,17.0,60.0,9.0,23.0,29.0,0.0,46.0,18.0,37.0,29.0,16.0,26.0,17.0,19.0,33.27239488117002
