date,/m/01cdt5_0,/m/01cdt5_1,/m/01cdt5_2,/m/01cdt5_3,/m/01cdt5_4,/m/01cdt5_5,/m/01cdt5_6,/m/01cdt5_7,/m/01cdt5_8,/m/01cdt5_9,/m/01cdt5_10,/m/01cdt5_11,/m/01cdt5_12,/m/01cdt5_13,/m/01cdt5_14,/m/01cdt5_15,/m/01cdt5_16,/m/01cdt5_17,/m/01cdt5_18,/m/01cdt5_19,/m/01cdt5
2020-10-05,25.0,17.0,25.0,0.0,0.0,0.0,29.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,20.0,0.0,11.098417318537381
2020-10-06,25.0,17.0,25.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,17.0,13.0,0.0,20.0,20.0,12.113516463525555
2020-10-07,0.0,0.0,26.0,0.0,21.0,16.0,0.0,0.0,25.0,0.0,26.0,15.0,25.510204081632647,26.88172043010753,15.0,17.0,26.0,24.0,41.0,41.0,23.37380315051252
2020-10-08,0.0,18.0,28.0,35.0,22.0,0.0,32.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,12.24886301619065
2020-10-09,0.0,0.0,0.0,0.0,23.0,0.0,34.0,0.0,28.0,30.0,29.0,0.0,29.59183673469388,0.0,0.0,20.0,0.0,0.0,0.0,0.0,13.10099386307188
2020-10-10,30.0,20.0,0.0,38.0,0.0,0.0,35.0,0.0,29.0,31.0,30.0,17.0,29.59183673469388,32.25806451612903,17.0,0.0,0.0,0.0,0.0,0.0,20.90088471262618
2020-10-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-10-12,27.0,37.0,56.0,35.0,22.0,18.0,33.0,22.0,0.0,83.0,55.0,0.0,0.0,29.032258064516128,16.0,37.0,14.0,52.0,0.0,0.0,36.27505912315808
2020-10-13,28.0,0.0,28.0,0.0,22.0,36.0,32.0,22.0,53.0,56.0,28.0,16.0,0.0,0.0,32.0,19.0,14.0,26.0,0.0,0.0,27.88138984900855
2020-10-14,0.0,35.0,0.0,67.0,85.0,17.0,0.0,42.0,51.0,26.0,53.0,30.0,52.04081632653061,27.956989247311824,0.0,0.0,27.0,0.0,42.0,21.0,38.97965866353818
