date,/m/0m7pl_0,/m/0m7pl_1,/m/0m7pl_2,/m/0m7pl_3,/m/0m7pl_4,/m/0m7pl_5,/m/0m7pl_6,/m/0m7pl_7,/m/0m7pl_8,/m/0m7pl_9,/m/0m7pl,batch_id
2020-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2020-01-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2020-01-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2020-01-04,25.0,13.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.72057205720572,0
2020-01-05,12.0,0.0,13.0,25.0,10.0,10.0,12.0,8.0,9.0,0.0,10.89108910891089,0
2020-01-06,0.0,0.0,13.0,12.0,0.0,10.0,0.0,0.0,9.0,0.0,4.840484048404841,0
2020-01-07,11.0,0.0,12.0,11.0,0.0,0.0,0.0,0.0,0.0,12.0,5.06050605060506,0
2020-01-08,0.0,11.0,0.0,0.0,9.0,9.0,0.0,0.0,0.0,12.0,4.510451045104509,0
2020-01-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2020-01-10,11.0,0.0,12.0,24.0,0.0,10.0,11.0,7.0,0.0,0.0,8.25082508250825,0
2020-01-11,0.0,12.0,0.0,0.0,0.0,0.0,12.0,0.0,9.0,0.0,3.6303630363036303,0
2020-01-12,12.0,24.0,13.0,12.0,0.0,10.0,0.0,8.0,0.0,13.0,10.12101210121012,0
2020-01-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2020-01-14,9.0,10.0,20.0,0.0,0.0,8.0,9.0,6.0,7.0,0.0,7.590759075907591,0
2020-01-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2020-01-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2020-01-17,11.0,0.0,12.0,0.0,0.0,0.0,11.0,7.0,0.0,0.0,4.510451045104509,0
2020-01-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2020-01-19,0.0,12.0,12.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,3.6303630363036303,0
2020-01-20,0.0,11.0,0.0,11.0,9.0,18.0,21.0,0.0,16.0,0.0,9.46094609460946,0
2020-01-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2020-01-22,0.0,11.0,0.0,11.0,9.0,9.0,0.0,0.0,0.0,0.0,4.4004400440044,0
