,/m/01c751_0,/m/01c751_1,/m/01c751_2,/m/01c751_3,/m/01c751_4,/m/01c751_5,/m/01c751_6,/m/01c751_7,/m/01c751_8,/m/01c751_9,/m/01c751_10,/m/01c751_11,/m/01c751_12,/m/01c751_13,/m/01c751_14,/m/01c751_15,/m/01c751_16,/m/01c751_17,/m/01c751_18,/m/01c751_19,/m/01c751
2020-11-18,0.0,0.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,6.771297638323722
2020-11-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,48.0,0.0,0.0,0.0,0.0,0.0,44.0,34.0,0.0,0.0,11.967874895641925
2020-11-21,0.0,0.0,97.0,36.0,43.0,35.0,27.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,0.0,26.0,41.46341463414634,29.405022529215206
2020-11-22,0.0,0.0,0.0,35.0,42.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,42.0,0.0,25.0,41.46341463414634,19.3268120907799
2020-11-23,0.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0,25.0,42.10526315789474,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.24390243902439,14.82986349054258
2020-11-24,0.0,40.0,46.0,0.0,40.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,14.48742750525075
2020-11-25,94.0,0.0,0.0,67.0,0.0,98.0,0.0,100.0,49.0,0.0,45.0,0.0,0.0,0.0,32.0,23.958333333333332,80.0,32.0,48.0,0.0,52.6711160771741
2020-11-26,33.0,0.0,0.0,35.0,0.0,0.0,0.0,34.0,26.0,42.10526315789474,46.0,82.0,0.0,0.0,0.0,0.0,42.0,0.0,25.0,0.0,28.74693495535597
2020-11-27,0.0,0.0,0.0,34.0,0.0,0.0,0.0,0.0,25.0,40.78947368421053,45.0,0.0,0.0,0.0,33.0,0.0,0.0,0.0,0.0,0.0,13.99843538693851
2020-11-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-29,0.0,0.0,46.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,8.267282000278962
2020-11-30,0.0,0.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,41.0,0.0,0.0,0.0,9.290850247932548
