,/g/1213j0cz_0,/g/1213j0cz_1,/g/1213j0cz_2,/g/1213j0cz_3,/g/1213j0cz_4,/g/1213j0cz_5,/g/1213j0cz_6,/g/1213j0cz_7,/g/1213j0cz_8,/g/1213j0cz_9,/g/1213j0cz_10,/g/1213j0cz_11,/g/1213j0cz_12,/g/1213j0cz_13,/g/1213j0cz_14,/g/1213j0cz_15,/g/1213j0cz_16,/g/1213j0cz_17,/g/1213j0cz_18,/g/1213j0cz_19,/g/1213j0cz
2020-10-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-10-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-10-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-10-08,0.0,46.0,0.0,47.0,0.0,0.0,0.0,0.0,49.438202247191015,86.27450980392157,0.0,100.0,0.0,0.0,0.0,31.0,47.0,0.0,0.0,0.0,33.31533851624363
2020-10-09,49.0,49.0,50.0,50.0,0.0,0.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,24.819847699162185
2020-10-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-10-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-10-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-10-13,0.0,47.0,0.0,0.0,0.0,52.0,0.0,0.0,50.561797752808985,88.23529411764706,0.0,0.0,44.0,0.0,87.0,32.0,0.0,0.0,85.0,0.0,39.79343179181722
2020-10-14,0.0,0.0,0.0,0.0,0.0,0.0,49.0,0.0,0.0,0.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.781800433730718
2020-10-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-10-16,50.0,97.0,99.0,49.0,96.0,0.0,0.0,57.83132530120482,52.80898876404494,92.15686274509804,49.0,0.0,0.0,91.0,90.0,100.0,100.0,56.0,89.0,52.0,100.0
2020-10-17,53.0,54.0,54.0,0.0,0.0,59.0,57.0,0.0,58.42696629213483,100.0,0.0,0.0,100.0,100.0,99.0,0.0,0.0,61.0,0.0,57.0,69.82543722121994
2020-10-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-10-19,0.0,93.0,0.0,0.0,91.0,52.0,98.0,0.0,0.0,88.23529411764706,46.0,0.0,43.0,0.0,0.0,32.0,95.0,53.0,0.0,0.0,56.62163275341774
2020-10-20,0.0,0.0,46.0,0.0,0.0,0.0,49.0,53.01204819277108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,14.745450891613272
2020-10-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-10-22,0.0,45.0,46.0,46.0,0.0,0.0,0.0,53.01204819277108,49.438202247191015,0.0,0.0,0.0,42.0,85.0,0.0,31.0,0.0,0.0,0.0,0.0,32.55661611852716
2020-10-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-10-24,0.0,55.0,0.0,0.0,0.0,60.0,59.0,63.855421686746986,59.550561797752806,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,63.0,100.0,0.0,45.90492131942073
2020-10-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-10-26,0.0,0.0,47.0,0.0,0.0,0.0,100.0,0.0,100.0,0.0,0.0,0.0,44.0,86.0,84.0,32.0,48.0,0.0,85.0,100.0,59.469338051457896
2020-10-27,49.0,0.0,0.0,0.0,95.0,0.0,0.0,0.0,0.0,92.15686274509804,0.0,0.0,46.0,0.0,0.0,0.0,0.0,57.0,0.0,0.0,27.78158970118477
2020-10-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-10-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-10-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-10-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-01,0.0,0.0,0.0,0.0,0.0,52.0,50.0,55.42168674698795,0.0,88.23529411764706,47.0,100.0,43.0,0.0,0.0,33.0,0.0,0.0,0.0,0.0,38.38942207329837
2020-11-02,0.0,0.0,0.0,45.0,0.0,0.0,49.0,0.0,0.0,0.0,0.0,96.90721649484536,42.0,83.0,0.0,0.0,46.0,0.0,0.0,0.0,29.64515509778804
