,/m/01cpyy_0,/m/01cpyy_1,/m/01cpyy_2,/m/01cpyy_3,/m/01cpyy_4,/m/01cpyy_5,/m/01cpyy_6,/m/01cpyy_7,/m/01cpyy_8,/m/01cpyy_9,/m/01cpyy_10,/m/01cpyy_11,/m/01cpyy_12,/m/01cpyy_13,/m/01cpyy_14,/m/01cpyy_15,/m/01cpyy_16,/m/01cpyy_17,/m/01cpyy_18,/m/01cpyy_19,/m/01cpyy
2020-11-18,69.0,70.0,74.0,68.0,69.0,62.0,71.0,70.0,60.0,76.0,76.28865979381443,71.0,67.0,74.0,62.35294117647059,68.57142857142857,80.32786885245902,63.1578947368421,78.78787878787878,70.27027027027027,71.12978543725167
2020-11-19,72.0,78.0,76.0,70.0,76.0,61.0,71.0,65.0,70.0,76.0,74.22680412371135,67.0,78.0,64.0,67.05882352941177,70.0,70.49180327868852,70.17543859649123,81.81818181818181,62.16216216216216,72.10354756782489
2020-11-20,72.0,71.0,65.0,78.0,77.0,64.0,72.0,67.0,65.0,74.0,74.22680412371135,72.0,75.0,65.0,62.35294117647059,68.57142857142857,63.9344262295082,68.42105263157895,78.78787878787878,64.86486486486487,70.99788327056068
2020-11-21,74.0,69.0,70.0,71.0,66.0,64.0,69.0,59.0,62.0,68.0,77.31958762886597,79.0,74.0,61.0,60.0,74.28571428571429,63.9344262295082,63.1578947368421,63.63636363636363,59.45945945945946,68.44032375540718
2020-11-22,67.0,59.0,58.0,66.0,66.0,55.0,71.0,64.0,63.0,66.0,59.79381443298969,73.0,61.0,68.0,51.76470588235294,70.0,73.77049180327869,68.42105263157895,69.6969696969697,67.56756756756756,65.91257723230304
2020-11-23,74.0,62.0,74.0,72.0,70.0,65.0,76.0,73.0,72.0,75.0,74.22680412371135,68.0,72.0,72.0,69.41176470588235,71.42857142857143,70.49180327868852,71.9298245614035,72.72727272727273,72.97297297297297,72.5227732632639
2020-11-24,67.0,61.0,65.0,69.0,60.0,57.0,57.0,64.0,58.0,61.0,71.1340206185567,63.0,65.0,59.0,57.64705882352941,64.28571428571429,67.21311475409836,61.40350877192982,72.72727272727273,62.16216216216216,64.11286167284358
2020-11-25,60.0,59.0,58.0,62.0,61.0,48.0,54.0,58.0,53.0,58.0,64.94845360824742,58.0,67.0,59.0,51.76470588235294,61.42857142857143,62.295081967213115,52.63157894736842,60.60606060606061,59.45945945945946,59.317296250923796
2020-11-26,62.0,63.0,64.0,67.0,63.0,56.0,58.0,56.0,53.0,61.0,60.824742268041234,64.0,54.0,54.0,51.76470588235294,61.42857142857143,62.295081967213115,63.1578947368421,66.66666666666667,59.45945945945946,60.96576296818517
2020-11-27,95.0,92.0,91.0,96.0,86.0,84.0,89.0,85.0,94.0,99.0,92.78350515463917,95.0,97.0,93.0,90.58823529411765,97.14285714285714,91.80327868852459,89.47368421052632,100.0,100.0,94.33779059364652
