,/m/07mf1_0,/m/07mf1_1,/m/07mf1_2,/m/07mf1_3,/m/07mf1_4,/m/07mf1_5,/m/07mf1_6,/m/07mf1_7,/m/07mf1_8,/m/07mf1_9,/m/07mf1_10,/m/07mf1_11,/m/07mf1_12,/m/07mf1_13,/m/07mf1_14,/m/07mf1_15,/m/07mf1_16,/m/07mf1_17,/m/07mf1_18,/m/07mf1_19,/m/07mf1
2020-11-14,20.0,14.0,40.0,77.0,20.0,54.255319148936174,19.0,22.0,50.0,65.0,16.0,0.0,60.810810810810814,20.0,66.0,16.0,75.0,23.0,0.0,33.0,54.83911006299067
2020-11-15,20.0,28.0,20.0,38.0,20.0,54.255319148936174,58.0,55.0,49.0,65.0,16.0,20.0,81.08108108108108,39.0,17.0,32.0,38.0,47.0,76.0,34.0,64.06566288041267
2020-11-16,19.0,41.0,38.0,0.0,39.0,35.1063829787234,37.0,63.0,32.0,16.0,16.0,19.0,18.91891891891892,19.0,32.0,47.0,55.0,92.0,19.0,33.0,53.24878298978386
2020-11-17,20.0,14.0,58.0,0.0,0.0,18.085106382978722,57.0,43.0,16.0,31.0,48.0,19.0,20.27027027027027,39.0,49.0,16.0,0.0,46.0,75.0,32.0,47.72017070085552
2020-11-18,19.0,55.0,97.0,0.0,59.0,36.170212765957444,37.0,54.0,0.0,32.0,31.0,19.0,20.27027027027027,38.0,48.0,32.0,57.0,68.0,38.0,66.0,63.99456794540203
2020-11-19,78.0,27.0,38.0,37.0,0.0,53.191489361702125,38.0,43.0,47.0,31.0,63.0,38.0,0.0,38.0,32.0,32.0,56.0,68.0,19.0,49.0,62.46707638279193
2020-11-20,20.0,14.0,20.0,38.0,41.0,36.170212765957444,39.0,43.0,82.0,64.0,65.0,78.0,81.08108108108108,39.0,33.0,49.0,77.0,70.0,76.0,50.0,80.56461607822453
2020-11-21,100.0,100.0,100.0,39.0,82.0,37.234042553191486,59.0,89.0,33.0,17.0,66.0,20.0,41.891891891891895,100.0,69.0,66.0,59.0,72.0,40.0,51.0,98.48875349314334
2020-11-22,41.0,15.0,20.0,100.0,62.0,75.53191489361703,20.0,45.0,68.0,100.0,33.0,82.0,41.891891891891895,40.0,0.0,33.0,58.0,48.0,100.0,17.0,79.30863598115576
2020-11-23,40.0,43.0,59.0,38.0,61.0,18.085106382978722,19.0,65.0,16.0,16.0,48.0,0.0,40.54054054054054,40.0,50.0,0.0,19.0,23.0,58.0,34.0,54.566092735539634
2020-11-24,38.0,14.0,19.0,55.0,0.0,70.2127659574468,73.0,73.0,31.0,16.0,16.0,38.0,58.108108108108105,19.0,32.0,31.0,0.0,67.0,18.0,16.0,54.30384460235207
