,/m/02gy9__0,/m/02gy9__1,/m/02gy9__2,/m/02gy9__3,/m/02gy9__4,/m/02gy9__5,/m/02gy9__6,/m/02gy9__7,/m/02gy9__8,/m/02gy9__9,/m/02gy9__10,/m/02gy9__11,/m/02gy9__12,/m/02gy9__13,/m/02gy9__14,/m/02gy9__15,/m/02gy9__16,/m/02gy9__17,/m/02gy9__18,/m/02gy9__19,/m/02gy9_
2020-10-05,76.0,21.0,0.0,34.0,40.0,20.0,0.0,17.0,0.0,0.0,68.0,39.0,39.0,47.0,21.0,20.0,38.0,0.0,75.0,0.0,37.832310838445814
2020-10-06,58.0,43.0,43.0,0.0,21.0,21.0,40.0,35.0,21.0,14.0,46.0,20.0,20.0,48.0,42.0,0.0,39.0,41.0,0.0,22.0,39.12747102931152
2020-10-07,38.0,21.0,42.0,70.0,0.0,21.0,0.0,35.0,0.0,14.0,23.0,0.0,20.0,23.0,43.0,20.0,0.0,0.0,0.0,0.0,25.221540558963873
2020-10-08,20.0,45.0,22.0,37.0,44.0,43.0,42.0,54.0,65.0,15.0,73.0,42.0,21.0,100.0,44.0,22.0,42.0,21.0,40.0,0.0,53.987730061349694
2020-10-09,0.0,24.0,47.0,30.0,24.0,47.0,22.0,79.0,93.0,32.0,0.0,22.0,23.0,27.0,24.0,0.0,44.0,0.0,21.0,73.0,43.0811179277437
2020-10-10,93.0,26.0,100.0,54.0,100.0,100.0,23.0,0.0,100.0,17.0,28.0,48.0,25.0,58.0,26.0,100.0,24.0,100.0,69.0,79.0,79.75460122699387
2020-10-11,0.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.702794819359237
2020-10-12,41.0,23.0,23.0,28.0,66.0,22.0,0.0,19.0,45.0,15.0,100.0,0.0,0.0,26.0,0.0,44.0,21.0,0.0,0.0,47.0,35.4464894342195
2020-10-13,62.0,23.0,90.0,38.0,67.0,45.0,21.0,19.0,45.0,31.0,0.0,42.0,86.0,25.0,0.0,45.0,21.0,22.0,40.0,70.0,53.987730061349694
2020-10-14,41.0,0.0,44.0,19.0,0.0,22.0,21.0,37.0,22.0,60.0,0.0,0.0,63.0,25.0,22.0,43.0,42.0,0.0,20.0,0.0,32.78800272665303
2020-10-15,0.0,69.0,23.0,19.0,67.0,45.0,21.0,0.0,22.0,0.0,50.0,21.0,0.0,52.0,46.0,22.0,21.0,44.0,40.0,23.0,39.877300613496935
2020-10-16,63.0,48.0,70.0,60.0,47.0,23.0,65.0,39.0,23.0,16.0,0.0,22.0,0.0,54.0,24.0,22.0,0.0,0.0,21.0,0.0,40.695296523517385
2020-10-17,0.0,0.0,26.0,42.0,25.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,11.111111111111112
2020-10-18,0.0,25.0,0.0,22.0,25.0,25.0,23.0,0.0,25.0,0.0,0.0,24.0,24.0,29.0,26.0,0.0,24.0,0.0,23.0,0.0,20.109066121336063
2020-10-19,0.0,24.0,0.0,19.0,0.0,23.0,43.0,39.0,23.0,0.0,26.0,22.0,45.0,79.0,0.0,23.0,0.0,0.0,42.0,24.0,29.447852760736197
2020-10-20,0.0,0.0,0.0,38.0,0.0,22.0,21.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,22.0,0.0,22.0,20.0,0.0,11.588275391956374
2020-10-21,21.0,23.0,0.0,19.0,23.0,0.0,0.0,0.0,0.0,0.0,76.0,0.0,22.0,26.0,23.0,0.0,22.0,22.0,0.0,0.0,18.882072256305385
2020-10-22,0.0,0.0,23.0,29.0,45.0,46.0,43.0,37.0,22.0,30.0,0.0,22.0,43.0,52.0,23.0,22.0,42.0,22.0,0.0,23.0,35.71915473755965
2020-10-23,0.0,46.0,23.0,0.0,22.0,44.0,42.0,56.0,45.0,30.0,74.0,42.0,43.0,26.0,45.0,22.0,0.0,0.0,0.0,23.0,39.74096796182686
2020-10-24,23.0,52.0,25.0,42.0,0.0,50.0,0.0,41.0,0.0,0.0,0.0,0.0,24.0,57.0,26.0,25.0,23.0,0.0,0.0,26.0,28.220858895705522
2020-10-25,90.0,100.0,74.0,41.0,49.0,97.0,92.0,100.0,24.0,100.0,26.0,69.0,93.0,83.0,100.0,71.0,23.0,71.0,89.0,75.0,100.0
2020-10-26,20.0,0.0,44.0,0.0,22.0,21.0,20.0,18.0,44.0,15.0,24.0,0.0,0.0,50.0,22.0,0.0,41.0,21.0,0.0,45.0,27.743694614860264
2020-10-27,41.0,23.0,0.0,38.0,45.0,22.0,21.0,19.0,0.0,15.0,49.0,0.0,21.0,76.0,23.0,22.0,21.0,43.0,20.0,23.0,35.582822085889575
2020-10-28,20.0,23.0,22.0,18.0,43.0,0.0,41.0,36.0,22.0,29.0,0.0,42.0,21.0,75.0,45.0,65.0,0.0,43.0,20.0,90.0,44.64894342194956
2020-10-29,0.0,88.0,43.0,18.0,0.0,43.0,40.0,18.0,43.0,58.0,24.0,20.0,61.0,48.0,22.0,0.0,20.0,0.0,39.0,22.0,41.37695978186776
2020-10-30,37.0,41.0,40.0,34.0,60.0,20.0,0.0,0.0,20.0,0.0,0.0,58.0,0.0,0.0,41.0,19.0,0.0,0.0,18.0,0.0,26.448534423994545
2020-10-31,0.0,23.0,22.0,18.0,0.0,0.0,0.0,18.0,22.0,0.0,24.0,21.0,0.0,25.0,22.0,22.0,20.0,0.0,0.0,23.0,17.72324471710975
2020-11-01,39.0,0.0,43.0,72.0,21.0,22.0,80.0,0.0,21.0,29.0,24.0,41.0,0.0,50.0,22.0,42.0,20.0,62.0,19.0,44.0,44.376278118609406
2020-11-02,19.0,63.0,21.0,26.0,21.0,42.0,39.0,17.0,0.0,0.0,46.0,39.0,0.0,0.0,0.0,40.0,58.0,0.0,19.0,22.0,32.1745057941377
2020-11-03,37.0,0.0,20.0,25.0,20.0,0.0,19.0,0.0,20.0,40.0,44.0,0.0,38.0,23.0,21.0,0.0,38.0,20.0,18.0,21.0,27.53919563735515
2020-11-04,33.0,0.0,54.0,16.0,55.0,36.0,69.0,30.0,55.0,12.0,42.0,52.0,17.0,42.0,19.0,36.0,17.0,36.0,33.0,57.0,48.466257668711656
2020-11-05,53.0,20.0,40.0,49.0,39.0,20.0,37.0,16.0,0.0,13.0,43.0,19.0,0.0,0.0,20.0,19.0,18.0,38.0,0.0,40.0,32.99250170415815
2020-11-06,75.0,0.0,41.0,26.0,40.0,62.0,38.0,17.0,61.0,27.0,45.0,19.0,39.0,70.0,42.0,60.0,0.0,81.0,19.0,84.0,57.66871165644172
2020-11-07,38.0,63.0,84.0,27.0,21.0,0.0,19.0,17.0,0.0,14.0,46.0,39.0,39.0,48.0,43.0,21.0,39.0,0.0,38.0,22.0,42.126789366053174
2020-11-08,20.0,22.0,21.0,18.0,0.0,22.0,20.0,18.0,42.0,0.0,48.0,0.0,40.0,25.0,22.0,0.0,40.0,21.0,20.0,22.0,28.698023176550787
2020-11-09,19.0,0.0,21.0,18.0,21.0,0.0,39.0,52.0,0.0,0.0,23.0,0.0,40.0,72.0,22.0,41.0,20.0,41.0,0.0,44.0,32.24267211997274
2020-11-10,20.0,22.0,42.0,18.0,0.0,42.0,40.0,17.0,21.0,28.0,23.0,40.0,61.0,24.0,0.0,61.0,20.0,41.0,38.0,44.0,41.03612815269258
